reaction,adsorbate,DFT,MLIP,classification
Ag8O16_H2O(g) - H2(g) + * -> O*,O,4.776718740000007,5.095269203186035,normal
Ag8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0888029000000046,2.1103835105895996,normal
Ag6O12_H2O(g) - H2(g) + * -> O*,O,4.5963922199999985,5.059958457946777,normal
Ag6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9078245000000038,1.990912914276123,normal
Au8O16_H2O(g) - H2(g) + * -> O*,O,4.106723360000004,4.521217346191406,normal
Au8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5057529100000124,1.5986862182617188,normal
Au6O12_H2O(g) - H2(g) + * -> O*,O,4.089805870000006,4.57169246673584,normal
Au6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3927296500000068,1.554725170135498,normal
Cd8O16_H2O(g) - H2(g) + * -> O*,O,5.024646590000003,5.187254905700684,normal
Cd8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.256772500000011,-0.6133122444152832,reproduction_failure
Cd6O12_H2O(g) - H2(g) + * -> O*,O,4.708414300000001,4.792296409606934,reproduction_failure
Cd6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0806685000000016,0.39864349365234375,unphysical_relaxation
Co8O16_H2O(g) - H2(g) + * -> O*,O,3.7730144699999926,4.045440673828125,normal
Co8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3849585600000012,1.41461181640625,normal
Co6O12_H2O(g) - H2(g) + * -> O*,O,3.6909155100000106,4.0784454345703125,normal
Co6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3429571800000133,1.41650390625,normal
Cr8O16_H2O(g) - H2(g) + * -> O*,O,3.2340354399999853,3.3740692138671875,normal
Cr8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.125645999999989,1.271697998046875,normal
Cr6O12_H2O(g) - H2(g) + * -> O*,O,3.403052669999994,3.4039602279663086,normal
Cr6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3257011599999942,1.2848358154296875,normal
Cu8O16_H2O(g) - H2(g) + * -> O*,O,4.7515746199999995,4.892655372619629,normal
Cu8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.2884642799999995,2.0809569358825684,normal
Cu6O12_H2O(g) - H2(g) + * -> O*,O,4.709045009999997,4.831626892089844,normal
Cu6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.278097509999995,2.0251922607421875,adsorbate_migration
Fe8O16_H2O(g) - H2(g) + * -> O*,O,4.7115982999999915,4.6666412353515625,normal
Fe8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8822180100000026,1.772186279296875,normal
Fe6O12_H2O(g) - H2(g) + * -> O*,O,4.525998889999997,4.5858612060546875,normal
Fe6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8332475400000021,1.6664881706237793,normal
Ga6O12_H2O(g) - H2(g) + * -> O*,O,4.654239590000003,4.761626243591309,normal
Ga6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.168456400000011,1.7993159294128418,normal
Ga8O16_H2O(g) - H2(g) + * -> O*,O,4.741778619999991,4.7845001220703125,normal
Ga8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.081958209999982,1.9009394645690918,normal
Ge8O16_H2O(g) - H2(g) + * -> O*,O,4.407339119999989,4.3389739990234375,normal
Ge8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6025459399999988,1.284759521484375,normal
Ge6O12_H2O(g) - H2(g) + * -> O*,O,4.505709780000004,4.53900146484375,normal
Ge6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.7843677000000042,1.5457606315612793,normal
Hf8O16_H2O(g) - H2(g) + * -> O*,O,4.471249029999996,4.211730003356934,normal
Hf8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.536630439999982,1.1206965446472168,normal
Hf6O12_H2O(g) - H2(g) + * -> O*,O,4.429426540000009,4.4794158935546875,normal
Hf6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5856020299999898,1.35064697265625,normal
Hg8O16_H2O(g) - H2(g) + * -> O*,O,5.447956660000003,5.607383728027344,unphysical_relaxation
Hg8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.809764130000005,2.583442211151123,unphysical_relaxation
Hg6O12_H2O(g) - H2(g) + * -> O*,O,5.982212809999993,4.323370933532715,unphysical_relaxation
Hg6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.7388193199999975,1.5027117729187012,reproduction_failure
In8O16_H2O(g) - H2(g) + * -> O*,O,4.851615380000013,4.925461769104004,normal
In8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.127687750000007,1.829498291015625,adsorbate_migration
In6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.027657860000005,1.8523039817810059,unphysical_relaxation
In6O12_H2O(g) - H2(g) + * -> O*,O,4.609503860000004,4.86934757232666,unphysical_relaxation
Ir8O16_H2O(g) - H2(g) + * -> O*,O,1.4617940899999837,1.7264862060546875,normal
Ir8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.34482077999999206,0.1563262939453125,normal
Ir6O12_H2O(g) - H2(g) + * -> O*,O,1.5364246399999786,1.8375701904296875,normal
Ir6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.24125521999999933,0.179534912109375,normal
Mn8O16_H2O(g) - H2(g) + * -> O*,O,4.094782609999982,4.233412742614746,normal
Mn8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5346961499999736,1.4254450798034668,normal
Mn6O12_H2O(g) - H2(g) + * -> O*,O,4.015549669999984,4.1905670166015625,normal
Mn6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.479763840000004,1.3718414306640625,normal
Mo8O16_H2O(g) - H2(g) + * -> O*,O,-0.2763444900000138,0.7633514404296875,normal
Mo8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6729427900000076,-0.1467132568359375,normal
Mo6O12_H2O(g) - H2(g) + * -> O*,O,-0.05588604999999802,0.9010000228881836,normal
Mo6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6243819400000064,-0.1030125617980957,normal
Nb8O16_H2O(g) - H2(g) + * -> O*,O,-0.2471059700000069,-0.2485189437866211,normal
Nb8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.0331504800000175,-0.8019413948059082,normal
Nb6O12_H2O(g) - H2(g) + * -> O*,O,0.2305838700000038,0.2500753402709961,normal
Nb6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.7488003199999866,-0.701080322265625,normal
Ni8O16_H2O(g) - H2(g) + * -> O*,O,4.480876070000008,4.795166015625,normal
Ni8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0972767400000123,1.8692164421081543,normal
Ni6O12_H2O(g) - H2(g) + * -> O*,O,4.0941954200000055,4.5612640380859375,normal
Ni6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6035417900000084,1.6728134155273438,normal
O16Os8_H2O(g) - H2(g) + * -> O*,O,0.3907408999999973,0.5573720932006836,normal
O16Os8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6594035900000108,-0.3085789680480957,normal
O12Os6_H2O(g) - H2(g) + * -> O*,O,0.6367953199999761,0.642425537109375,normal
O12Os6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.36301788000002944,-0.2433319091796875,normal
O16Pb8_H2O(g) - H2(g) + * -> O*,O,5.109737129999985,4.777496337890625,normal
O16Pb8_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0040039300000103,1.5488886833190918,normal
O12Pb6_H2O(g) - H2(g) + * -> O*,O,4.810528070000004,4.945159912109375,adsorbate_migration
O12Pb6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9783995800000014,1.72869873046875,adsorbate_migration
O16Pd8_H2O(g) - H2(g) + * -> O*,O,4.116144020000007,4.123748779296875,normal
O16Pd8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.8814808300000152,1.230682373046875,normal
O12Pd6_H2O(g) - H2(g) + * -> O*,O,3.5204086000000103,3.971114158630371,normal
O12Pd6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.2362825600000065,1.1448283195495605,normal
O16Pt8_H2O(g) - H2(g) + * -> O*,O,2.7252547499999764,3.257493019104004,normal
O16Pt8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.5042582600000003,0.6980128288269043,normal
