reaction,adsorbate,DFT,MLIP,classification
Ag8O16_H2O(g) - H2(g) + * -> O*,O,4.776718740000007,4.512519836425781,normal
Ag8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0888029000000046,1.7912397384643555,normal
Ag6O12_H2O(g) - H2(g) + * -> O*,O,4.5963922199999985,4.511041641235352,reproduction_failure
Ag6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9078245000000038,1.6931886672973633,normal
Au8O16_H2O(g) - H2(g) + * -> O*,O,4.106723360000004,3.960174560546875,normal
Au8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5057529100000124,1.06640625,adsorbate_migration
Au6O12_H2O(g) - H2(g) + * -> O*,O,4.089805870000006,4.085748672485352,unphysical_relaxation
Au6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3927296500000068,0.8902864456176758,unphysical_relaxation
Cd8O16_H2O(g) - H2(g) + * -> O*,O,5.024646590000003,4.666086196899414,normal
Cd8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.256772500000011,1.9029512405395508,normal
Cd6O12_H2O(g) - H2(g) + * -> O*,O,4.708414300000001,2.705362319946289,reproduction_failure
Cd6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0806685000000016,0.972320556640625,reproduction_failure
Co8O16_H2O(g) - H2(g) + * -> O*,O,3.7730144699999926,3.598968505859375,normal
Co8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3849585600000012,1.126220703125,normal
Co6O12_H2O(g) - H2(g) + * -> O*,O,3.6909155100000106,3.6218414306640625,normal
Co6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3429571800000133,1.127105712890625,normal
Cr8O16_H2O(g) - H2(g) + * -> O*,O,3.2340354399999853,2.410186767578125,normal
Cr8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.125645999999989,0.778717041015625,normal
Cr6O12_H2O(g) - H2(g) + * -> O*,O,3.403052669999994,2.0685977935791016,unphysical_relaxation
Cr6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3257011599999942,0.7958831787109375,normal
Cu8O16_H2O(g) - H2(g) + * -> O*,O,4.7515746199999995,4.548393249511719,normal
Cu8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.2884642799999995,1.8169355392456055,normal
Cu6O12_H2O(g) - H2(g) + * -> O*,O,4.709045009999997,4.5194549560546875,normal
Cu6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.278097509999995,1.7469482421875,adsorbate_migration
Fe8O16_H2O(g) - H2(g) + * -> O*,O,4.7115982999999915,3.693145751953125,unphysical_relaxation
Fe8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8822180100000026,1.027191162109375,unphysical_relaxation
Fe6O12_H2O(g) - H2(g) + * -> O*,O,4.525998889999997,3.7563018798828125,unphysical_relaxation
Fe6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8332475400000021,1.0759859085083008,unphysical_relaxation
Ga6O12_H2O(g) - H2(g) + * -> O*,O,4.654239590000003,4.377511978149414,normal
Ga6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.168456400000011,1.6485109329223633,normal
Ga8O16_H2O(g) - H2(g) + * -> O*,O,4.741778619999991,4.3566436767578125,normal
Ga8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.081958209999982,1.6465272903442383,normal
Ge8O16_H2O(g) - H2(g) + * -> O*,O,4.407339119999989,3.8177642822265625,normal
Ge8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6025459399999988,0.7446441650390625,normal
Ge6O12_H2O(g) - H2(g) + * -> O*,O,4.505709780000004,4.161468505859375,normal
Ge6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.7843677000000042,1.1523866653442383,normal
Hf8O16_H2O(g) - H2(g) + * -> O*,O,4.471249029999996,3.9880313873291016,normal
Hf8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.536630439999982,1.0269136428833008,normal
Hf6O12_H2O(g) - H2(g) + * -> O*,O,4.429426540000009,4.191070556640625,unphysical_relaxation
Hf6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5856020299999898,1.2952880859375,normal
Hg8O16_H2O(g) - H2(g) + * -> O*,O,5.447956660000003,4.94976806640625,unphysical_relaxation
Hg8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.809764130000005,2.060635566711426,unphysical_relaxation
Hg6O12_H2O(g) - H2(g) + * -> O*,O,5.982212809999993,5.022089004516602,normal
Hg6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.7388193199999975,-1.6363248825073242,reproduction_failure
In8O16_H2O(g) - H2(g) + * -> O*,O,4.851615380000013,4.487770080566406,normal
In8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.127687750000007,1.69830322265625,normal
In6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.027657860000005,1.5372724533081055,unphysical_relaxation
In6O12_H2O(g) - H2(g) + * -> O*,O,4.609503860000004,4.424201965332031,unphysical_relaxation
Ir8O16_H2O(g) - H2(g) + * -> O*,O,1.4617940899999837,1.76007080078125,normal
Ir8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.34482077999999206,0.0025634765625,normal
Ir6O12_H2O(g) - H2(g) + * -> O*,O,1.5364246399999786,1.8995361328125,normal
Ir6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.24125521999999933,0.03790283203125,normal
Mn8O16_H2O(g) - H2(g) + * -> O*,O,4.094782609999982,3.6374759674072266,normal
Mn8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5346961499999736,0.9771089553833008,normal
Mn6O12_H2O(g) - H2(g) + * -> O*,O,4.015549669999984,3.70166015625,normal
Mn6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.479763840000004,1.0024871826171875,unphysical_relaxation
Mo8O16_H2O(g) - H2(g) + * -> O*,O,-0.2763444900000138,-0.4453125,normal
Mo8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6729427900000076,-0.7386474609375,normal
Mo6O12_H2O(g) - H2(g) + * -> O*,O,-0.05588604999999802,-0.38092613220214844,normal
Mo6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6243819400000064,-0.7124967575073242,normal
Nb8O16_H2O(g) - H2(g) + * -> O*,O,-0.2471059700000069,-0.46193695068359375,normal
Nb8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.0331504800000175,-0.8508939743041992,normal
Nb6O12_H2O(g) - H2(g) + * -> O*,O,0.2305838700000038,-0.17490196228027344,normal
Nb6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.7488003199999866,-0.8970947265625,normal
Ni8O16_H2O(g) - H2(g) + * -> O*,O,4.480876070000008,4.2218475341796875,normal
Ni8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0972767400000123,1.2732362747192383,normal
Ni6O12_H2O(g) - H2(g) + * -> O*,O,4.0941954200000055,4.155517578125,unphysical_relaxation
Ni6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6035417900000084,1.181304931640625,unphysical_relaxation
O16Os8_H2O(g) - H2(g) + * -> O*,O,0.3907408999999973,0.25933265686035156,normal
O16Os8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6594035900000108,-0.6901273727416992,normal
O12Os6_H2O(g) - H2(g) + * -> O*,O,0.6367953199999761,0.423492431640625,normal
O12Os6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.36301788000002944,-0.61492919921875,normal
O16Pb8_H2O(g) - H2(g) + * -> O*,O,5.109737129999985,4.125,normal
O16Pb8_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0040039300000103,1.2012300491333008,normal
O12Pb6_H2O(g) - H2(g) + * -> O*,O,4.810528070000004,4.159912109375,unphysical_relaxation
O12Pb6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9783995800000014,1.31103515625,unphysical_relaxation
O16Pd8_H2O(g) - H2(g) + * -> O*,O,4.116144020000007,3.613037109375,normal
O16Pd8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.8814808300000152,0.9117431640625,normal
O12Pd6_H2O(g) - H2(g) + * -> O*,O,3.5204086000000103,3.468149185180664,normal
O12Pd6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.2362825600000065,0.7801027297973633,normal
O16Pt8_H2O(g) - H2(g) + * -> O*,O,2.7252547499999764,2.8652420043945312,normal
O16Pt8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.5042582600000003,0.4845552444458008,normal
O12Pt6_H2O(g) - H2(g) + * -> O*,O,2.594336840000011,2.888397216796875,unphysical_relaxation
O12Pt6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.40920365000000913,0.413787841796875,unphysical_relaxation
O16Re8_H2O(g) - H2(g) + * -> O*,O,-0.4969995900000015,-0.21466064453125,unphysical_relaxation
O16Re8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.2456720500000245,-0.7940673828125,unphysical_relaxation
O12Re6_H2O(g) - H2(g) + * -> O*,O,0.09213249999999107,2.47955322265625e-05,unphysical_relaxation
O12Re6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.5968070200000284,-0.6351346969604492,unphysical_relaxation
O16Rh8_H2O(g) - H2(g) + * -> O*,O,2.541768879999978,2.70477294921875,normal
O16Rh8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.4624788099999648,0.57952880859375,normal
O12Rh6_H2O(g) - H2(g) + * -> O*,O,2.6952608900000143,2.75628662109375,normal
O12Rh6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.6185678900000084,0.555450439453125,normal
O16Ru8_H2O(g) - H2(g) + * -> O*,O,1.625445419999977,1.34478759765625,normal
O16Ru8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.16800036999998724,0.0313720703125,normal
O12Ru6_H2O(g) - H2(g) + * -> O*,O,1.8274376099999756,1.414276123046875,normal
O12Ru6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.4127437599999837,0.020660400390625,normal
O16Sn8_H2O(g) - H2(g) + * -> O*,O,4.433789279999985,3.512542724609375,normal
O16Sn8_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.4002222199999892,0.48291015625,unphysical_relaxation
O12Sn6_H2O(g) - H2(g) + * -> O*,O,4.526084319999995,3.8649539947509766,unphysical_relaxation
O12Sn6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6606341699999945,0.7249269485473633,unphysical_relaxation
O16Ta8_H2O(g) - H2(g) + * -> O*,O,-1.0716364600000077,-1.03662109375,normal
O16Ta8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.8457094800000107,-1.391357421875,normal
O12Ta6_H2O(g) - H2(g) + * -> O*,O,-0.3860777400000188,-0.5969905853271484,normal
O12Ta6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.4648872700000197,-1.4592313766479492,normal
O16Tc8_H2O(g) - H2(g) + * -> O*,O,0.5412371900000039,0.4656982421875,normal
O16Tc8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.36355546999999433,-0.46868896484375,normal
