reaction,adsorbate,DFT,MLIP,classification
Ag8O16_H2O(g) - H2(g) + * -> O*,O,4.776718740000007,4.673828125,normal
Ag8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0888029000000046,1.9661550521850586,normal
Ag6O12_H2O(g) - H2(g) + * -> O*,O,4.5963922199999985,4.538286209106445,unphysical_relaxation
Ag6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9078245000000038,1.767991065979004,unphysical_relaxation
Au8O16_H2O(g) - H2(g) + * -> O*,O,4.106723360000004,4.066650390625,normal
Au8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5057529100000124,1.5396575927734375,normal
Au6O12_H2O(g) - H2(g) + * -> O*,O,4.089805870000006,4.177957534790039,unphysical_relaxation
Au6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3927296500000068,1.5995416641235352,unphysical_relaxation
Cd8O16_H2O(g) - H2(g) + * -> O*,O,5.024646590000003,5.26133918762207,normal
Cd8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.256772500000011,-6.378600120544434,reproduction_failure
Cd6O12_H2O(g) - H2(g) + * -> O*,O,4.708414300000001,1.6630191802978516,reproduction_failure
Cd6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0806685000000016,0.7882614135742188,reproduction_failure
Co8O16_H2O(g) - H2(g) + * -> O*,O,3.7730144699999926,3.94482421875,normal
Co8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3849585600000012,1.5343780517578125,normal
Co6O12_H2O(g) - H2(g) + * -> O*,O,3.6909155100000106,4.017669677734375,normal
Co6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3429571800000133,1.4908447265625,normal
Cr8O16_H2O(g) - H2(g) + * -> O*,O,3.2340354399999853,3.2762908935546875,normal
Cr8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.125645999999989,1.3068389892578125,normal
Cr6O12_H2O(g) - H2(g) + * -> O*,O,3.403052669999994,3.398019790649414,normal
Cr6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3257011599999942,1.3195953369140625,normal
Cu8O16_H2O(g) - H2(g) + * -> O*,O,4.7515746199999995,5.009910583496094,normal
Cu8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.2884642799999995,2.154189109802246,normal
Cu6O12_H2O(g) - H2(g) + * -> O*,O,4.709045009999997,1.8028640747070312,unphysical_relaxation
Cu6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.278097509999995,1.9648284912109375,adsorbate_migration
Fe8O16_H2O(g) - H2(g) + * -> O*,O,4.7115982999999915,4.5802764892578125,normal
Fe8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8822180100000026,1.9638824462890625,normal
Fe6O12_H2O(g) - H2(g) + * -> O*,O,4.525998889999997,4.533531188964844,normal
Fe6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8332475400000021,1.8885126113891602,normal
Ga6O12_H2O(g) - H2(g) + * -> O*,O,4.654239590000003,4.64506721496582,normal
Ga6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.168456400000011,2.1103906631469727,normal
Ga8O16_H2O(g) - H2(g) + * -> O*,O,4.741778619999991,4.7697906494140625,normal
Ga8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.081958209999982,2.1864328384399414,normal
Ge8O16_H2O(g) - H2(g) + * -> O*,O,4.407339119999989,4.303619384765625,normal
Ge8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6025459399999988,1.3172454833984375,normal
Ge6O12_H2O(g) - H2(g) + * -> O*,O,4.505709780000004,4.464385986328125,normal
Ge6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.7843677000000042,1.6360559463500977,normal
Hf8O16_H2O(g) - H2(g) + * -> O*,O,4.471249029999996,4.232606887817383,normal
Hf8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.536630439999982,1.1574487686157227,normal
Hf6O12_H2O(g) - H2(g) + * -> O*,O,4.429426540000009,4.3622589111328125,normal
Hf6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5856020299999898,1.383819580078125,normal
Hg8O16_H2O(g) - H2(g) + * -> O*,O,5.447956660000003,5.303413391113281,adsorbate_migration
Hg8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.809764130000005,2.6139841079711914,normal
Hg6O12_H2O(g) - H2(g) + * -> O*,O,5.982212809999993,5.314096450805664,normal
Hg6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.7388193199999975,2.6496591567993164,normal
In8O16_H2O(g) - H2(g) + * -> O*,O,4.851615380000013,4.803810119628906,normal
In8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.127687750000007,2.030364990234375,normal
In6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.027657860000005,2.0091543197631836,adsorbate_migration
In6O12_H2O(g) - H2(g) + * -> O*,O,4.609503860000004,0.6406936645507812,unphysical_relaxation
Ir8O16_H2O(g) - H2(g) + * -> O*,O,1.4617940899999837,1.7815704345703125,normal
Ir8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.34482077999999206,-0.10552978515625,normal
Ir6O12_H2O(g) - H2(g) + * -> O*,O,1.5364246399999786,1.8328018188476562,normal
Ir6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.24125521999999933,-0.02933502197265625,normal
Mn8O16_H2O(g) - H2(g) + * -> O*,O,4.094782609999982,4.09611701965332,normal
Mn8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5346961499999736,1.4893426895141602,normal
Mn6O12_H2O(g) - H2(g) + * -> O*,O,4.015549669999984,4.086906433105469,normal
Mn6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.479763840000004,1.4419403076171875,normal
Mo8O16_H2O(g) - H2(g) + * -> O*,O,-0.2763444900000138,0.7511749267578125,normal
Mo8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6729427900000076,-0.2213134765625,normal
Mo6O12_H2O(g) - H2(g) + * -> O*,O,-0.05588604999999802,0.9593906402587891,normal
Mo6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6243819400000064,-0.19109249114990234,unphysical_relaxation
Nb8O16_H2O(g) - H2(g) + * -> O*,O,-0.2471059700000069,-0.38155364990234375,normal
Nb8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.0331504800000175,-1.0533666610717773,normal
Nb6O12_H2O(g) - H2(g) + * -> O*,O,0.2305838700000038,0.06613349914550781,normal
Nb6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.7488003199999866,-0.7258148193359375,normal
Ni8O16_H2O(g) - H2(g) + * -> O*,O,4.480876070000008,4.746986389160156,normal
Ni8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0972767400000123,2.0415430068969727,normal
Ni6O12_H2O(g) - H2(g) + * -> O*,O,4.0941954200000055,2.1006698608398438,adsorbate_migration
Ni6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6035417900000084,1.6731338500976562,normal
O16Os8_H2O(g) - H2(g) + * -> O*,O,0.3907408999999973,0.5414142608642578,normal
O16Os8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6594035900000108,-0.5304021835327148,normal
O12Os6_H2O(g) - H2(g) + * -> O*,O,0.6367953199999761,0.603790283203125,normal
O12Os6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.36301788000002944,-0.4647979736328125,normal
O16Pb8_H2O(g) - H2(g) + * -> O*,O,5.109737129999985,4.7670745849609375,normal
O16Pb8_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0040039300000103,1.6681756973266602,normal
O12Pb6_H2O(g) - H2(g) + * -> O*,O,4.810528070000004,4.926979064941406,normal
O12Pb6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9783995800000014,1.9251174926757812,normal
O16Pd8_H2O(g) - H2(g) + * -> O*,O,4.116144020000007,3.749176025390625,normal
O16Pd8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.8814808300000152,0.9748764038085938,normal
O12Pd6_H2O(g) - H2(g) + * -> O*,O,3.5204086000000103,3.602670669555664,normal
O12Pd6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.2362825600000065,1.0039758682250977,normal
O16Pt8_H2O(g) - H2(g) + * -> O*,O,2.7252547499999764,2.8390274047851562,normal
O16Pt8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.5042582600000003,0.37654972076416016,normal
O12Pt6_H2O(g) - H2(g) + * -> O*,O,2.594336840000011,2.8361434936523438,normal
O12Pt6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.40920365000000913,0.47136688232421875,normal
O16Re8_H2O(g) - H2(g) + * -> O*,O,-0.4969995900000015,-0.09161376953125,normal
O16Re8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.2456720500000245,-0.83966064453125,normal
O12Re6_H2O(g) - H2(g) + * -> O*,O,0.09213249999999107,-0.05680656433105469,unphysical_relaxation
O12Re6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.5968070200000284,-0.8600072860717773,unphysical_relaxation
O16Rh8_H2O(g) - H2(g) + * -> O*,O,2.541768879999978,2.8923187255859375,normal
O16Rh8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.4624788099999648,0.6384735107421875,normal
O12Rh6_H2O(g) - H2(g) + * -> O*,O,2.6952608900000143,2.8807220458984375,normal
O12Rh6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.6185678900000084,0.6436538696289062,normal
O16Ru8_H2O(g) - H2(g) + * -> O*,O,1.625445419999977,1.86968994140625,normal
O16Ru8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.16800036999998724,0.2365264892578125,normal
O12Ru6_H2O(g) - H2(g) + * -> O*,O,1.8274376099999756,1.9019775390625,normal
O12Ru6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.4127437599999837,0.29864501953125,normal
O16Sn8_H2O(g) - H2(g) + * -> O*,O,4.433789279999985,4.2631683349609375,normal
O16Sn8_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.4002222199999892,1.23345947265625,normal
O12Sn6_H2O(g) - H2(g) + * -> O*,O,4.526084319999995,4.507226943969727,normal
O12Sn6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6606341699999945,1.5281457901000977,normal
O16Ta8_H2O(g) - H2(g) + * -> O*,O,-1.0716364600000077,-1.1380462646484375,normal
O16Ta8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.8457094800000107,-1.825592041015625,normal
O12Ta6_H2O(g) - H2(g) + * -> O*,O,-0.3860777400000188,-0.6347332000732422,normal
O12Ta6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.4648872700000197,-1.4636449813842773,normal
O16Tc8_H2O(g) - H2(g) + * -> O*,O,0.5412371900000039,0.9212493896484375,normal
O16Tc8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.36355546999999433,-0.180206298828125,normal
O12Tc6_H2O(g) - H2(g) + * -> O*,O,0.9260291299999892,1.0063037872314453,normal
O12Tc6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.16733536999998933,-0.09234619140625,normal
O16Ti8_H2O(g) - H2(g) + * -> O*,O,4.549364330000003,4.44879150390625,normal
O16Ti8_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.720904179999991,1.363387107849121,normal
O12Ti6_H2O(g) - H2(g) + * -> O*,O,4.503489049999985,4.41172981262207,normal
O12Ti6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8279682099999945,1.6131744384765625,normal
O16Tl8_H2O(g) - H2(g) + * -> O*,O,5.082935430000006,4.981767654418945,unphysical_relaxation
O16Tl8_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.4098369300000115,2.2763986587524414,unphysical_relaxation
O12Tl6_H2O(g) - H2(g) + * -> O*,O,5.473931000000007,1.2049942016601562,reproduction_failure
O12Tl6_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.08294810000001,-1.2982254028320312,reproduction_failure
O16V8_H2O(g) - H2(g) + * -> O*,O,1.958801550000004,1.889434814453125,normal
O16V8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.19372555000001057,0.6192474365234375,normal
O12V6_H2O(g) - H2(g) + * -> O*,O,2.18619111000001,1.980010986328125,normal
O12V6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.7030296899999939,0.57904052734375,normal
O12W6_H2O(g) - H2(g) + * -> O*,O,-0.027322410000010677,0.0771484375,normal
O12W6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.8223370100000125,-1.0783758163452148,normal
O16W8_H2O(g) - H2(g) + * -> O*,O,-0.7526936900000294,-0.27787017822265625,normal
O16W8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.4536935800000208,-1.055985450744629,normal
O16Zn8_H2O(g) - H2(g) + * -> O*,O,4.817226870000013,5.031190872192383,normal
O16Zn8_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.230525390000011,2.438117027282715,normal
O12Zn6_H2O(g) - H2(g) + * -> O*,O,4.757155339999997,0.74835205078125,reproduction_failure
