reaction,adsorbate,DFT,MLIP,classification
Ag8O16_H2O(g) - H2(g) + * -> O*,O,4.776718740000007,4.285559880571733,normal
Ag8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0888029000000046,1.54017261404551,normal
Ag6O12_H2O(g) - H2(g) + * -> O*,O,4.5963922199999985,4.150287287346758,normal
Ag6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9078245000000038,1.3793939709493945,normal
Au8O16_H2O(g) - H2(g) + * -> O*,O,4.106723360000004,3.9575581991041417,normal
Au8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5057529100000124,1.125761000657917,normal
Au6O12_H2O(g) - H2(g) + * -> O*,O,4.089805870000006,3.763803333019916,normal
Au6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3927296500000068,0.9321217723565387,normal
Cd8O16_H2O(g) - H2(g) + * -> O*,O,5.024646590000003,4.609684858573957,normal
Cd8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.256772500000011,-5.003525001782322,reproduction_failure
Cd6O12_H2O(g) - H2(g) + * -> O*,O,4.708414300000001,4.297902449335369,reproduction_failure
Cd6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0806685000000016,-0.0025533307351253143,reproduction_failure
Co8O16_H2O(g) - H2(g) + * -> O*,O,3.7730144699999926,3.277550641370709,normal
Co8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3849585600000012,0.8016390449406856,normal
Co6O12_H2O(g) - H2(g) + * -> O*,O,3.6909155100000106,3.4634097741642904,normal
Co6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3429571800000133,0.9021501241028886,normal
Cr8O16_H2O(g) - H2(g) + * -> O*,O,3.2340354399999853,2.6941923539732784,normal
Cr8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.125645999999989,0.6038848099463792,normal
Cr6O12_H2O(g) - H2(g) + * -> O*,O,3.403052669999994,2.8956976774495624,normal
Cr6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3257011599999942,0.7372499306348175,normal
Cu8O16_H2O(g) - H2(g) + * -> O*,O,4.7515746199999995,4.392708700234579,normal
Cu8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.2884642799999995,1.6930408985297554,normal
Cu6O12_H2O(g) - H2(g) + * -> O*,O,4.709045009999997,4.344577723789342,normal
Cu6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.278097509999995,1.619074506927376,adsorbate_migration
Fe8O16_H2O(g) - H2(g) + * -> O*,O,4.7115982999999915,4.276510213531083,normal
Fe8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8822180100000026,1.4568219002047726,normal
Fe6O12_H2O(g) - H2(g) + * -> O*,O,4.525998889999997,4.157576344754489,normal
Fe6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8332475400000021,1.3989028434662463,normal
Ga6O12_H2O(g) - H2(g) + * -> O*,O,4.654239590000003,4.264178688206173,normal
Ga6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.168456400000011,1.4917542159997517,normal
Ga8O16_H2O(g) - H2(g) + * -> O*,O,4.741778619999991,4.308219219049306,normal
Ga8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.081958209999982,1.5791801221602957,normal
Ge8O16_H2O(g) - H2(g) + * -> O*,O,4.407339119999989,4.1072865015820526,normal
Ge8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6025459399999988,1.164345851636142,normal
Ge6O12_H2O(g) - H2(g) + * -> O*,O,4.505709780000004,4.196492755822277,normal
Ge6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.7843677000000042,1.2764565563058774,normal
Hf8O16_H2O(g) - H2(g) + * -> O*,O,4.471249029999996,3.902488941909639,normal
Hf8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.536630439999982,0.8728107549816859,normal
Hf6O12_H2O(g) - H2(g) + * -> O*,O,4.429426540000009,3.9409972591832343,normal
Hf6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5856020299999898,0.9721491232066342,normal
Hg8O16_H2O(g) - H2(g) + * -> O*,O,5.447956660000003,4.860805172652022,normal
Hg8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.809764130000005,2.147521836774587,normal
Hg6O12_H2O(g) - H2(g) + * -> O*,O,5.982212809999993,4.840361990410671,normal
Hg6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.7388193199999975,2.095299306754591,adsorbate_migration
In8O16_H2O(g) - H2(g) + * -> O*,O,4.851615380000013,4.363128688022521,normal
In8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.127687750000007,1.3835849451114086,unphysical_relaxation
In6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.027657860000005,1.5692878661928167,normal
In6O12_H2O(g) - H2(g) + * -> O*,O,4.609503860000004,4.221597847891666,normal
Ir8O16_H2O(g) - H2(g) + * -> O*,O,1.4617940899999837,1.274923112410704,normal
Ir8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.34482077999999206,-0.6636983410366781,normal
Ir6O12_H2O(g) - H2(g) + * -> O*,O,1.5364246399999786,1.2979040596209757,normal
Ir6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.24125521999999933,-0.593506636742859,normal
Mn8O16_H2O(g) - H2(g) + * -> O*,O,4.094782609999982,3.554902502659111,normal
Mn8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5346961499999736,0.8912149662986057,normal
Mn6O12_H2O(g) - H2(g) + * -> O*,O,4.015549669999984,3.531538627792486,normal
Mn6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.479763840000004,0.925336322920117,normal
Mo8O16_H2O(g) - H2(g) + * -> O*,O,-0.2763444900000138,0.3484694207868131,normal
Mo8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6729427900000076,-0.7726337198479314,normal
Mo6O12_H2O(g) - H2(g) + * -> O*,O,-0.05588604999999802,0.6297830459549303,normal
Mo6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6243819400000064,-0.6971912838291097,adsorbate_migration
Nb8O16_H2O(g) - H2(g) + * -> O*,O,-0.2471059700000069,-0.8730632036730412,normal
Nb8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.0331504800000175,-1.5610786020427518,normal
Nb6O12_H2O(g) - H2(g) + * -> O*,O,0.2305838700000038,-0.2524921232939832,normal
Nb6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.7488003199999866,-1.2471967439774119,normal
Ni8O16_H2O(g) - H2(g) + * -> O*,O,4.480876070000008,4.237394465747457,normal
Ni8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0972767400000123,1.4121923806731762,normal
Ni6O12_H2O(g) - H2(g) + * -> O*,O,4.0941954200000055,3.8491384827122204,normal
Ni6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6035417900000084,1.1319186491729454,normal
O16Os8_H2O(g) - H2(g) + * -> O*,O,0.3907408999999973,0.05043659917231569,normal
O16Os8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6594035900000108,-1.1584592110967797,normal
O12Os6_H2O(g) - H2(g) + * -> O*,O,0.6367953199999761,0.18148463976680773,normal
O12Os6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.36301788000002944,-1.0178700323687337,normal
O16Pb8_H2O(g) - H2(g) + * -> O*,O,5.109737129999985,4.46203435669355,normal
O16Pb8_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0040039300000103,1.3999436906508156,normal
O12Pb6_H2O(g) - H2(g) + * -> O*,O,4.810528070000004,4.439050189848103,normal
O12Pb6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9783995800000014,1.4537605277933352,normal
O16Pd8_H2O(g) - H2(g) + * -> O*,O,4.116144020000007,3.286167599201775,normal
O16Pd8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.8814808300000152,0.5516732172962122,normal
O12Pd6_H2O(g) - H2(g) + * -> O*,O,3.5204086000000103,3.2368002933709548,normal
