reaction,adsorbate,DFT,MLIP,classification
Ag8O16_H2O(g) - H2(g) + * -> O*,O,4.776718740000007,3.756048332390323,normal
Ag8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0888029000000046,1.002447014859995,normal
Ag6O12_H2O(g) - H2(g) + * -> O*,O,4.5963922199999985,3.602538973147446,normal
Ag6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9078245000000038,0.7969441272164177,normal
Au8O16_H2O(g) - H2(g) + * -> O*,O,4.106723360000004,3.2160882598324605,normal
Au8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5057529100000124,0.5428362361366368,normal
Au6O12_H2O(g) - H2(g) + * -> O*,O,4.089805870000006,3.1406765555036973,normal
Au6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3927296500000068,0.34425105161986114,normal
Cd8O16_H2O(g) - H2(g) + * -> O*,O,5.024646590000003,3.9341017600155883,normal
Cd8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.256772500000011,-5.5415845047217855,reproduction_failure
Cd6O12_H2O(g) - H2(g) + * -> O*,O,4.708414300000001,0.4413144637201043,reproduction_failure
Cd6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0806685000000016,-0.45294142151041683,reproduction_failure
Co8O16_H2O(g) - H2(g) + * -> O*,O,3.7730144699999926,2.7593241380981794,normal
Co8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3849585600000012,0.37729443268861473,normal
Co6O12_H2O(g) - H2(g) + * -> O*,O,3.6909155100000106,2.8694125464763687,normal
Co6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3429571800000133,0.4250987801599848,normal
Cr8O16_H2O(g) - H2(g) + * -> O*,O,3.2340354399999853,2.0664897537148192,normal
Cr8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.125645999999989,0.06099214982043577,normal
Cr6O12_H2O(g) - H2(g) + * -> O*,O,3.403052669999994,2.244629821714037,normal
Cr6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3257011599999942,0.16384811899177976,normal
