reaction,adsorbate,DFT,MLIP,classification
Ag8O16_H2O(g) - H2(g) + * -> O*,O,4.776718740000007,4.370642962297965,normal
Ag8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0888029000000046,1.6808126287915637,normal
Ag6O12_H2O(g) - H2(g) + * -> O*,O,4.5963922199999985,4.178907719461139,normal
Ag6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9078245000000038,1.4182362822094574,normal
Au8O16_H2O(g) - H2(g) + * -> O*,O,4.106723360000004,4.021660043393993,normal
Au8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5057529100000124,1.2817715364537747,normal
Au6O12_H2O(g) - H2(g) + * -> O*,O,4.089805870000006,4.006528904173666,unphysical_relaxation
Au6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3927296500000068,1.2282974818340278,unphysical_relaxation
Cd8O16_H2O(g) - H2(g) + * -> O*,O,5.024646590000003,4.646268343424157,normal
Cd8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.256772500000011,-3.7498836958022026,reproduction_failure
Cd6O12_H2O(g) - H2(g) + * -> O*,O,4.708414300000001,0.5659309084677089,reproduction_failure
Cd6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0806685000000016,0.5888756285771564,reproduction_failure
Co8O16_H2O(g) - H2(g) + * -> O*,O,3.7730144699999926,3.550415097327914,normal
Co8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3849585600000012,1.020195986427808,normal
Co6O12_H2O(g) - H2(g) + * -> O*,O,3.6909155100000106,3.649466209962455,normal
Co6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3429571800000133,1.0517648460973703,normal
Cr8O16_H2O(g) - H2(g) + * -> O*,O,3.2340354399999853,3.075768066488905,normal
Cr8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.125645999999989,0.8679736209468842,normal
Cr6O12_H2O(g) - H2(g) + * -> O*,O,3.403052669999994,3.2006178749823446,normal
Cr6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3257011599999942,0.9473861615465751,normal
Cu8O16_H2O(g) - H2(g) + * -> O*,O,4.7515746199999995,4.333741627806249,normal
Cu8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.2884642799999995,1.6901385168995726,normal
Cu6O12_H2O(g) - H2(g) + * -> O*,O,4.709045009999997,4.2312069697996435,normal
Cu6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.278097509999995,1.5936520155725589,adsorbate_migration
Fe8O16_H2O(g) - H2(g) + * -> O*,O,4.7115982999999915,4.21896176675304,normal
Fe8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8822180100000026,1.372739195128986,normal
Fe6O12_H2O(g) - H2(g) + * -> O*,O,4.525998889999997,4.197011281392548,normal
Fe6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8332475400000021,1.3258980338618556,normal
Ga6O12_H2O(g) - H2(g) + * -> O*,O,4.654239590000003,1.8293097766292474,reproduction_failure
Ga6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.168456400000011,1.5173334073379947,normal
Ga8O16_H2O(g) - H2(g) + * -> O*,O,4.741778619999991,4.289090214574969,normal
Ga8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.081958209999982,1.4698588110590491,normal
Ge8O16_H2O(g) - H2(g) + * -> O*,O,4.407339119999989,4.1445388007769,normal
Ge8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6025459399999988,1.1053250413702642,normal
Ge6O12_H2O(g) - H2(g) + * -> O*,O,4.505709780000004,4.196206883533108,normal
Ge6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.7843677000000042,1.2690985606408929,normal
Hf8O16_H2O(g) - H2(g) + * -> O*,O,4.471249029999996,4.031815388785122,normal
