reaction,adsorbate,DFT,MLIP,classification
Ag8O16_H2O(g) - H2(g) + * -> O*,O,4.776718740000007,5.22150993431036,unphysical_relaxation
Ag8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0888029000000046,2.139273691863284,normal
Ag6O12_H2O(g) - H2(g) + * -> O*,O,4.5963922199999985,1.3174418448588519,unphysical_relaxation
Ag6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9078245000000038,2.1102103809396144,normal
Au8O16_H2O(g) - H2(g) + * -> O*,O,4.106723360000004,4.91278169633965,normal
Au8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5057529100000124,1.70602670676017,normal
Au6O12_H2O(g) - H2(g) + * -> O*,O,4.089805870000006,4.77234493713517,normal
Au6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3927296500000068,1.705495599539356,unphysical_relaxation
Cd8O16_H2O(g) - H2(g) + * -> O*,O,5.024646590000003,5.411598019582872,normal
Cd8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.256772500000011,-5.4182719147526,reproduction_failure
Cd6O12_H2O(g) - H2(g) + * -> O*,O,4.708414300000001,3.0462030141938676,reproduction_failure
Cd6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0806685000000016,0.5259982574161057,reproduction_failure
Co8O16_H2O(g) - H2(g) + * -> O*,O,3.7730144699999926,4.575324803405522,normal
Co8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3849585600000012,1.739438636580303,normal
Co6O12_H2O(g) - H2(g) + * -> O*,O,3.6909155100000106,4.539095287296348,normal
Co6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3429571800000133,1.6842150454441622,unphysical_relaxation
Cr8O16_H2O(g) - H2(g) + * -> O*,O,3.2340354399999853,3.715687947846675,normal
Cr8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.125645999999989,1.3627277144455832,normal
Cr6O12_H2O(g) - H2(g) + * -> O*,O,3.403052669999994,3.6557025060863033,unphysical_relaxation
Cr6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3257011599999942,1.4534709482216215,normal
Cu8O16_H2O(g) - H2(g) + * -> O*,O,4.7515746199999995,5.192782479488299,normal
Cu8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.2884642799999995,2.1654768344843127,normal
Cu6O12_H2O(g) - H2(g) + * -> O*,O,4.709045009999997,4.837620254627069,reproduction_failure
Cu6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.278097509999995,2.0347149201593027,unphysical_relaxation
Fe8O16_H2O(g) - H2(g) + * -> O*,O,4.7115982999999915,4.924706841686685,normal
Fe8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8822180100000026,1.8792059931990934,normal
Fe6O12_H2O(g) - H2(g) + * -> O*,O,4.525998889999997,2.595686233159654,reproduction_failure
Fe6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8332475400000021,2.0080334814409273,normal
Ga6O12_H2O(g) - H2(g) + * -> O*,O,4.654239590000003,5.424828803673396,normal
Ga6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.168456400000011,2.2167355513524516,normal
Ga8O16_H2O(g) - H2(g) + * -> O*,O,4.741778619999991,5.555347341316406,normal
Ga8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.081958209999982,2.105223193274222,normal
Ge8O16_H2O(g) - H2(g) + * -> O*,O,4.407339119999989,4.64036638352664,normal
Ge8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6025459399999988,0.9518654499554202,normal
Ge6O12_H2O(g) - H2(g) + * -> O*,O,4.505709780000004,4.846356680339099,normal
Ge6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.7843677000000042,1.3097833604441806,normal
Hf8O16_H2O(g) - H2(g) + * -> O*,O,4.471249029999996,3.1925156388709475,normal
Hf8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.536630439999982,0.040191700150240095,normal
Hf6O12_H2O(g) - H2(g) + * -> O*,O,4.429426540000009,3.876323151344508,unphysical_relaxation
Hf6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5856020299999898,0.49501316213903124,normal
Hg8O16_H2O(g) - H2(g) + * -> O*,O,5.447956660000003,5.488689014192147,normal
Hg8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.809764130000005,2.1371551905309847,normal
Hg6O12_H2O(g) - H2(g) + * -> O*,O,5.982212809999993,1.1002391041724415,unphysical_relaxation
Hg6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.7388193199999975,2.246539852852651,unphysical_relaxation
In8O16_H2O(g) - H2(g) + * -> O*,O,4.851615380000013,5.500783766974605,normal
In8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.127687750000007,1.961842165539565,normal
In6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.027657860000005,2.085912931850036,unphysical_relaxation
In6O12_H2O(g) - H2(g) + * -> O*,O,4.609503860000004,4.986866700538355,reproduction_failure
Ir8O16_H2O(g) - H2(g) + * -> O*,O,1.4617940899999837,2.3594792531697806,normal
Ir8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.34482077999999206,0.18288872813283774,normal
Ir6O12_H2O(g) - H2(g) + * -> O*,O,1.5364246399999786,2.465597576125589,normal
Ir6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.24125521999999933,0.2486554817457005,normal
Mn8O16_H2O(g) - H2(g) + * -> O*,O,4.094782609999982,4.37681892428559,normal
Mn8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5346961499999736,1.4342410884592827,normal
Mn6O12_H2O(g) - H2(g) + * -> O*,O,4.015549669999984,4.442164955958205,normal
Mn6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.479763840000004,1.4978265350537185,normal
Mo8O16_H2O(g) - H2(g) + * -> O*,O,-0.2763444900000138,1.0490404671390081,normal
Mo8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6729427900000076,-0.10682083505164996,normal
Mo6O12_H2O(g) - H2(g) + * -> O*,O,-0.05588604999999802,1.1412641423175423,normal
Mo6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6243819400000064,-0.20567665901078236,normal
Nb8O16_H2O(g) - H2(g) + * -> O*,O,-0.2471059700000069,0.26384877078589675,normal
Nb8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.0331504800000175,-0.7988964784818844,normal
Nb6O12_H2O(g) - H2(g) + * -> O*,O,0.2305838700000038,0.7499030662472599,normal
Nb6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.7488003199999866,-0.7209552320219643,normal
