reaction,adsorbate,DFT,MLIP,classification
Ag8O16_H2O(g) - H2(g) + * -> O*,O,4.776718740000007,4.63266134262085,normal
Ag8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0888029000000046,1.9316375255584717,normal
Ag6O12_H2O(g) - H2(g) + * -> O*,O,4.5963922199999985,4.528245449066162,adsorbate_migration
Ag6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9078245000000038,1.836979627609253,normal
Au8O16_H2O(g) - H2(g) + * -> O*,O,4.106723360000004,4.020318508148193,normal
Au8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5057529100000124,1.436253309249878,normal
Au6O12_H2O(g) - H2(g) + * -> O*,O,4.089805870000006,4.099229335784912,unphysical_relaxation
Au6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3927296500000068,1.4047973155975342,unphysical_relaxation
Cd8O16_H2O(g) - H2(g) + * -> O*,O,5.024646590000003,5.012773036956787,normal
Cd8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.256772500000011,-2.7167389392852783,reproduction_failure
Cd6O12_H2O(g) - H2(g) + * -> O*,O,4.708414300000001,1.0944457054138184,reproduction_failure
Cd6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0806685000000016,0.7632224559783936,reproduction_failure
Co8O16_H2O(g) - H2(g) + * -> O*,O,3.7730144699999926,3.525949001312256,normal
Co8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3849585600000012,1.253453016281128,normal
Co6O12_H2O(g) - H2(g) + * -> O*,O,3.6909155100000106,3.6710829734802246,normal
Co6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3429571800000133,1.354283094406128,normal
Cr8O16_H2O(g) - H2(g) + * -> O*,O,3.2340354399999853,2.0317015647888184,normal
Cr8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.125645999999989,0.7784621715545654,normal
Cr6O12_H2O(g) - H2(g) + * -> O*,O,3.403052669999994,2.1861815452575684,normal
Cr6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3257011599999942,0.8754012584686279,normal
Cu8O16_H2O(g) - H2(g) + * -> O*,O,4.7515746199999995,4.856561183929443,normal
Cu8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.2884642799999995,2.2535369396209717,normal
Cu6O12_H2O(g) - H2(g) + * -> O*,O,4.709045009999997,4.762582302093506,normal
Cu6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.278097509999995,2.157749891281128,adsorbate_migration
Fe8O16_H2O(g) - H2(g) + * -> O*,O,4.7115982999999915,3.0301756858825684,normal
Fe8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8822180100000026,1.025608777999878,normal
Fe6O12_H2O(g) - H2(g) + * -> O*,O,4.525998889999997,3.166818141937256,unphysical_relaxation
Fe6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8332475400000021,1.1365554332733154,unphysical_relaxation
Ga6O12_H2O(g) - H2(g) + * -> O*,O,4.654239590000003,4.663682460784912,normal
Ga6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.168456400000011,2.1446731090545654,normal
Ga8O16_H2O(g) - H2(g) + * -> O*,O,4.741778619999991,4.777017116546631,normal
Ga8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.081958209999982,2.1738173961639404,normal
Ge8O16_H2O(g) - H2(g) + * -> O*,O,4.407339119999989,4.429894924163818,normal
Ge8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6025459399999988,1.615544080734253,normal
Ge6O12_H2O(g) - H2(g) + * -> O*,O,4.505709780000004,4.629174709320068,normal
Ge6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.7843677000000042,1.896885633468628,normal
Hf8O16_H2O(g) - H2(g) + * -> O*,O,4.471249029999996,4.448037624359131,normal
Hf8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.536630439999982,1.4208266735076904,normal
Hf6O12_H2O(g) - H2(g) + * -> O*,O,4.429426540000009,4.507104396820068,normal
Hf6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5856020299999898,1.5999648571014404,normal
Hg8O16_H2O(g) - H2(g) + * -> O*,O,5.447956660000003,5.390893459320068,normal
Hg8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.809764130000005,2.729992628097534,normal
Hg6O12_H2O(g) - H2(g) + * -> O*,O,5.982212809999993,1.679124355316162,reproduction_failure
Hg6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.7388193199999975,2.600632429122925,unphysical_relaxation
In8O16_H2O(g) - H2(g) + * -> O*,O,4.851615380000013,4.864694118499756,normal
In8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.127687750000007,-1.6602280139923096,reproduction_failure
In6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.027657860000005,-0.7764084339141846,reproduction_failure
In6O12_H2O(g) - H2(g) + * -> O*,O,4.609503860000004,0.6403975486755371,reproduction_failure
Ir8O16_H2O(g) - H2(g) + * -> O*,O,1.4617940899999837,1.4851927757263184,normal
Ir8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.34482077999999206,-0.28658604621887207,normal
Ir6O12_H2O(g) - H2(g) + * -> O*,O,1.5364246399999786,1.5398802757263184,normal
Ir6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.24125521999999933,-0.17194676399230957,normal
Mn8O16_H2O(g) - H2(g) + * -> O*,O,4.094782609999982,2.833901882171631,normal
Mn8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5346961499999736,0.8882339000701904,normal
Mn6O12_H2O(g) - H2(g) + * -> O*,O,4.015549669999984,2.9595274925231934,normal
Mn6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.479763840000004,1.000675916671753,normal
Mo8O16_H2O(g) - H2(g) + * -> O*,O,-0.2763444900000138,-0.6006684303283691,normal
Mo8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6729427900000076,-0.6370041370391846,normal
Mo6O12_H2O(g) - H2(g) + * -> O*,O,-0.05588604999999802,-0.49973154067993164,normal
Mo6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6243819400000064,-0.8122055530548096,normal
Nb8O16_H2O(g) - H2(g) + * -> O*,O,-0.2471059700000069,-0.35332345962524414,normal
Nb8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.0331504800000175,-0.9074661731719971,normal
Nb6O12_H2O(g) - H2(g) + * -> O*,O,0.2305838700000038,0.20884084701538086,normal
Nb6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.7488003199999866,-0.6052811145782471,normal
Ni8O16_H2O(g) - H2(g) + * -> O*,O,4.480876070000008,4.084786891937256,normal
Ni8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0972767400000123,1.6827590465545654,normal
Ni6O12_H2O(g) - H2(g) + * -> O*,O,4.0941954200000055,4.057687282562256,normal
Ni6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6035417900000084,1.5730483531951904,normal
O16Os8_H2O(g) - H2(g) + * -> O*,O,0.3907408999999973,0.33034658432006836,normal
O16Os8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6594035900000108,-0.6718552112579346,normal
O12Os6_H2O(g) - H2(g) + * -> O*,O,0.6367953199999761,0.41849660873413086,normal
O12Os6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.36301788000002944,-0.5654404163360596,normal
O16Pb8_H2O(g) - H2(g) + * -> O*,O,5.109737129999985,4.914941310882568,normal
O16Pb8_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0040039300000103,1.9777114391326904,normal
O12Pb6_H2O(g) - H2(g) + * -> O*,O,4.810528070000004,5.031075954437256,normal
O12Pb6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9783995800000014,2.1556899547576904,normal
O16Pd8_H2O(g) - H2(g) + * -> O*,O,4.116144020000007,3.6263670921325684,normal
O16Pd8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.8814808300000152,0.9807326793670654,normal
O12Pd6_H2O(g) - H2(g) + * -> O*,O,3.5204086000000103,3.5827879905700684,normal
O12Pd6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.2362825600000065,1.0775344371795654,normal
O16Pt8_H2O(g) - H2(g) + * -> O*,O,2.7252547499999764,2.7255797386169434,normal
O16Pt8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.5042582600000003,0.34412074089050293,normal
O12Pt6_H2O(g) - H2(g) + * -> O*,O,2.594336840000011,2.752603054046631,normal
O12Pt6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.40920365000000913,0.3958709239959717,normal
O16Re8_H2O(g) - H2(g) + * -> O*,O,-0.4969995900000015,-0.42633676528930664,normal
O16Re8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.2456720500000245,-1.1717636585235596,normal
O12Re6_H2O(g) - H2(g) + * -> O*,O,0.09213249999999107,-0.19423532485961914,normal
O12Re6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.5968070200000284,-0.8587753772735596,normal
O16Rh8_H2O(g) - H2(g) + * -> O*,O,2.541768879999978,2.641488552093506,normal
O16Rh8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.4624788099999648,0.5556380748748779,normal
O12Rh6_H2O(g) - H2(g) + * -> O*,O,2.6952608900000143,2.7686705589294434,normal
O12Rh6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.6185678900000084,0.6399352550506592,normal
O16Ru8_H2O(g) - H2(g) + * -> O*,O,1.625445419999977,1.4336943626403809,normal
O16Ru8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.16800036999998724,0.06677699089050293,normal
O12Ru6_H2O(g) - H2(g) + * -> O*,O,1.8274376099999756,1.6216979026794434,normal
O12Ru6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.4127437599999837,0.22357630729675293,normal
O16Sn8_H2O(g) - H2(g) + * -> O*,O,4.433789279999985,4.517343044281006,normal
O16Sn8_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.4002222199999892,1.5625503063201904,normal
O12Sn6_H2O(g) - H2(g) + * -> O*,O,4.526084319999995,4.675004482269287,normal
O12Sn6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6606341699999945,1.7741057872772217,normal
O16Ta8_H2O(g) - H2(g) + * -> O*,O,-1.0716364600000077,-1.2375245094299316,normal
O16Ta8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.8457094800000107,-1.7089951038360596,normal
O12Ta6_H2O(g) - H2(g) + * -> O*,O,-0.3860777400000188,-0.47698068618774414,normal
O12Ta6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.4648872700000197,-1.320521593093872,normal
O16Tc8_H2O(g) - H2(g) + * -> O*,O,0.5412371900000039,0.31148672103881836,normal
O16Tc8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.36355546999999433,-0.5384171009063721,normal
O12Tc6_H2O(g) - H2(g) + * -> O*,O,0.9260291299999892,0.5107054710388184,normal
O12Tc6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.16733536999998933,-0.21020054817199707,normal
O16Ti8_H2O(g) - H2(g) + * -> O*,O,4.549364330000003,4.590386867523193,normal
O16Ti8_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.720904179999991,1.640721082687378,normal
O12Ti6_H2O(g) - H2(g) + * -> O*,O,4.503489049999985,4.754876613616943,normal
O12Ti6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8279682099999945,1.909123182296753,normal
O16Tl8_H2O(g) - H2(g) + * -> O*,O,5.082935430000006,5.091256618499756,normal
O16Tl8_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.4098369300000115,2.341099500656128,normal
O12Tl6_H2O(g) - H2(g) + * -> O*,O,5.473931000000007,4.954080104827881,unphysical_relaxation
O12Tl6_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.08294810000001,-1.2120392322540283,reproduction_failure
O16V8_H2O(g) - H2(g) + * -> O*,O,1.958801550000004,1.1612334251403809,normal
O16V8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.19372555000001057,0.28688502311706543,normal
O12V6_H2O(g) - H2(g) + * -> O*,O,2.18619111000001,1.3045287132263184,normal
O12V6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.7030296899999939,0.31140589714050293,normal
O12W6_H2O(g) - H2(g) + * -> O*,O,-0.027322410000010677,-0.46707773208618164,normal
O12W6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.8223370100000125,-1.033808946609497,normal
