reaction,adsorbate,DFT,MLIP,classification
Ag8O16_H2O(g) - H2(g) + * -> O*,O,4.776718740000007,4.63266134262085,normal
Ag8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0888029000000046,1.9316380023956299,normal
Ag6O12_H2O(g) - H2(g) + * -> O*,O,4.5963922199999985,4.528245449066162,adsorbate_migration
Ag6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9078245000000038,1.8369801044464111,normal
Au8O16_H2O(g) - H2(g) + * -> O*,O,4.106723360000004,4.020318508148193,normal
Au8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5057529100000124,1.4362537860870361,normal
Au6O12_H2O(g) - H2(g) + * -> O*,O,4.089805870000006,4.099236965179443,unphysical_relaxation
Au6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3927296500000068,1.4048130512237549,unphysical_relaxation
Cd8O16_H2O(g) - H2(g) + * -> O*,O,5.024646590000003,5.012773036956787,normal
Cd8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.256772500000011,-4.97424578666687,reproduction_failure
Cd6O12_H2O(g) - H2(g) + * -> O*,O,4.708414300000001,-0.5300278663635254,reproduction_failure
Cd6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0806685000000016,0.7548420429229736,reproduction_failure
Co8O16_H2O(g) - H2(g) + * -> O*,O,3.7730144699999926,3.5259642601013184,normal
Co8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3849585600000012,1.2534687519073486,normal
Co6O12_H2O(g) - H2(g) + * -> O*,O,3.6909155100000106,3.6710829734802246,normal
Co6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3429571800000133,1.3542835712432861,normal
Cr8O16_H2O(g) - H2(g) + * -> O*,O,3.2340354399999853,2.031716823577881,normal
Cr8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.125645999999989,0.7784626483917236,normal
Cr6O12_H2O(g) - H2(g) + * -> O*,O,3.403052669999994,2.186166286468506,normal
Cr6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3257011599999942,0.8753864765167236,normal
Cu8O16_H2O(g) - H2(g) + * -> O*,O,4.7515746199999995,4.856553554534912,normal
Cu8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.2884642799999995,2.25353741645813,normal
Cu6O12_H2O(g) - H2(g) + * -> O*,O,4.709045009999997,4.762589931488037,normal
Cu6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.278097509999995,2.15771222114563,adsorbate_migration
Fe8O16_H2O(g) - H2(g) + * -> O*,O,4.7115982999999915,3.0301756858825684,normal
Fe8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8822180100000026,1.0255939960479736,normal
Fe6O12_H2O(g) - H2(g) + * -> O*,O,4.525998889999997,3.1668028831481934,unphysical_relaxation
Fe6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8332475400000021,1.1365559101104736,unphysical_relaxation
Ga6O12_H2O(g) - H2(g) + * -> O*,O,4.654239590000003,4.663682460784912,normal
Ga6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.168456400000011,2.150883913040161,normal
Ga8O16_H2O(g) - H2(g) + * -> O*,O,4.741778619999991,4.777017116546631,normal
Ga8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.081958209999982,2.1738178730010986,normal
Ge8O16_H2O(g) - H2(g) + * -> O*,O,4.407339119999989,4.429879665374756,normal
Ge8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6025459399999988,1.6155445575714111,normal
Ge6O12_H2O(g) - H2(g) + * -> O*,O,4.505709780000004,4.629174709320068,normal
Ge6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.7843677000000042,1.8968861103057861,normal
Hf8O16_H2O(g) - H2(g) + * -> O*,O,4.471249029999996,4.448037624359131,normal
Hf8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.536630439999982,1.4208271503448486,normal
Hf6O12_H2O(g) - H2(g) + * -> O*,O,4.429426540000009,4.507119655609131,normal
Hf6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5856020299999898,1.5999805927276611,normal
Hg8O16_H2O(g) - H2(g) + * -> O*,O,5.447956660000003,5.390893459320068,normal
Hg8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.809764130000005,2.7299931049346924,normal
Hg6O12_H2O(g) - H2(g) + * -> O*,O,5.982212809999993,1.6580710411071777,reproduction_failure
