reaction,adsorbate,DFT,MLIP,classification
Ag8O16_H2O(g) - H2(g) + * -> O*,O,4.776718740000007,4.479156494140625,normal
Ag8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0888029000000046,1.7921209335327148,normal
Ag6O12_H2O(g) - H2(g) + * -> O*,O,4.5963922199999985,4.384124755859375,normal
Ag6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9078245000000038,1.6635351181030273,normal
Au8O16_H2O(g) - H2(g) + * -> O*,O,4.106723360000004,3.852691650390625,normal
Au8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5057529100000124,1.2536993026733398,normal
Au6O12_H2O(g) - H2(g) + * -> O*,O,4.089805870000006,3.89776611328125,unphysical_relaxation
Au6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3927296500000068,1.1672430038452148,unphysical_relaxation
Cd8O16_H2O(g) - H2(g) + * -> O*,O,5.024646590000003,4.799407958984375,normal
Cd8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.256772500000011,1.6249761581420898,unphysical_relaxation
Cd6O12_H2O(g) - H2(g) + * -> O*,O,4.708414300000001,4.6263275146484375,unphysical_relaxation
Cd6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0806685000000016,-0.8070764541625977,reproduction_failure
Co8O16_H2O(g) - H2(g) + * -> O*,O,3.7730144699999926,3.5045013427734375,normal
Co8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3849585600000012,1.1181859970092773,normal
Co6O12_H2O(g) - H2(g) + * -> O*,O,3.6909155100000106,3.655914306640625,normal
Co6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3429571800000133,1.2063970565795898,normal
Cr8O16_H2O(g) - H2(g) + * -> O*,O,3.2340354399999853,2.50311279296875,normal
Cr8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.125645999999989,0.7998723983764648,normal
Cr6O12_H2O(g) - H2(g) + * -> O*,O,3.403052669999994,2.6612701416015625,normal
Cr6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3257011599999942,0.9189519882202148,normal
Cu8O16_H2O(g) - H2(g) + * -> O*,O,4.7515746199999995,4.6357269287109375,normal
Cu8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.2884642799999995,2.03934383392334,normal
Cu6O12_H2O(g) - H2(g) + * -> O*,O,4.709045009999997,4.582794189453125,unphysical_relaxation
Cu6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.278097509999995,1.9611730575561523,unphysical_relaxation
Fe8O16_H2O(g) - H2(g) + * -> O*,O,4.7115982999999915,3.5366363525390625,normal
Fe8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8822180100000026,1.1142950057983398,normal
Fe6O12_H2O(g) - H2(g) + * -> O*,O,4.525998889999997,3.535614013671875,unphysical_relaxation
Fe6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8332475400000021,1.1370306015014648,unphysical_relaxation
Ga6O12_H2O(g) - H2(g) + * -> O*,O,4.654239590000003,4.58331298828125,normal
Ga6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.168456400000011,2.02493953704834,normal
Ga8O16_H2O(g) - H2(g) + * -> O*,O,4.741778619999991,4.5355682373046875,normal
Ga8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.081958209999982,1.9812688827514648,normal
Ge8O16_H2O(g) - H2(g) + * -> O*,O,4.407339119999989,4.2400665283203125,normal
Ge8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6025459399999988,1.4973058700561523,normal
Ge6O12_H2O(g) - H2(g) + * -> O*,O,4.505709780000004,4.4419403076171875,normal
Ge6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.7843677000000042,1.7363500595092773,normal
Hf8O16_H2O(g) - H2(g) + * -> O*,O,4.471249029999996,4.279541015625,normal
Hf8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.536630439999982,1.2862615585327148,normal
Hf6O12_H2O(g) - H2(g) + * -> O*,O,4.429426540000009,4.30938720703125,normal
Hf6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5856020299999898,1.4470891952514648,normal
Hg8O16_H2O(g) - H2(g) + * -> O*,O,5.447956660000003,5.221343994140625,normal
Hg8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.809764130000005,2.65262508392334,normal
Hg6O12_H2O(g) - H2(g) + * -> O*,O,5.982212809999993,5.16876220703125,reproduction_failure
Hg6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.7388193199999975,2.404669761657715,adsorbate_migration
In8O16_H2O(g) - H2(g) + * -> O*,O,4.851615380000013,4.5869140625,normal
In8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.127687750000007,1.5803899765014648,reproduction_failure
In6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.027657860000005,1.6572637557983398,unphysical_relaxation
In6O12_H2O(g) - H2(g) + * -> O*,O,4.609503860000004,4.667755126953125,unphysical_relaxation
Ir8O16_H2O(g) - H2(g) + * -> O*,O,1.4617940899999837,1.5472412109375,normal
Ir8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.34482077999999206,-0.34618473052978516,normal
Ir6O12_H2O(g) - H2(g) + * -> O*,O,1.5364246399999786,1.597869873046875,normal
Ir6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.24125521999999933,-0.26311588287353516,normal
Mn8O16_H2O(g) - H2(g) + * -> O*,O,4.094782609999982,3.438995361328125,normal
Mn8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5346961499999736,0.9480352401733398,normal
Mn6O12_H2O(g) - H2(g) + * -> O*,O,4.015549669999984,3.5661773681640625,normal
Mn6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.479763840000004,1.0679082870483398,normal
Mo8O16_H2O(g) - H2(g) + * -> O*,O,-0.2763444900000138,-0.5379638671875,normal
Mo8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6729427900000076,-0.8358697891235352,normal
Mo6O12_H2O(g) - H2(g) + * -> O*,O,-0.05588604999999802,-0.39959716796875,normal
Mo6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6243819400000064,-0.9118585586547852,normal
Nb8O16_H2O(g) - H2(g) + * -> O*,O,-0.2471059700000069,-0.56475830078125,normal
Nb8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.0331504800000175,-1.2136468887329102,normal
Nb6O12_H2O(g) - H2(g) + * -> O*,O,0.2305838700000038,0.07220458984375,normal
Nb6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.7488003199999866,-0.9183588027954102,normal
Ni8O16_H2O(g) - H2(g) + * -> O*,O,4.480876070000008,3.846771240234375,normal
Ni8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0972767400000123,1.5284185409545898,normal
Ni6O12_H2O(g) - H2(g) + * -> O*,O,4.0941954200000055,3.784271240234375,unphysical_relaxation
Ni6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6035417900000084,1.3918828964233398,unphysical_relaxation
O16Os8_H2O(g) - H2(g) + * -> O*,O,0.3907408999999973,0.35333251953125,normal
O16Os8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6594035900000108,-0.8080987930297852,normal
O12Os6_H2O(g) - H2(g) + * -> O*,O,0.6367953199999761,0.49395751953125,normal
O12Os6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.36301788000002944,-0.7082452774047852,normal
O16Pb8_H2O(g) - H2(g) + * -> O*,O,5.109737129999985,4.703125,normal
O16Pb8_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0040039300000103,1.8964300155639648,normal
O12Pb6_H2O(g) - H2(g) + * -> O*,O,4.810528070000004,4.82220458984375,normal
O12Pb6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9783995800000014,2.023322105407715,normal
O16Pd8_H2O(g) - H2(g) + * -> O*,O,4.116144020000007,3.47174072265625,normal
O16Pd8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.8814808300000152,0.9054327011108398,normal
O12Pd6_H2O(g) - H2(g) + * -> O*,O,3.5204086000000103,3.408782958984375,normal
O12Pd6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.2362825600000065,0.8986883163452148,normal
O16Pt8_H2O(g) - H2(g) + * -> O*,O,2.7252547499999764,2.57318115234375,normal
O16Pt8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.5042582600000003,0.13422298431396484,normal
O12Pt6_H2O(g) - H2(g) + * -> O*,O,2.594336840000011,2.61962890625,normal
O12Pt6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.40920365000000913,0.16730403900146484,normal
O16Re8_H2O(g) - H2(g) + * -> O*,O,-0.4969995900000015,-0.3944091796875,normal
O16Re8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.2456720500000245,-1.2851495742797852,normal
O12Re6_H2O(g) - H2(g) + * -> O*,O,0.09213249999999107,-0.1829833984375,normal
O12Re6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.5968070200000284,-0.9905328750610352,normal
O16Rh8_H2O(g) - H2(g) + * -> O*,O,2.541768879999978,2.63330078125,normal
O16Rh8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.4624788099999648,0.47751522064208984,normal
O12Rh6_H2O(g) - H2(g) + * -> O*,O,2.6952608900000143,2.8022003173828125,normal
O12Rh6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.6185678900000084,0.5504674911499023,normal
O16Ru8_H2O(g) - H2(g) + * -> O*,O,1.625445419999977,1.49853515625,normal
O16Ru8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.16800036999998724,-0.048516273498535156,normal
O12Ru6_H2O(g) - H2(g) + * -> O*,O,1.8274376099999756,1.7337493896484375,normal
O12Ru6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.4127437599999837,0.08450984954833984,normal
O16Sn8_H2O(g) - H2(g) + * -> O*,O,4.433789279999985,4.19677734375,normal
