reaction,adsorbate,DFT,MLIP,classification
Ag8O16_H2O(g) - H2(g) + * -> O*,O,4.776718740000007,4.479155540466309,normal
Ag8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0888029000000046,1.7921204566955566,normal
Ag6O12_H2O(g) - H2(g) + * -> O*,O,4.5963922199999985,4.384108543395996,normal
Ag6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9078245000000038,1.6635346412658691,normal
Au8O16_H2O(g) - H2(g) + * -> O*,O,4.106723360000004,3.8527212142944336,normal
Au8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5057529100000124,1.2537293434143066,normal
Au6O12_H2O(g) - H2(g) + * -> O*,O,4.089805870000006,3.8977651596069336,unphysical_relaxation
Au6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3927296500000068,1.1672425270080566,unphysical_relaxation
Cd8O16_H2O(g) - H2(g) + * -> O*,O,5.024646590000003,4.799376487731934,normal
Cd8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.256772500000011,1.6249756813049316,unphysical_relaxation
Cd6O12_H2O(g) - H2(g) + * -> O*,O,4.708414300000001,4.626296043395996,unphysical_relaxation
Cd6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0806685000000016,-1.2528777122497559,reproduction_failure
Co8O16_H2O(g) - H2(g) + * -> O*,O,3.7730144699999926,3.504500389099121,normal
Co8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3849585600000012,1.1181702613830566,normal
Co6O12_H2O(g) - H2(g) + * -> O*,O,3.6909155100000106,3.655898094177246,normal
Co6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3429571800000133,1.2063813209533691,normal
Cr8O16_H2O(g) - H2(g) + * -> O*,O,3.2340354399999853,2.5030813217163086,normal
Cr8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.125645999999989,0.7998719215393066,normal
Cr6O12_H2O(g) - H2(g) + * -> O*,O,3.403052669999994,2.6612539291381836,normal
Cr6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3257011599999942,0.9189515113830566,normal
Cu8O16_H2O(g) - H2(g) + * -> O*,O,4.7515746199999995,4.635741233825684,normal
Cu8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.2884642799999995,2.0393433570861816,normal
Cu6O12_H2O(g) - H2(g) + * -> O*,O,4.709045009999997,4.582793235778809,unphysical_relaxation
Cu6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.278097509999995,1.9611725807189941,unphysical_relaxation
Fe8O16_H2O(g) - H2(g) + * -> O*,O,4.7115982999999915,3.536635398864746,normal
Fe8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8822180100000026,1.1142945289611816,normal
Fe6O12_H2O(g) - H2(g) + * -> O*,O,4.525998889999997,3.5356130599975586,unphysical_relaxation
Fe6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8332475400000021,1.1370301246643066,unphysical_relaxation
Ga6O12_H2O(g) - H2(g) + * -> O*,O,4.654239590000003,4.583312034606934,normal
Ga6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.168456400000011,2.0249390602111816,normal
Ga8O16_H2O(g) - H2(g) + * -> O*,O,4.741778619999991,4.535567283630371,normal
Ga8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.081958209999982,1.9812684059143066,normal
Ge8O16_H2O(g) - H2(g) + * -> O*,O,4.407339119999989,4.240065574645996,normal
Ge8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6025459399999988,1.4973053932189941,normal
Ge6O12_H2O(g) - H2(g) + * -> O*,O,4.505709780000004,4.441954612731934,normal
Ge6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.7843677000000042,1.7363648414611816,normal
Hf8O16_H2O(g) - H2(g) + * -> O*,O,4.471249029999996,4.279540061950684,normal
Hf8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.536630439999982,1.2862610816955566,normal
Hf6O12_H2O(g) - H2(g) + * -> O*,O,4.429426540000009,4.309386253356934,normal
Hf6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5856020299999898,1.4470582008361816,normal
Hg8O16_H2O(g) - H2(g) + * -> O*,O,5.447956660000003,5.221343040466309,normal
Hg8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.809764130000005,2.6526246070861816,normal
Hg6O12_H2O(g) - H2(g) + * -> O*,O,5.982212809999993,4.913237571716309,reproduction_failure
Hg6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.7388193199999975,2.4031739234924316,reproduction_failure
In8O16_H2O(g) - H2(g) + * -> O*,O,4.851615380000013,4.586913108825684,normal
In8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.127687750000007,0.6894898414611816,reproduction_failure
In6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.027657860000005,1.6572632789611816,unphysical_relaxation
In6O12_H2O(g) - H2(g) + * -> O*,O,4.609503860000004,4.667387962341309,unphysical_relaxation
Ir8O16_H2O(g) - H2(g) + * -> O*,O,1.4617940899999837,1.5472402572631836,normal
Ir8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.34482077999999206,-0.34618520736694336,normal
Ir6O12_H2O(g) - H2(g) + * -> O*,O,1.5364246399999786,1.5978689193725586,normal
Ir6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.24125521999999933,-0.26311635971069336,normal
Mn8O16_H2O(g) - H2(g) + * -> O*,O,4.094782609999982,3.4389944076538086,normal
Mn8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5346961499999736,0.9480347633361816,normal
Mn6O12_H2O(g) - H2(g) + * -> O*,O,4.015549669999984,3.566176414489746,normal
Mn6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.479763840000004,1.0679078102111816,normal
Mo8O16_H2O(g) - H2(g) + * -> O*,O,-0.2763444900000138,-0.5379648208618164,normal
Mo8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6729427900000076,-0.8358702659606934,normal
Mo6O12_H2O(g) - H2(g) + * -> O*,O,-0.05588604999999802,-0.3995981216430664,normal
Mo6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6243819400000064,-0.9118590354919434,normal
Nb8O16_H2O(g) - H2(g) + * -> O*,O,-0.2471059700000069,-0.5647592544555664,normal
Nb8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.0331504800000175,-1.2136473655700684,normal
Nb6O12_H2O(g) - H2(g) + * -> O*,O,0.2305838700000038,0.0722036361694336,normal
Nb6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.7488003199999866,-0.9183592796325684,normal
Ni8O16_H2O(g) - H2(g) + * -> O*,O,4.480876070000008,3.8467702865600586,normal
Ni8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0972767400000123,1.5284180641174316,normal
Ni6O12_H2O(g) - H2(g) + * -> O*,O,4.0941954200000055,3.7842702865600586,unphysical_relaxation
Ni6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6035417900000084,1.3918824195861816,unphysical_relaxation
O16Os8_H2O(g) - H2(g) + * -> O*,O,0.3907408999999973,0.3532705307006836,normal
O16Os8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6594035900000108,-0.8081603050231934,normal
O12Os6_H2O(g) - H2(g) + * -> O*,O,0.6367953199999761,0.4939565658569336,normal
O12Os6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.36301788000002944,-0.7082457542419434,normal
O16Pb8_H2O(g) - H2(g) + * -> O*,O,5.109737129999985,4.703124046325684,normal
O16Pb8_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0040039300000103,1.8963685035705566,normal
O12Pb6_H2O(g) - H2(g) + * -> O*,O,4.810528070000004,4.822203636169434,normal
O12Pb6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9783995800000014,2.0233216285705566,normal
O16Pd8_H2O(g) - H2(g) + * -> O*,O,4.116144020000007,3.4717397689819336,normal
O16Pd8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.8814808300000152,0.9054627418518066,normal
O12Pd6_H2O(g) - H2(g) + * -> O*,O,3.5204086000000103,3.4087820053100586,normal
O12Pd6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.2362825600000065,0.8986878395080566,normal
O16Pt8_H2O(g) - H2(g) + * -> O*,O,2.7252547499999764,2.5731801986694336,normal
O16Pt8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.5042582600000003,0.13422250747680664,normal
O12Pt6_H2O(g) - H2(g) + * -> O*,O,2.594336840000011,2.6196279525756836,normal
O12Pt6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.40920365000000913,0.16730356216430664,normal
O16Re8_H2O(g) - H2(g) + * -> O*,O,-0.4969995900000015,-0.3944101333618164,normal
O16Re8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.2456720500000245,-1.2851500511169434,normal
O12Re6_H2O(g) - H2(g) + * -> O*,O,0.09213249999999107,-0.1829843521118164,normal
O12Re6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.5968070200000284,-0.9905333518981934,normal
O16Rh8_H2O(g) - H2(g) + * -> O*,O,2.541768879999978,2.6333303451538086,normal
O16Rh8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.4624788099999648,0.47754526138305664,normal
O12Rh6_H2O(g) - H2(g) + * -> O*,O,2.6952608900000143,2.802199363708496,normal
O12Rh6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.6185678900000084,0.5504670143127441,normal
O16Ru8_H2O(g) - H2(g) + * -> O*,O,1.625445419999977,1.4985036849975586,normal
O16Ru8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.16800036999998724,-0.04851675033569336,normal
O12Ru6_H2O(g) - H2(g) + * -> O*,O,1.8274376099999756,1.7337331771850586,normal
O12Ru6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.4127437599999837,0.08447885513305664,normal
O16Sn8_H2O(g) - H2(g) + * -> O*,O,4.433789279999985,4.196745872497559,normal
O16Sn8_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.4002222199999892,1.3596863746643066,normal
O12Sn6_H2O(g) - H2(g) + * -> O*,O,4.526084319999995,4.378188133239746,normal
O12Sn6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6606341699999945,1.5625367164611816,normal
O16Ta8_H2O(g) - H2(g) + * -> O*,O,-1.0716364600000077,-1.5776987075805664,normal
O16Ta8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.8457094800000107,-2.1113829612731934,normal
O12Ta6_H2O(g) - H2(g) + * -> O*,O,-0.3860777400000188,-0.7572641372680664,normal
O12Ta6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.4648872700000197,-1.7168517112731934,normal
O16Tc8_H2O(g) - H2(g) + * -> O*,O,0.5412371900000039,0.4306020736694336,normal
