reaction,adsorbate,DFT,MLIP,classification
Ag8O16_H2O(g) - H2(g) + * -> O*,O,4.776718740000007,4.685426235198975,normal
Ag8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0888029000000046,1.8429925441741943,unphysical_relaxation
Ag6O12_H2O(g) - H2(g) + * -> O*,O,4.5963922199999985,4.582963466644287,normal
Ag6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9078245000000038,1.9257867336273193,normal
Au8O16_H2O(g) - H2(g) + * -> O*,O,4.106723360000004,4.010499477386475,normal
Au8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5057529100000124,1.4986016750335693,normal
Au6O12_H2O(g) - H2(g) + * -> O*,O,4.089805870000006,4.046952724456787,normal
Au6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3927296500000068,1.4461266994476318,normal
Cd8O16_H2O(g) - H2(g) + * -> O*,O,5.024646590000003,4.94845724105835,normal
Cd8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.256772500000011,-5.162134408950806,reproduction_failure
Cd6O12_H2O(g) - H2(g) + * -> O*,O,4.708414300000001,-0.7904114723205566,reproduction_failure
Cd6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0806685000000016,-0.5171911716461182,reproduction_failure
Co8O16_H2O(g) - H2(g) + * -> O*,O,3.7730144699999926,3.723252773284912,normal
Co8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3849585600000012,1.1971642971038818,normal
Co6O12_H2O(g) - H2(g) + * -> O*,O,3.6909155100000106,3.7750258445739746,normal
Co6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3429571800000133,1.3116509914398193,normal
Cr8O16_H2O(g) - H2(g) + * -> O*,O,3.2340354399999853,3.353562831878662,normal
Cr8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.125645999999989,1.1653954982757568,normal
Cr6O12_H2O(g) - H2(g) + * -> O*,O,3.403052669999994,3.4771437644958496,normal
Cr6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3257011599999942,1.3427178859710693,normal
Cu8O16_H2O(g) - H2(g) + * -> O*,O,4.7515746199999995,4.768533229827881,normal
Cu8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.2884642799999995,2.149717092514038,normal
Cu6O12_H2O(g) - H2(g) + * -> O*,O,4.709045009999997,4.68551778793335,normal
Cu6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.278097509999995,2.0985162258148193,adsorbate_migration
Fe8O16_H2O(g) - H2(g) + * -> O*,O,4.7115982999999915,4.686906337738037,normal
Fe8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8822180100000026,1.8302361965179443,normal
Fe6O12_H2O(g) - H2(g) + * -> O*,O,4.525998889999997,4.6404128074646,normal
Fe6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8332475400000021,1.8363549709320068,normal
Ga6O12_H2O(g) - H2(g) + * -> O*,O,4.654239590000003,4.7361159324646,normal
Ga6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.168456400000011,2.1458871364593506,normal
Ga8O16_H2O(g) - H2(g) + * -> O*,O,4.741778619999991,4.761918544769287,normal
Ga8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.081958209999982,2.154134511947632,normal
Ge8O16_H2O(g) - H2(g) + * -> O*,O,4.407339119999989,4.45346212387085,normal
Ge8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6025459399999988,1.6321160793304443,normal
Ge6O12_H2O(g) - H2(g) + * -> O*,O,4.505709780000004,4.614625453948975,normal
Ge6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.7843677000000042,1.880887746810913,normal
Hf8O16_H2O(g) - H2(g) + * -> O*,O,4.471249029999996,4.2936110496521,normal
Hf8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.536630439999982,1.2849328517913818,normal
Hf6O12_H2O(g) - H2(g) + * -> O*,O,4.429426540000009,4.339555263519287,normal
Hf6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5856020299999898,1.4660394191741943,normal
Hg8O16_H2O(g) - H2(g) + * -> O*,O,5.447956660000003,5.220689296722412,normal
Hg8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.809764130000005,2.5796334743499756,normal
Hg6O12_H2O(g) - H2(g) + * -> O*,O,5.982212809999993,5.028134822845459,adsorbate_migration
Hg6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.7388193199999975,-0.7582762241363525,unphysical_relaxation
In8O16_H2O(g) - H2(g) + * -> O*,O,4.851615380000013,4.815423488616943,normal
In8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.127687750000007,2.0360848903656006,normal
In6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.027657860000005,-0.7134191989898682,unphysical_relaxation
In6O12_H2O(g) - H2(g) + * -> O*,O,4.609503860000004,4.737924098968506,normal
Ir8O16_H2O(g) - H2(g) + * -> O*,O,1.4617940899999837,1.430192470550537,normal
Ir8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.34482077999999206,-0.29195618629455566,normal
Ir6O12_H2O(g) - H2(g) + * -> O*,O,1.5364246399999786,1.5300612449645996,normal
Ir6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.24125521999999933,-0.15201783180236816,normal
Mn8O16_H2O(g) - H2(g) + * -> O*,O,4.094782609999982,4.016969203948975,normal
Mn8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5346961499999736,1.3419854640960693,normal
Mn6O12_H2O(g) - H2(g) + * -> O*,O,4.015549669999984,4.040666103363037,normal
Mn6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.479763840000004,1.4007012844085693,normal
Mo8O16_H2O(g) - H2(g) + * -> O*,O,-0.2763444900000138,0.7209944725036621,normal
Mo8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6729427900000076,-0.33379578590393066,normal
Mo6O12_H2O(g) - H2(g) + * -> O*,O,-0.05588604999999802,0.9236617088317871,normal
Mo6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6243819400000064,-0.21627259254455566,normal
Nb8O16_H2O(g) - H2(g) + * -> O*,O,-0.2471059700000069,-0.4362015724182129,normal
Nb8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.0331504800000175,-0.9860785007476807,normal
Nb6O12_H2O(g) - H2(g) + * -> O*,O,0.2305838700000038,0.1394515037536621,normal
Nb6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.7488003199999866,-0.7100927829742432,normal
Ni8O16_H2O(g) - H2(g) + * -> O*,O,4.480876070000008,4.521295070648193,normal
Ni8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0972767400000123,1.8077294826507568,normal
Ni6O12_H2O(g) - H2(g) + * -> O*,O,4.0941954200000055,4.390138149261475,normal
Ni6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6035417900000084,1.7134759426116943,normal
O16Os8_H2O(g) - H2(g) + * -> O*,O,0.3907408999999973,0.3409438133239746,normal
O16Os8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6594035900000108,-0.6310217380523682,normal
O12Os6_H2O(g) - H2(g) + * -> O*,O,0.6367953199999761,0.4507155418395996,normal
O12Os6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.36301788000002944,-0.49468445777893066,normal
O16Pb8_H2O(g) - H2(g) + * -> O*,O,5.109737129999985,4.801957607269287,normal
O16Pb8_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0040039300000103,1.8830773830413818,normal
O12Pb6_H2O(g) - H2(g) + * -> O*,O,4.810528070000004,4.896005153656006,normal
O12Pb6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9783995800000014,2.063131093978882,normal
O16Pd8_H2O(g) - H2(g) + * -> O*,O,4.116144020000007,3.674661159515381,normal
O16Pd8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.8814808300000152,0.9475839138031006,normal
O12Pd6_H2O(g) - H2(g) + * -> O*,O,3.5204086000000103,3.6293654441833496,normal
O12Pd6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.2362825600000065,1.1701104640960693,normal
O16Pt8_H2O(g) - H2(g) + * -> O*,O,2.7252547499999764,2.7391676902770996,normal
O16Pt8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.5042582600000003,0.40744566917419434,normal
O12Pt6_H2O(g) - H2(g) + * -> O*,O,2.594336840000011,2.759477138519287,normal
O12Pt6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.40920365000000913,0.4641549587249756,normal
O16Re8_H2O(g) - H2(g) + * -> O*,O,-0.4969995900000015,-0.3696732521057129,normal
O16Re8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.2456720500000245,-1.0831549167633057,normal
O12Re6_H2O(g) - H2(g) + * -> O*,O,0.09213249999999107,-0.1666398048400879,normal
O12Re6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.5968070200000284,-0.7798101902008057,normal
O16Rh8_H2O(g) - H2(g) + * -> O*,O,2.541768879999978,2.6675734519958496,normal
O16Rh8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.4624788099999648,0.5907495021820068,normal
O12Rh6_H2O(g) - H2(g) + * -> O*,O,2.6952608900000143,2.8258910179138184,normal
O12Rh6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.6185678900000084,0.7328774929046631,normal
O16Ru8_H2O(g) - H2(g) + * -> O*,O,1.625445419999977,1.541337490081787,normal
O16Ru8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.16800036999998724,0.12950682640075684,normal
O12Ru6_H2O(g) - H2(g) + * -> O*,O,1.8274376099999756,1.700150966644287,normal
O12Ru6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.4127437599999837,0.31851744651794434,normal
O16Sn8_H2O(g) - H2(g) + * -> O*,O,4.433789279999985,4.363420009613037,normal
O16Sn8_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.4002222199999892,1.4174859523773193,normal
O12Sn6_H2O(g) - H2(g) + * -> O*,O,4.526084319999995,4.541917324066162,normal
O12Sn6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6606341699999945,1.6569726467132568,normal
O16Ta8_H2O(g) - H2(g) + * -> O*,O,-1.0716364600000077,-1.2689499855041504,normal
O16Ta8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.8457094800000107,-1.7642767429351807,normal
O12Ta6_H2O(g) - H2(g) + * -> O*,O,-0.3860777400000188,-0.4514908790588379,normal
O12Ta6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.4648872700000197,-1.3558599948883057,normal
O16Tc8_H2O(g) - H2(g) + * -> O*,O,0.5412371900000039,0.6643996238708496,normal
O16Tc8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.36355546999999433,-0.33556580543518066,normal
O12Tc6_H2O(g) - H2(g) + * -> O*,O,0.9260291299999892,0.8072829246520996,normal
O12Tc6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.16733536999998933,-0.055597543716430664,normal
O16Ti8_H2O(g) - H2(g) + * -> O*,O,4.549364330000003,4.5355544090271,normal
O16Ti8_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.720904179999991,1.6586816310882568,normal
O12Ti6_H2O(g) - H2(g) + * -> O*,O,4.503489049999985,4.674241542816162,normal
O12Ti6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8279682099999945,1.8265740871429443,normal
O16Tl8_H2O(g) - H2(g) + * -> O*,O,5.082935430000006,5.022157192230225,unphysical_relaxation
O16Tl8_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.4098369300000115,2.281545400619507,normal
O12Tl6_H2O(g) - H2(g) + * -> O*,O,5.473931000000007,4.874757289886475,unphysical_relaxation
O12Tl6_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.08294810000001,2.224935293197632,normal
O16V8_H2O(g) - H2(g) + * -> O*,O,1.958801550000004,2.0652480125427246,normal
O16V8_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.19372555000001057,0.5406701564788818,normal
O12V6_H2O(g) - H2(g) + * -> O*,O,2.18619111000001,2.2146010398864746,normal
O12V6_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.7030296899999939,0.6362969875335693,normal
O12W6_H2O(g) - H2(g) + * -> O*,O,-0.027322410000010677,0.2231307029724121,normal
O12W6_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.8223370100000125,-0.8141272068023682,adsorbate_migration
O16W8_H2O(g) - H2(g) + * -> O*,O,-0.7526936900000294,-0.08793497085571289,normal
O16W8_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.4536935800000208,-1.1164801120758057,normal
O16Zn8_H2O(g) - H2(g) + * -> O*,O,4.817226870000013,4.860047817230225,normal
O16Zn8_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.230525390000011,2.243772268295288,normal
O12Zn6_H2O(g) - H2(g) + * -> O*,O,4.757155339999997,4.642220973968506,normal
O12Zn6_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.573420529999993,2.116323232650757,normal
O16Zr8_H2O(g) - H2(g) + * -> O*,O,4.644526559999974,4.40304708480835,normal
O16Zr8_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.7159347999999852,1.5352227687835693,normal
O12Zr6_H2O(g) - H2(g) + * -> O*,O,4.577358619999984,4.400315761566162,normal
O12Zr6_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.7708062300000051,1.6221673488616943,adsorbate_migration
Ag12O18_H2O(g) - H2(g) + * -> O*,O,4.699578740000007,4.549439907073975,normal
Ag12O18_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0584894400000024,1.907865285873413,normal
Au12O18_H2O(g) - H2(g) + * -> O*,O,4.330782670000005,4.213883876800537,normal
