reaction,adsorbate,DFT,MLIP,classification
Ag8O16_H2O(g) - H2(g) + * -> O*,O,4.776718740000007,5.200376510620117,normal
Ag8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0888029000000046,2.346848964691162,normal
Ag6O12_H2O(g) - H2(g) + * -> O*,O,4.5963922199999985,1.6284465789794922,unphysical_relaxation
Ag6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9078245000000038,2.2403197288513184,unphysical_relaxation
Au8O16_H2O(g) - H2(g) + * -> O*,O,4.106723360000004,4.309614181518555,normal
Au8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5057529100000124,1.6398634910583496,normal
Au6O12_H2O(g) - H2(g) + * -> O*,O,4.089805870000006,4.342901229858398,unphysical_relaxation
Au6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3927296500000068,1.623399257659912,unphysical_relaxation
Cd8O16_H2O(g) - H2(g) + * -> O*,O,5.024646590000003,-5.22191047668457,reproduction_failure
Cd8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.256772500000011,-5.6260666847229,reproduction_failure
Cd6O12_H2O(g) - H2(g) + * -> O*,O,4.708414300000001,-2.946718215942383,reproduction_failure
Cd6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0806685000000016,-4.344053745269775,reproduction_failure
Co8O16_H2O(g) - H2(g) + * -> O*,O,3.7730144699999926,3.9473934173583984,normal
Co8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3849585600000012,1.7159743309020996,normal
Co6O12_H2O(g) - H2(g) + * -> O*,O,3.6909155100000106,3.9616832733154297,normal
Co6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3429571800000133,1.7558226585388184,normal
Cr8O16_H2O(g) - H2(g) + * -> O*,O,3.2340354399999853,1.6008358001708984,normal
Cr8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.125645999999989,0.7540907859802246,normal
Cr6O12_H2O(g) - H2(g) + * -> O*,O,3.403052669999994,1.738821029663086,normal
Cr6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3257011599999942,0.7771925926208496,normal
Cu8O16_H2O(g) - H2(g) + * -> O*,O,4.7515746199999995,5.472570419311523,normal
Cu8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.2884642799999995,2.652749538421631,normal
Cu6O12_H2O(g) - H2(g) + * -> O*,O,4.709045009999997,1.2976741790771484,reproduction_failure
Cu6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.278097509999995,0.2203688621520996,reproduction_failure
Fe8O16_H2O(g) - H2(g) + * -> O*,O,4.7115982999999915,3.1650753021240234,unphysical_relaxation
Fe8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8822180100000026,1.405930995941162,unphysical_relaxation
Fe6O12_H2O(g) - H2(g) + * -> O*,O,4.525998889999997,3.3241329193115234,unphysical_relaxation
Fe6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8332475400000021,1.5415053367614746,unphysical_relaxation
Ga6O12_H2O(g) - H2(g) + * -> O*,O,4.654239590000003,1.0754146575927734,reproduction_failure
Ga6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.168456400000011,-2.8328614234924316,reproduction_failure
Ga8O16_H2O(g) - H2(g) + * -> O*,O,4.741778619999991,5.682249069213867,normal
Ga8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.081958209999982,2.7679991722106934,normal
Ge8O16_H2O(g) - H2(g) + * -> O*,O,4.407339119999989,5.187185287475586,normal
Ge8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6025459399999988,2.0864577293395996,normal
Ge6O12_H2O(g) - H2(g) + * -> O*,O,4.505709780000004,5.199338912963867,normal
Ge6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.7843677000000042,2.3559584617614746,normal
Hf8O16_H2O(g) - H2(g) + * -> O*,O,4.471249029999996,5.198064804077148,normal
Hf8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.536630439999982,2.0252394676208496,normal
Hf6O12_H2O(g) - H2(g) + * -> O*,O,4.429426540000009,2.5467891693115234,adsorbate_migration
Hf6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5856020299999898,2.0062575340270996,normal
Hg8O16_H2O(g) - H2(g) + * -> O*,O,5.447956660000003,5.847761154174805,unphysical_relaxation
Hg8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.809764130000005,2.894174098968506,unphysical_relaxation
Hg6O12_H2O(g) - H2(g) + * -> O*,O,5.982212809999993,1.4344196319580078,reproduction_failure
Hg6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.7388193199999975,0.08509206771850586,unphysical_relaxation
In8O16_H2O(g) - H2(g) + * -> O*,O,4.851615380000013,5.624547958374023,normal
In8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.127687750000007,2.467423915863037,normal
In6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.027657860000005,-0.2060379981994629,reproduction_failure
In6O12_H2O(g) - H2(g) + * -> O*,O,4.609503860000004,1.1246623992919922,reproduction_failure
Ir8O16_H2O(g) - H2(g) + * -> O*,O,1.4617940899999837,1.358602523803711,normal
Ir8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.34482077999999206,-0.2722611427307129,normal
Ir6O12_H2O(g) - H2(g) + * -> O*,O,1.5364246399999786,1.4652767181396484,normal
Ir6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.24125521999999933,-0.10984659194946289,normal
Mn8O16_H2O(g) - H2(g) + * -> O*,O,4.094782609999982,2.0865230560302734,energy_anomaly
Mn8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5346961499999736,1.0312514305114746,normal
Mn6O12_H2O(g) - H2(g) + * -> O*,O,4.015549669999984,2.2718257904052734,unphysical_relaxation
Mn6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.479763840000004,1.125566005706787,normal
Mo8O16_H2O(g) - H2(g) + * -> O*,O,-0.2763444900000138,-0.25515174865722656,normal
Mo8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6729427900000076,-0.5034623146057129,normal
