reaction,adsorbate,DFT,MLIP,classification
Ag8O16_H2O(g) - H2(g) + * -> O*,O,4.776718740000007,4.5633087158203125,normal
Ag8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0888029000000046,1.9379000663757324,normal
Ag6O12_H2O(g) - H2(g) + * -> O*,O,4.5963922199999985,4.4571380615234375,normal
Ag6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9078245000000038,1.872546672821045,normal
Au8O16_H2O(g) - H2(g) + * -> O*,O,4.106723360000004,3.9886932373046875,normal
Au8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5057529100000124,1.4103655815124512,normal
Au6O12_H2O(g) - H2(g) + * -> O*,O,4.089805870000006,3.9693222045898438,normal
Au6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3927296500000068,1.3967700004577637,normal
Cd8O16_H2O(g) - H2(g) + * -> O*,O,5.024646590000003,4.805778503417969,normal
Cd8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.256772500000011,1.6808276176452637,reproduction_failure
Cd6O12_H2O(g) - H2(g) + * -> O*,O,4.708414300000001,0.45691680908203125,reproduction_failure
Cd6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0806685000000016,2.1566920280456543,unphysical_relaxation
Co8O16_H2O(g) - H2(g) + * -> O*,O,3.7730144699999926,3.63128662109375,normal
Co8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3849585600000012,1.2559466361999512,normal
Co6O12_H2O(g) - H2(g) + * -> O*,O,3.6909155100000106,3.6906280517578125,normal
Co6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3429571800000133,1.3624835014343262,normal
Cr8O16_H2O(g) - H2(g) + * -> O*,O,3.2340354399999853,3.115264892578125,normal
Cr8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.125645999999989,1.0153765678405762,normal
Cr6O12_H2O(g) - H2(g) + * -> O*,O,3.403052669999994,3.2171478271484375,normal
Cr6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3257011599999942,1.1554369926452637,normal
Cu8O16_H2O(g) - H2(g) + * -> O*,O,4.7515746199999995,4.627052307128906,normal
Cu8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.2884642799999995,2.139087200164795,normal
Cu6O12_H2O(g) - H2(g) + * -> O*,O,4.709045009999997,4.529777526855469,normal
Cu6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.278097509999995,2.093616008758545,normal
Fe8O16_H2O(g) - H2(g) + * -> O*,O,4.7115982999999915,4.5198516845703125,normal
Fe8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8822180100000026,1.7073016166687012,normal
Fe6O12_H2O(g) - H2(g) + * -> O*,O,4.525998889999997,4.42254638671875,normal
Fe6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8332475400000021,1.7138476371765137,normal
Ga6O12_H2O(g) - H2(g) + * -> O*,O,4.654239590000003,4.631248474121094,normal
Ga6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.168456400000011,2.034175395965576,normal
Ga8O16_H2O(g) - H2(g) + * -> O*,O,4.741778619999991,4.75054931640625,normal
Ga8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.081958209999982,2.082423686981201,normal
Ge8O16_H2O(g) - H2(g) + * -> O*,O,4.407339119999989,4.3046417236328125,normal
Ge8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6025459399999988,1.4472765922546387,normal
Ge6O12_H2O(g) - H2(g) + * -> O*,O,4.505709780000004,4.468269348144531,normal
Ge6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.7843677000000042,1.7113757133483887,normal
Hf8O16_H2O(g) - H2(g) + * -> O*,O,4.471249029999996,4.084197998046875,normal
Hf8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.536630439999982,1.1104083061218262,normal
Hf6O12_H2O(g) - H2(g) + * -> O*,O,4.429426540000009,4.1581268310546875,normal
