reaction,adsorbate,DFT,MLIP,classification
Ag8O16_H2O(g) - H2(g) + * -> O*,O,4.776718740000007,4.666680812835693,normal
Ag8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0888029000000046,1.9267909526824951,normal
Ag6O12_H2O(g) - H2(g) + * -> O*,O,4.5963922199999985,4.598565578460693,adsorbate_migration
Ag6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9078245000000038,1.8460261821746826,normal
Au8O16_H2O(g) - H2(g) + * -> O*,O,4.106723360000004,4.043199062347412,normal
Au8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5057529100000124,1.4483897686004639,normal
Au6O12_H2O(g) - H2(g) + * -> O*,O,4.089805870000006,4.144280910491943,unphysical_relaxation
Au6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3927296500000068,1.4317195415496826,unphysical_relaxation
Cd8O16_H2O(g) - H2(g) + * -> O*,O,5.024646590000003,5.099404811859131,normal
Cd8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.256772500000011,-4.561047792434692,reproduction_failure
Cd6O12_H2O(g) - H2(g) + * -> O*,O,4.708414300000001,-0.32411813735961914,reproduction_failure
Cd6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0806685000000016,0.5802791118621826,reproduction_failure
Co8O16_H2O(g) - H2(g) + * -> O*,O,3.7730144699999926,3.7846617698669434,normal
Co8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3849585600000012,1.3672358989715576,normal
Co6O12_H2O(g) - H2(g) + * -> O*,O,3.6909155100000106,3.9180541038513184,normal
Co6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3429571800000133,1.5208690166473389,normal
Cr8O16_H2O(g) - H2(g) + * -> O*,O,3.2340354399999853,3.3648924827575684,normal
Cr8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.125645999999989,1.3417842388153076,normal
Cr6O12_H2O(g) - H2(g) + * -> O*,O,3.403052669999994,3.5200438499450684,normal
Cr6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3257011599999942,1.5444972515106201,normal
Cu8O16_H2O(g) - H2(g) + * -> O*,O,4.7515746199999995,4.870400905609131,normal
Cu8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.2884642799999995,2.21698260307312,normal
Cu6O12_H2O(g) - H2(g) + * -> O*,O,4.709045009999997,4.788888454437256,normal
Cu6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.278097509999995,2.138117551803589,adsorbate_migration
Fe8O16_H2O(g) - H2(g) + * -> O*,O,4.7115982999999915,4.721795558929443,normal
Fe8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8822180100000026,2.0143001079559326,normal
Fe6O12_H2O(g) - H2(g) + * -> O*,O,4.525998889999997,4.755258083343506,normal
Fe6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8332475400000021,2.0172832012176514,normal
Ga6O12_H2O(g) - H2(g) + * -> O*,O,4.654239590000003,4.7492995262146,normal
Ga6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.168456400000011,-1.9402363300323486,reproduction_failure
Ga8O16_H2O(g) - H2(g) + * -> O*,O,4.741778619999991,4.807458400726318,normal
Ga8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.081958209999982,2.1728999614715576,normal
Ge8O16_H2O(g) - H2(g) + * -> O*,O,4.407339119999989,4.502221584320068,normal
Ge8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6025459399999988,1.6311366558074951,normal
Ge6O12_H2O(g) - H2(g) + * -> O*,O,4.505709780000004,4.690270900726318,normal
Ge6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.7843677000000042,1.8831660747528076,normal
Hf8O16_H2O(g) - H2(g) + * -> O*,O,4.471249029999996,4.486199855804443,normal
Hf8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.536630439999982,1.4320247173309326,normal
Hf6O12_H2O(g) - H2(g) + * -> O*,O,4.429426540000009,4.549767971038818,normal
Hf6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5856020299999898,1.5798823833465576,normal
Hg8O16_H2O(g) - H2(g) + * -> O*,O,5.447956660000003,5.5312819480896,normal
Hg8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.809764130000005,2.7631938457489014,normal
Hg6O12_H2O(g) - H2(g) + * -> O*,O,5.982212809999993,1.791501522064209,reproduction_failure
Hg6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.7388193199999975,-0.5268223285675049,unphysical_relaxation
In8O16_H2O(g) - H2(g) + * -> O*,O,4.851615380000013,4.949479579925537,normal
In8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.127687750000007,-1.6352818012237549,reproduction_failure
In6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.027657860000005,-0.7746021747589111,reproduction_failure
In6O12_H2O(g) - H2(g) + * -> O*,O,4.609503860000004,0.7202467918395996,unphysical_relaxation
Ir8O16_H2O(g) - H2(g) + * -> O*,O,1.4617940899999837,1.5024352073669434,normal
Ir8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.34482077999999206,-0.2973606586456299,normal
Ir6O12_H2O(g) - H2(g) + * -> O*,O,1.5364246399999786,1.590562343597412,normal
Ir6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.24125521999999933,-0.16011548042297363,normal
Mn8O16_H2O(g) - H2(g) + * -> O*,O,4.094782609999982,4.011880397796631,normal
Mn8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5346961499999736,1.4409205913543701,normal
Mn6O12_H2O(g) - H2(g) + * -> O*,O,4.015549669999984,4.092004299163818,normal
Mn6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.479763840000004,1.5163981914520264,normal
Mo8O16_H2O(g) - H2(g) + * -> O*,O,-0.2763444900000138,0.44808340072631836,normal
Mo8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6729427900000076,-0.3510258197784424,normal
Mo6O12_H2O(g) - H2(g) + * -> O*,O,-0.05588604999999802,0.7663207054138184,normal
Mo6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6243819400000064,-0.18661236763000488,normal
Nb8O16_H2O(g) - H2(g) + * -> O*,O,-0.2471059700000069,-0.40662240982055664,normal
