reaction,adsorbate,DFT,MLIP,classification
Ag8O16_H2O(g) - H2(g) + * -> O*,O,4.776718740000007,4.666680335998535,normal
Ag8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0888029000000046,1.926790714263916,normal
Ag6O12_H2O(g) - H2(g) + * -> O*,O,4.5963922199999985,4.598565101623535,adsorbate_migration
Ag6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9078245000000038,1.8460259437561035,normal
Au8O16_H2O(g) - H2(g) + * -> O*,O,4.106723360000004,4.043198585510254,normal
Au8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5057529100000124,1.4483895301818848,normal
Au6O12_H2O(g) - H2(g) + * -> O*,O,4.089805870000006,4.144280433654785,unphysical_relaxation
Au6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3927296500000068,1.4317193031311035,unphysical_relaxation
Cd8O16_H2O(g) - H2(g) + * -> O*,O,5.024646590000003,5.099404335021973,normal
Cd8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.256772500000011,-4.586362361907959,unphysical_relaxation
Cd6O12_H2O(g) - H2(g) + * -> O*,O,4.708414300000001,1.0652399063110352,reproduction_failure
Cd6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0806685000000016,0.8973488807678223,reproduction_failure
Co8O16_H2O(g) - H2(g) + * -> O*,O,3.7730144699999926,3.784661293029785,normal
Co8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3849585600000012,1.3672356605529785,normal
Co6O12_H2O(g) - H2(g) + * -> O*,O,3.6909155100000106,3.91805362701416,normal
Co6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3429571800000133,1.5208611488342285,normal
Cr8O16_H2O(g) - H2(g) + * -> O*,O,3.2340354399999853,3.36489200592041,normal
Cr8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.125645999999989,1.3417840003967285,normal
Cr6O12_H2O(g) - H2(g) + * -> O*,O,3.403052669999994,3.5200281143188477,normal
Cr6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3257011599999942,1.544497013092041,normal
Cu8O16_H2O(g) - H2(g) + * -> O*,O,4.7515746199999995,4.870408058166504,normal
Cu8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.2884642799999995,2.216982364654541,normal
Cu6O12_H2O(g) - H2(g) + * -> O*,O,4.709045009999997,4.788887977600098,normal
Cu6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.278097509999995,2.1380867958068848,adsorbate_migration
Fe8O16_H2O(g) - H2(g) + * -> O*,O,4.7115982999999915,4.721810340881348,normal
Fe8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8822180100000026,2.0142998695373535,normal
Fe6O12_H2O(g) - H2(g) + * -> O*,O,4.525998889999997,4.755265235900879,normal
Fe6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8332475400000021,2.0172829627990723,normal
Ga6O12_H2O(g) - H2(g) + * -> O*,O,4.654239590000003,4.749299049377441,normal
Ga6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.168456400000011,-0.9615988731384277,reproduction_failure
Ga8O16_H2O(g) - H2(g) + * -> O*,O,4.741778619999991,4.80745792388916,normal
Ga8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.081958209999982,2.1728997230529785,normal
Ge8O16_H2O(g) - H2(g) + * -> O*,O,4.407339119999989,4.502236366271973,normal
Ge8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6025459399999988,1.631136417388916,normal
Ge6O12_H2O(g) - H2(g) + * -> O*,O,4.505709780000004,4.69027042388916,normal
Ge6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.7843677000000042,1.8831658363342285,normal
Hf8O16_H2O(g) - H2(g) + * -> O*,O,4.471249029999996,4.486199378967285,normal
Hf8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.536630439999982,1.432009220123291,normal
Hf6O12_H2O(g) - H2(g) + * -> O*,O,4.429426540000009,4.549752235412598,normal
Hf6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5856020299999898,1.5798821449279785,normal
Hg8O16_H2O(g) - H2(g) + * -> O*,O,5.447956660000003,5.531281471252441,normal
