reaction,adsorbate,DFT,MLIP,classification
Ag8O16_H2O(g) - H2(g) + * -> O*,O,4.776718740000007,5.86869155134296,normal
Ag8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0888029000000046,2.561111338319112,normal
Ag6O12_H2O(g) - H2(g) + * -> O*,O,4.5963922199999985,1.7895299758648955,reproduction_failure
Ag6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9078245000000038,2.4767185962336815,unphysical_relaxation
Au8O16_H2O(g) - H2(g) + * -> O*,O,4.106723360000004,5.055009955146744,normal
Au8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5057529100000124,2.0383720099133313,normal
Au6O12_H2O(g) - H2(g) + * -> O*,O,4.089805870000006,5.191196330518239,unphysical_relaxation
Au6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3927296500000068,2.150631685897871,unphysical_relaxation
Cd8O16_H2O(g) - H2(g) + * -> O*,O,5.024646590000003,6.679442739633346,normal
Cd8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.256772500000011,3.0788993757689203,reproduction_failure
Cd6O12_H2O(g) - H2(g) + * -> O*,O,4.708414300000001,-3.3397005050728117,reproduction_failure
Cd6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0806685000000016,-3.3370385017118878,reproduction_failure
Co8O16_H2O(g) - H2(g) + * -> O*,O,3.7730144699999926,4.086429440424638,normal
Co8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3849585600000012,1.679627788466405,normal
Co6O12_H2O(g) - H2(g) + * -> O*,O,3.6909155100000106,4.190000939079667,unphysical_relaxation
Co6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3429571800000133,1.8056410226656254,normal
Cr8O16_H2O(g) - H2(g) + * -> O*,O,3.2340354399999853,1.7622688869363117,unphysical_relaxation
Cr8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.125645999999989,0.6580987180185218,unphysical_relaxation
Cr6O12_H2O(g) - H2(g) + * -> O*,O,3.403052669999994,0.2574841624607993,unphysical_relaxation
Cr6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3257011599999942,0.8396639515400182,unphysical_relaxation
Cu8O16_H2O(g) - H2(g) + * -> O*,O,4.7515746199999995,5.83832392777411,normal
Cu8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.2884642799999995,2.7594419847023883,normal
Cu6O12_H2O(g) - H2(g) + * -> O*,O,4.709045009999997,2.2104391805876418,reproduction_failure
Cu6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.278097509999995,2.6999570174081526,normal
Fe8O16_H2O(g) - H2(g) + * -> O*,O,4.7115982999999915,3.311444950008905,normal
Fe8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8822180100000026,1.3420033521876178,normal
Fe6O12_H2O(g) - H2(g) + * -> O*,O,4.525998889999997,3.373342968549551,unphysical_relaxation
Fe6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8332475400000021,1.51063756884021,unphysical_relaxation
Ga6O12_H2O(g) - H2(g) + * -> O*,O,4.654239590000003,2.063740123895685,reproduction_failure
Ga6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.168456400000011,1.052949214983315,unphysical_relaxation
Ga8O16_H2O(g) - H2(g) + * -> O*,O,4.741778619999991,6.203051698820133,normal
Ga8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.081958209999982,2.7296785813186593,normal
Ge8O16_H2O(g) - H2(g) + * -> O*,O,4.407339119999989,5.3142907402814785,normal
Ge8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6025459399999988,1.9236479144678924,normal
Ge6O12_H2O(g) - H2(g) + * -> O*,O,4.505709780000004,4.0067136230378395,adsorbate_migration
Ge6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.7843677000000042,2.265759607999535,normal
Hf8O16_H2O(g) - H2(g) + * -> O*,O,4.471249029999996,5.483648493858014,normal
Hf8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.536630439999982,1.9091347415950044,normal
Hf6O12_H2O(g) - H2(g) + * -> O*,O,4.429426540000009,2.8645761819317386,adsorbate_migration
Hf6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5856020299999898,2.0235926222062517,normal
Hg8O16_H2O(g) - H2(g) + * -> O*,O,5.447956660000003,6.900874844414332,unphysical_relaxation
Hg8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.809764130000005,2.8866346880988663,unphysical_relaxation
Hg6O12_H2O(g) - H2(g) + * -> O*,O,5.982212809999993,2.137149131884656,reproduction_failure
Hg6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.7388193199999975,0.9223024678510048,reproduction_failure
In8O16_H2O(g) - H2(g) + * -> O*,O,4.851615380000013,6.326762522157833,normal
In8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.127687750000007,2.69004675651054,normal
In6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.027657860000005,-0.5472857059359657,unphysical_relaxation
In6O12_H2O(g) - H2(g) + * -> O*,O,4.609503860000004,0.9346912963405716,reproduction_failure
Ir8O16_H2O(g) - H2(g) + * -> O*,O,1.4617940899999837,2.0795014468934028,normal
Ir8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.34482077999999206,0.2680245651194184,normal
Ir6O12_H2O(g) - H2(g) + * -> O*,O,1.5364246399999786,2.0858842637510264,normal
Ir6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.24125521999999933,0.34844266223817044,normal
Mn8O16_H2O(g) - H2(g) + * -> O*,O,4.094782609999982,2.4038481820988418,unphysical_relaxation
Mn8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5346961499999736,1.177610547762868,normal
Mn6O12_H2O(g) - H2(g) + * -> O*,O,4.015549669999984,2.5668455708519105,unphysical_relaxation
Mn6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.479763840000004,1.2744156152340054,normal
Mo8O16_H2O(g) - H2(g) + * -> O*,O,-0.2763444900000138,0.038467533605910376,normal
Mo8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6729427900000076,-0.47484981940183957,unphysical_relaxation
Mo6O12_H2O(g) - H2(g) + * -> O*,O,-0.05588604999999802,0.142799361824701,unphysical_relaxation
Mo6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6243819400000064,-0.2936822758472597,normal
Nb8O16_H2O(g) - H2(g) + * -> O*,O,-0.2471059700000069,-0.12420699279590774,unphysical_relaxation
Nb8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.0331504800000175,-0.4491466096841914,unphysical_relaxation
Nb6O12_H2O(g) - H2(g) + * -> O*,O,0.2305838700000038,0.1336117404696049,unphysical_relaxation
Nb6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.7488003199999866,-0.35427781144025516,normal
Ni8O16_H2O(g) - H2(g) + * -> O*,O,4.480876070000008,5.164216019500088,normal
Ni8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0972767400000123,1.735191918686184,unphysical_relaxation
Ni6O12_H2O(g) - H2(g) + * -> O*,O,4.0941954200000055,3.1698174608849,reproduction_failure
