reaction,adsorbate,DFT,MLIP,classification
Ag8O16_H2O(g) - H2(g) + * -> O*,O,4.776718740000007,4.7582715130056705,normal
Ag8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0888029000000046,2.051570316474308,normal
Ag6O12_H2O(g) - H2(g) + * -> O*,O,4.5963922199999985,4.592755736920665,normal
Ag6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9078245000000038,1.9269885731814114,normal
Au8O16_H2O(g) - H2(g) + * -> O*,O,4.106723360000004,4.198984352409809,normal
Au8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5057529100000124,1.4666390433543057,normal
Au6O12_H2O(g) - H2(g) + * -> O*,O,4.089805870000006,4.216051217951005,normal
Au6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3927296500000068,1.4183406833578047,normal
Cd8O16_H2O(g) - H2(g) + * -> O*,O,5.024646590000003,5.094515226671987,normal
Cd8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.256772500000011,-4.302203552601888,reproduction_failure
Cd6O12_H2O(g) - H2(g) + * -> O*,O,4.708414300000001,0.5159034114007426,reproduction_failure
Cd6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0806685000000016,2.2828609839820615,unphysical_relaxation
Co8O16_H2O(g) - H2(g) + * -> O*,O,3.7730144699999926,3.8279997578630116,normal
Co8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3849585600000012,1.4471813136358662,normal
Co6O12_H2O(g) - H2(g) + * -> O*,O,3.6909155100000106,3.8406965206757633,normal
Co6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3429571800000133,1.4933492950460732,normal
Cr8O16_H2O(g) - H2(g) + * -> O*,O,3.2340354399999853,3.1960556899288406,normal
Cr8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.125645999999989,1.1100305297896682,normal
Cr6O12_H2O(g) - H2(g) + * -> O*,O,3.403052669999994,3.420158271951351,normal
Cr6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3257011599999942,1.3474421737429338,normal
Cu8O16_H2O(g) - H2(g) + * -> O*,O,4.7515746199999995,4.828522053214602,normal
Cu8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.2884642799999995,2.2577960249542564,normal
Cu6O12_H2O(g) - H2(g) + * -> O*,O,4.709045009999997,4.725255514275716,normal
Cu6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.278097509999995,2.287467475484547,normal
Fe8O16_H2O(g) - H2(g) + * -> O*,O,4.7115982999999915,4.747221812623138,normal
Fe8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8822180100000026,2.0205779104365718,normal
Fe6O12_H2O(g) - H2(g) + * -> O*,O,4.525998889999997,4.6722636742675405,normal
Fe6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8332475400000021,2.0069200545799575,normal
Ga6O12_H2O(g) - H2(g) + * -> O*,O,4.654239590000003,4.724862426200957,unphysical_relaxation
Ga6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.168456400000011,2.2348906806507145,normal
Ga8O16_H2O(g) - H2(g) + * -> O*,O,4.741778619999991,4.897619285770418,normal
Ga8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.081958209999982,2.188539043500633,normal
Ge8O16_H2O(g) - H2(g) + * -> O*,O,4.407339119999989,4.515348592068193,normal
Ge8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6025459399999988,1.6648302756535713,normal
Ge6O12_H2O(g) - H2(g) + * -> O*,O,4.505709780000004,4.5994235186356605,normal
Ge6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.7843677000000042,1.793869345153091,normal
Hf8O16_H2O(g) - H2(g) + * -> O*,O,4.471249029999996,4.408321419892687,normal
Hf8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.536630439999982,1.4654740772412893,normal
Hf6O12_H2O(g) - H2(g) + * -> O*,O,4.429426540000009,4.384759372336816,normal
Hf6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5856020299999898,1.5179237488675312,normal
Hg8O16_H2O(g) - H2(g) + * -> O*,O,5.447956660000003,5.567079313009273,normal
Hg8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.809764130000005,2.950401344800561,normal
Hg6O12_H2O(g) - H2(g) + * -> O*,O,5.982212809999993,1.550816803837833,reproduction_failure
Hg6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.7388193199999975,1.5379667012805598,unphysical_relaxation
