Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
3611,1.123310466200624,1.070084336715661,0.9181907995507772,70.32029478458048,69.39876957494423,36.0,19.0,17.0,0,0,0,0
4811,1.462271436477323,1.184081571443536,1.069619636533749,60.43650793650804,62.0302013422822,36.0,11.0,21.0,4,0,2,2
4411,1.243772724439283,0.9344539281188853,1.13198619998453,74.61309523809521,77.961409395973,24.0,16.0,5.0,3,0,0,3
44S1,1.493354575641267,0.8444353942164917,0.8522088888785729,69.2389455782315,68.9597315436235,24.0,13.0,11.0,0,0,0,0
45N1,0.9326887760481734,0.8235059346612149,0.6274920035758486,67.79761904761894,70.35095078299777,24.0,13.0,8.0,3,0,2,1
4a11,1.20294848080892,0.81036495370117,0.9880135494352184,61.49234693877537,63.62835570469768,24.0,6.0,16.0,2,0,2,0
4a12,1.262674268315423,0.8967238536572211,1.106138801803379,62.02380952380965,60.54670022371361,24.0,4.0,17.0,3,0,3,0
55N1,1.265761868024089,1.197854295916204,1.046292857815764,69.86819727891196,72.01901565995651,24.0,11.0,9.0,4,0,2,2
5601,1.025002365458987,0.9124220746024057,1.021175904778649,69.80017006802746,74.92170022371336,24.0,14.0,9.0,1,0,1,0
6601,1.535149876546216,1.337348565325854,1.517327777862949,81.16496598639463,86.7044183445194,24.0,19.0,1.0,4,0,0,4
6611,1.07266468090439,1.096872553945322,0.8590545216499725,69.689440993789,72.458418441786,23.0,9.0,14.0,0,0,0,0
66S1,1.454670185262781,1.016726496028055,1.011467162576357,70.56586270871962,66.70073215375182,22.0,11.0,10.0,1,0,0,1
67N1,1.073527743837005,1.144892368834637,1.021584051542971,77.37940630797773,80.3859060402703,22.0,18.0,4.0,0,0,0,0
7801,1.281811596883887,1.033749954513235,1.018608582856898,67.1985157699444,72.54728492983611,22.0,13.0,6.0,3,0,1,2
8a01,1.454421531649504,0.9912036130976531,1.262886166605115,70.72820037105777,70.43319097010276,22.0,5.0,15.0,2,0,0,2
8a02,1.479775992727269,1.084080813574213,1.756612524772721,68.91465677179971,69.08328248932393,22.0,6.0,15.0,1,0,0,1
8a03,1.414528886924719,1.138302550424797,1.446996815724435,69.57792207792194,72.73642464917667,22.0,8.0,13.0,1,0,0,1
1211,0.8062405955403662,0.7885314626052036,0.8172291489054379,80.48469387755108,85.22091722595106,12.0,11.0,1.0,0,0,0,0
1221,0.5577959974023367,0.4557928032763563,5.382144129217928,69.57482993197269,61.3982102908278,12.0,4.0,7.0,1,0,1,0
1231,0.3257529480485051,0.3297313493261612,0.3748803996362202,79.26870748299324,82.01621923937385,12.0,5.0,5.0,2,0,2,0
12S1,0.5686354303450365,0.5305205634013482,0.5796500508080898,78.1717687074831,85.2041387024604,12.0,10.0,0.0,2,0,2,0
13N1,0.9367262214908804,0.8202044080726765,0.8150961886336212,75.62074829931974,76.59955257270754,12.0,7.0,4.0,1,0,1,0
13X1,0.5694277744759008,0.3625471864599348,0.7905247669685765,73.13775510204077,65.46979865771777,12.0,4.0,7.0,1,0,1,0
13Y1,0.9732115538313781,0.640375948402622,0.7241350284610982,71.65816326530594,71.23601789709112,12.0,7.0,4.0,1,0,1,0
13_1,0.4630327046142598,0.3218651884974924,0.4233867098689779,69.78741496598622,72.16722595078167,12.0,7.0,4.0,1,0,1,0
14S1,0.6577534227913452,0.3056913370573018,0.287548179362797,70.73129251700671,70.17337807606413,12.0,6.0,3.0,3,0,3,0
14Z1,0.7013838710514282,0.4443037923014306,0.7345517101017212,75.18707482993204,75.63199105145438,12.0,6.0,5.0,1,0,1,0
15N1,0.2662621725716179,0.2570179479082071,0.2670311565958681,77.8826530612245,82.2259507829976,12.0,10.0,1.0,1,0,1,0
2201,0.9887784541503896,0.8593695982495078,0.6375504388053432,72.84013605442159,68.97651006711482,12.0,8.0,4.0,0,0,0,0
2401,0.8848218356721992,0.7930829805019506,0.8735223844799792,78.7670068027209,83.29418344519031,12.0,10.0,2.0,0,0,0,0
2411,0.8548659402717961,0.8497202200759383,0.8348988611091984,75.4421768707481,77.36577181207879,12.0,9.0,3.0,0,0,0,0
2421,0.760243932055665,0.5311669023339789,0.5548141621085616,62.57653061224453,53.97371364653242,12.0,2.0,9.0,1,0,1,0
2422,1.005770597923173,0.09013228742179535,0.6886710266951462,54.200680272109,51.19127516778549,12.0,1.0,10.0,1,0,1,0
2431,0.9260044262500037,0.5209902105924394,0.7902021572680701,64.34523809523795,57.84675615212605,12.0,3.0,8.0,1,0,1,0
24S1,0.6043692802392524,0.5846943720742133,0.5994766045662328,76.30952380952394,82.35178970917234,12.0,10.0,0.0,2,0,2,0
25N1,1.046677618662104,0.888438112801642,0.9550635312394148,74.04761904761928,77.95581655480883,12.0,9.0,1.0,2,0,2,0
25N2,0.7804815056428994,0.709240238493302,0.9292753619457965,72.6190476190474,74.7678970917227,12.0,7.0,4.0,1,0,1,0
25X1,0.9278943115332089,0.9243485552099635,0.9163818730769915,72.6700680272109,74.45190156599551,12.0,8.0,2.0,2,0,2,0
25X2,0.4229086161360775,0.2593255967773637,0.2681009841023698,68.43537414965972,73.475950782998,12.0,7.0,3.0,2,0,2,0
25Y1,0.6881786823811774,0.5354785741536384,0.6557356358113532,71.24149659863947,67.36017897091715,12.0,3.0,8.0,1,0,1,0
25Y2,1.137959576451811,0.9153551532942691,0.8384203283032109,68.8860544217688,69.15268456375837,12.0,6.0,4.0,2,0,2,0
25_1,0.7825843008154347,0.547435959381545,0.6617218654581626,68.01020408163271,62.52516778523446,12.0,3.0,8.0,1,0,1,0
25_2,0.8754076210139967,0.2200639489258691,0.5739353107397308,53.4778911564626,50.43903803131987,12.0,1.0,9.0,2,0,2,0
2601,0.7640210485172508,0.6998900813945277,0.8236113881778954,79.19217687074818,81.97706935123068,12.0,10.0,2.0,0,0,0,0
2611,1.011789129827478,0.8118554371142617,1.102960712367354,70.81632653061227,72.74888143176706,12.0,8.0,4.0,0,0,0,0
2612,0.6275455784277361,0.4123935270507779,0.4039997726684508,65.3996598639455,57.49440715883648,12.0,2.0,9.0,1,0,1,0
26S1,0.996246135712895,0.3484539431875035,0.3851009603605124,62.61904761904742,61.64709172259539,12.0,5.0,5.0,2,0,2,0
