reaction,adsorbate,DFT,MLIP,classification
group4_au_4821,group4,-0.3483514500000098,-1.1472091674804688,adsorbate_migration
group4_cu_4821,group4,-0.4392407200000008,-1.8278427124023438,adsorbate_migration
group4_ag_4821,group4,-0.3623027900000153,-1.4684982299804688,adsorbate_migration
group4_ru_4821,group4,-0.6059101900000172,-1.6974563598632812,adsorbate_migration
group4_os_4821,group4,-0.7066806500001093,-0.7768630981445312,adsorbate_migration
group4_pd_4821,group4,-0.5995977600000089,-1.6060562133789062,adsorbate_migration
group4_pt_4821,group4,-0.4909315899999882,-2.0162734985351562,adsorbate_migration
group4_cd_4821,group4,-0.27153241000000605,-1.0559539794921875,unphysical_relaxation
group4_rh_4821,group4,-0.5816467300000312,-2.4356460571289062,adsorbate_migration
group4_ni_4821,group4,-0.5926486399999789,-2.1617813110351562,adsorbate_migration
group4_ir_4821,group4,-0.5310203299999756,-1.5085220336914062,adsorbate_migration
group4_zn_4821,group4,-0.3030711400000001,-1.0732803344726562,unphysical_relaxation
group4_au_4824,group4,-0.3282574600000032,-1.06439208984375,normal
group4_cu_4824,group4,-0.37535341000000244,-1.7810821533203125,adsorbate_migration
group4_ag_4824,group4,-0.3286797700000079,-1.452301025390625,normal
group4_ru_4824,group4,-0.4939953699999933,-2.144500732421875,adsorbate_migration
group4_os_4824,group4,-0.5182410400000776,-1.057037353515625,adsorbate_migration
group4_pd_4824,group4,-0.5124571099999855,-1.776824951171875,adsorbate_migration
group4_pt_4824,group4,-0.41607740000000604,-1.947021484375,adsorbate_migration
group4_cd_4824,group4,-0.2505780600000094,-1.1931533813476562,unphysical_relaxation
group4_rh_4824,group4,-0.4705461099999866,-2.5506591796875,adsorbate_migration
group4_ni_4824,group4,-0.4838654099999644,-2.311737060546875,adsorbate_migration
group4_ir_4824,group4,-0.40490760000000137,-1.80645751953125,adsorbate_migration
group4_zn_4824,group4,-0.27857296999999903,-1.137664794921875,normal
group4_au_3631,group4,-0.3250232599999947,-1.0504837036132812,adsorbate_migration
group4_cu_3631,group4,-0.4721017399999994,-1.6159591674804688,adsorbate_migration
group4_ag_3631,group4,-0.3618035099999872,-1.4579391479492188,adsorbate_migration
group4_ru_3631,group4,-0.7418433000000277,-1.3693313598632812,adsorbate_migration
group4_os_3631,group4,-0.8482457800000702,-0.6279983520507812,adsorbate_migration
group4_pd_3631,group4,-0.5684687999999767,-1.5916213989257812,adsorbate_migration
group4_pt_3631,group4,-0.5208236799999781,-1.7758255004882812,adsorbate_migration
group4_cd_3631,group4,-0.25368682999999237,-1.0984039306640625,unphysical_relaxation
group4_rh_3631,group4,-0.6016898899999887,-2.1294326782226562,adsorbate_migration
group4_ni_3631,group4,-0.6781894499999908,-1.7505569458007812,adsorbate_migration
group4_ir_3631,group4,-0.6808516999999483,-1.5499343872070312,adsorbate_migration
group4_zn_3631,group4,-0.3013657199999926,-1.0099716186523438,unphysical_relaxation
group4_au_3632,group4,-0.3100476600000093,-1.1205902099609375,normal
