Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
3611,1.018215768460281,0.7998724029118691,1.051903568105465,61.11678004535156,66.40659955257213,36.0,17.0,14.0,5,0,5,0
4811,1.159402487434896,0.9623628738953995,1.160281478515627,59.65986394557847,67.09638329604769,36.0,18.0,13.0,5,0,5,0
4411,1.266047059664706,0.9204863809532612,1.237649181653638,65.2848639455786,72.60906040268577,24.0,13.0,5.0,6,0,4,2
44S1,1.220692730751945,0.5140198872851496,0.8628319636913998,60.83333333333343,66.00671140939694,24.0,8.0,12.0,4,0,3,1
45N1,0.9658384952864546,0.4023527755663991,0.7536251068994115,56.21173469387733,64.02824384787523,24.0,4.0,16.0,4,0,4,0
4a11,0.950972203203122,0.8425442868124946,1.008764866777341,54.30272108843536,60.42365771812108,24.0,5.0,15.0,4,0,4,0
4a12,1.009641549832351,0.8099821039257803,1.077782885462233,55.44642857142858,60.74244966442927,24.0,7.0,13.0,4,0,4,0
55N1,1.107349630683603,0.9978709868275847,1.091954168645827,62.81037414966017,70.84172259507788,24.0,14.0,5.0,5,0,4,1
5601,0.8201656084928413,0.7168165916862014,1.010150740633141,61.81547619047642,71.63171140939559,24.0,12.0,8.0,4,0,4,0
6601,1.293109975704745,1.07228074375114,1.459070825846347,70.44217687074847,80.26426174496814,24.0,17.0,2.0,5,0,2,3
6611,0.8932050676019104,0.9021652860491136,0.8595949671925953,64.61401952085173,70.78202509483665,23.0,7.0,13.0,3,0,3,0
66S1,1.013916198220888,0.8680608011744843,0.9740800694282683,70.34322820037116,76.08450274557657,22.0,15.0,5.0,2,0,2,0
67N1,0.929533401740063,0.9559376938341455,0.9699164763707454,71.39610389610387,78.73398413666864,22.0,13.0,6.0,3,0,2,1
7801,1.042410906631756,0.7453714242122484,0.9886652098366487,60.89053803339508,69.63697376449042,22.0,9.0,8.0,5,0,3,2
8a01,1.1977867327326,1.087277034428011,1.166693482111152,66.08534322820034,70.50640634533256,22.0,7.0,11.0,4,0,3,1
8a02,1.187113805671161,0.994916222431641,1.820946880236136,64.93506493506483,70.6574130567437,22.0,8.0,11.0,3,0,2,1
8a03,1.157858021779123,1.082245884986987,1.471700161072442,65.53803339517647,72.367297132398,22.0,9.0,8.0,5,0,2,3
1211,0.7980746002604183,0.7770489439492202,0.9364126892496761,69.41326530612233,78.91498881431782,12.0,10.0,0.0,2,0,2,0
1221,0.5736625948958262,0.4277360412734289,5.20801305367675,61.9642857142857,61.53523489932978,12.0,5.0,5.0,2,0,2,0
1231,0.4204803844889344,0.4427859878593779,0.6761580691487522,71.30952380952381,82.69574944071593,12.0,10.0,0.0,2,0,2,0
12S1,0.4180429232104472,0.4057156928390854,0.5736441766292142,68.01020408163271,79.74552572706953,12.0,9.0,1.0,2,0,2,0
13N1,0.8413327227522736,0.6726050689362302,0.8735567421207632,65.40816326530621,71.64149888143199,12.0,7.0,3.0,2,0,2,0
13X1,0.6417501810660825,0.3028052975732578,1.006206796692698,61.73469387755107,59.48545861297543,12.0,4.0,6.0,2,0,2,0
13Y1,0.9284308226302063,0.6245247044414057,0.830322982604164,61.95578231292524,66.90436241610725,12.0,5.0,5.0,2,0,2,0
13_1,0.5504229684895853,0.3702967920052108,0.7272976010839844,60.61224489795921,68.19351230424913,12.0,6.0,4.0,2,0,2,0
14S1,0.2963884490559898,0.2551711044419654,0.3889607436832663,65.75680272108836,71.70302013422814,12.0,7.0,3.0,2,0,2,0
14Z1,0.6851309501123009,0.410424116021484,0.9108679713932251,66.53911564625858,73.74161073825503,12.0,5.0,5.0,2,0,2,0
15N1,0.2202243688411484,0.2196941225108557,0.3329683989664733,68.32482993197273,77.40492170022385,12.0,9.0,1.0,2,0,2,0
2201,1.00377975114746,0.8811723351188157,0.6915940683585576,61.70068027210903,60.58445190156617,12.0,6.0,4.0,2,0,2,0
2401,0.8646732404980456,0.6046892722446984,0.9389466678255195,64.61734693877548,71.43736017897075,12.0,7.0,3.0,2,0,2,0
2411,0.8981786488085799,0.9147475783827957,1.027077269414049,67.25340136054392,74.35402684563608,12.0,10.0,0.0,2,0,2,0
2421,0.73734112545573,0.2552489421874924,0.7083066910611991,54.67687074829936,53.03131991051348,12.0,2.0,8.0,2,0,2,0
2422,0.9451156398339808,0.2662738548730061,0.8795918564680955,47.10034013605426,51.21644295301993,12.0,2.0,8.0,2,0,2,0
2431,0.9537855948697954,0.5698318002148284,1.039531088440759,55.00850340136046,54.80984340044692,12.0,1.0,9.0,2,0,2,0
24S1,0.5566072834016923,0.4391195283268227,0.5848825975943944,62.27040816326518,72.10290827740339,12.0,9.0,1.0,2,0,2,0
25N1,1.025526393889968,0.8483036828700014,1.125348120371088,64.9489795918368,75.282438478746,12.0,9.0,0.0,3,0,2,1
25N2,0.6249663995459004,0.4001618921842436,0.7740721784537717,59.78741496598653,68.7695749440703,12.0,6.0,4.0,2,0,2,0
25X1,0.8634271993099016,0.7594060903292471,1.013947524016933,61.93877551020434,67.43847874720262,12.0,7.0,3.0,2,0,2,0
25X2,0.4449588378971452,0.2411287292968893,0.448719214440097,55.83333333333335,65.87248322147529,12.0,6.0,4.0,2,0,2,0
25Y1,0.5350533262532592,0.3149045755176019,0.6233409509993416,61.27551020408166,66.42617449664469,12.0,4.0,6.0,2,0,2,0
25Y2,1.158029970332019,0.7619779859179658,0.9373023707958877,57.142857142857,62.30145413870277,12.0,4.0,6.0,2,0,2,0
25_1,0.7655701152278697,0.5701537531640971,0.793592453124992,57.28741496598618,53.95693512304261,12.0,3.0,7.0,2,0,2,0
25_2,0.8123881864029942,0.2116880270313004,0.8330216017350107,50.47619047619059,51.80369127516721,12.0,2.0,8.0,2,0,2,0
2601,0.6364276901595035,0.6408323433217039,0.899046708714191,69.45578231292508,75.93400447427314,12.0,7.0,3.0,2,0,2,0
2611,0.8066665000260453,0.6907479962825557,1.14385522072917,62.43197278911558,69.49105145413859,12.0,6.0,4.0,2,0,2,0
2612,0.4854868880387387,0.3134148020214766,0.5011034586913995,58.84353741496584,56.83724832214727,12.0,2.0,8.0,2,0,2,0
26S1,0.3560508685416703,0.2609813030371111,0.4171970177018197,61.47108843537437,69.59731543624133,12.0,8.0,2.0,2,0,2,0
26S2,0.543579154503588,0.4863894412597795,0.6309068601236915,61.18197278911597,71.35626398210236,12.0,7.0,3.0,2,0,2,0
26Z1,0.4816207416927162,0.2499745887044635,0.3702344546256497,47.99319727891135,54.45469798657717,12.0,3.0,7.0,2,0,2,0
26Z2,0.1890054187988432,0.2168821519668157,0.3503002384505205,69.4132653061225,81.41219239373602,12.0,10.0,0.0,2,0,2,0
