reaction,adsorbate,DFT,MLIP,classification
group4_au_4821,group4,-0.3483514500000098,-0.7981948852539062,normal
group4_cu_4821,group4,-0.4392407200000008,-1.5284194946289062,adsorbate_migration
group4_ag_4821,group4,-0.3623027900000153,-1.2580337524414062,normal
group4_ru_4821,group4,-0.6059101900000172,-1.5513687133789062,adsorbate_migration
group4_os_4821,group4,-0.7066806500001093,-0.7369155883789062,adsorbate_migration
group4_pd_4821,group4,-0.5995977600000089,-1.5074234008789062,adsorbate_migration
group4_pt_4821,group4,-0.4909315899999882,-1.2535171508789062,adsorbate_migration
group4_cd_4821,group4,-0.27153241000000605,-0.8317031860351562,unphysical_relaxation
group4_rh_4821,group4,-0.5816467300000312,-2.4205093383789062,adsorbate_migration
group4_ni_4821,group4,-0.5926486399999789,-1.9352188110351562,adsorbate_migration
group4_ir_4821,group4,-0.5310203299999756,-1.4666519165039062,adsorbate_migration
group4_zn_4821,group4,-0.3030711400000001,-0.8111953735351562,unphysical_relaxation
group4_au_4824,group4,-0.3282574600000032,-0.8381576538085938,normal
group4_cu_4824,group4,-0.37535341000000244,-1.4103012084960938,adsorbate_migration
group4_ag_4824,group4,-0.3286797700000079,-1.3374252319335938,normal
group4_ru_4824,group4,-0.4939953699999933,-1.5106430053710938,adsorbate_migration
group4_os_4824,group4,-0.5182410400000776,-0.8596420288085938,adsorbate_migration
group4_pd_4824,group4,-0.5124571099999855,-1.6137924194335938,adsorbate_migration
group4_pt_4824,group4,-0.41607740000000604,-1.3674545288085938,adsorbate_migration
group4_cd_4824,group4,-0.2505780600000094,-0.9112167358398438,unphysical_relaxation
group4_rh_4824,group4,-0.4705461099999866,-2.7196273803710938,adsorbate_migration
group4_ni_4824,group4,-0.4838654099999644,-2.0984115600585938,adsorbate_migration
group4_ir_4824,group4,-0.40490760000000137,-1.7549057006835938,adsorbate_migration
group4_zn_4824,group4,-0.27857296999999903,-0.8944931030273438,unphysical_relaxation
group4_au_3631,group4,-0.3250232599999947,-0.91387939453125,adsorbate_migration
group4_cu_3631,group4,-0.4721017399999994,-1.412109375,adsorbate_migration
group4_ag_3631,group4,-0.3618035099999872,-1.40618896484375,adsorbate_migration
group4_ru_3631,group4,-0.7418433000000277,-1.39031982421875,adsorbate_migration
group4_os_3631,group4,-0.8482457800000702,-0.69488525390625,adsorbate_migration
group4_pd_3631,group4,-0.5684687999999767,-1.59344482421875,adsorbate_migration
group4_pt_3631,group4,-0.5208236799999781,-1.42755126953125,adsorbate_migration
group4_cd_3631,group4,-0.25368682999999237,-0.9295654296875,unphysical_relaxation
group4_rh_3631,group4,-0.6016898899999887,-2.39910888671875,adsorbate_migration
group4_ni_3631,group4,-0.6781894499999908,-1.84228515625,adsorbate_migration
group4_ir_3631,group4,-0.6808516999999483,-1.78985595703125,adsorbate_migration
group4_zn_3631,group4,-0.3013657199999926,-0.698028564453125,unphysical_relaxation
group4_au_3632,group4,-0.3100476600000093,-0.9386978149414062,normal
group4_cu_3632,group4,-0.38267573999999627,-1.4629287719726562,normal
group4_ag_3632,group4,-0.32335607000001687,-1.4894790649414062,normal
group4_ru_3632,group4,-0.4813210599999991,-1.6542739868164062,adsorbate_migration
group4_os_3632,group4,-0.4830935000000238,-0.8227310180664062,normal
group4_pd_3632,group4,-0.5148818499999948,-1.8835220336914062,adsorbate_migration
group4_pt_3632,group4,-0.4023839400000213,-1.5309829711914062,adsorbate_migration
group4_cd_3632,group4,-0.2339576500000078,-1.0886611938476562,unphysical_relaxation
group4_rh_3632,group4,-0.4658830200000068,-2.6226577758789062,adsorbate_migration
group4_ni_3632,group4,-0.48456361999998876,-2.1236343383789062,adsorbate_migration
group4_ir_3632,group4,-0.39165908999999033,-1.9189224243164062,adsorbate_migration
group4_zn_3632,group4,-0.2587814399999928,-0.8683853149414062,unphysical_relaxation
group4_au_3623,group4,-0.29180686000002254,-0.8239364624023438,normal
group4_cu_3623,group4,-0.39972816999998884,-1.3488388061523438,adsorbate_migration
