Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
3611,0.5328351800130154,0.578425545661483,0.7810832372298145,75.62074829931966,73.92897091722654,36.0,19.0,17.0,0,0,0,0
4811,0.6610025410102003,0.6101745719075488,0.87133492394206,70.98356009070281,68.47967934377307,36.0,18.0,18.0,0,0,0,0
4411,0.4113350009757427,0.4474213834533591,0.7204709765991174,72.71258503401353,72.42869127516624,24.0,16.0,8.0,0,0,0,0
44S1,0.7898446091088781,0.7146489161551192,0.4782499412622035,66.7517006802722,61.04586129753876,24.0,7.0,17.0,0,0,0,0
45N1,0.4908862831453374,0.3626340500634821,0.3414902058951797,67.34693877551,65.9340044742731,24.0,8.0,14.0,2,0,2,0
4a11,0.7615025478483043,0.7949773312538951,0.751235846910801,66.1309523809522,64.86856823266234,24.0,5.0,18.0,1,0,1,0
4a12,0.9314663571419205,0.5853456211262819,0.9270327763037045,64.96598639455785,63.44798657718122,24.0,6.0,17.0,1,0,1,0
55N1,0.5045304976123054,0.5959570189485793,0.431662948444013,71.88775510204108,72.80760626398275,24.0,12.0,11.0,1,0,1,0
5601,0.6964789576228873,0.4804256689583279,0.4096506245931047,66.01190476190501,61.59116331096244,24.0,3.0,20.0,1,0,1,0
6601,0.4907286309423817,0.4571169987718294,0.5289146750439487,77.236394557823,81.90995525727064,24.0,17.0,7.0,0,0,0,0
6611,0.2779734350042405,0.3375504914062522,0.6484219101774712,61.33096716947658,61.1569886197841,23.0,6.0,17.0,0,0,0,0
66S1,0.5914341692311793,0.4943261047382805,0.4048444697904847,67.85714285714282,66.00366076876149,22.0,10.0,11.0,1,0,1,0
67N1,0.3213207396928394,0.3474176117052405,0.4284255389293412,72.72263450834852,73.6729713239796,22.0,13.0,9.0,0,0,0,0
7801,0.548785773291902,0.6543799690690185,0.3164936581764951,62.1289424860853,67.32916412446588,22.0,9.0,13.0,0,0,0,0
8a01,0.6953314824307455,0.5821586855566352,0.4397995287855074,64.56400742115045,63.0460646735806,22.0,4.0,18.0,0,0,0,0
8a02,0.6651158033540334,0.5115758682324341,0.7821844526970717,62.79220779220779,61.37888956680787,22.0,4.0,18.0,0,0,0,0
8a03,0.6476958052734328,0.3352137202812401,0.4927323941921096,57.99165120593659,59.46613788895561,22.0,5.0,17.0,0,0,0,0
1211,0.2379045613427699,0.1883255121382273,0.883532609116204,84.05612244897956,85.17617449664282,12.0,11.0,1.0,0,0,0,0
1221,0.2360632391479491,0.1568771113012746,4.608203689608552,76.98979591836716,74.96923937360037,12.0,8.0,4.0,0,0,0,0
1231,0.1979985876497441,0.1637806031338849,0.8578111985416511,81.50510204081641,83.09843400447215,12.0,11.0,1.0,0,0,0,0
12S1,0.1342986333935698,0.1378313219961122,0.2578155915152991,84.29421768707482,87.84395973154197,12.0,10.0,0.0,2,0,2,0
