reaction,adsorbate,DFT,MLIP,classification
group4_au_4821,group4,-0.3483514500000098,-1.0001449584960938,adsorbate_migration
group4_cu_4821,group4,-0.4392407200000008,-1.0855484008789062,adsorbate_migration
group4_ag_4821,group4,-0.3623027900000153,-0.9409713745117188,adsorbate_migration
group4_ru_4821,group4,-0.6059101900000172,-0.7972335815429688,normal
group4_os_4821,group4,-0.7066806500001093,-1.0221481323242188,adsorbate_migration
group4_pd_4821,group4,-0.5995977600000089,-1.7037887573242188,adsorbate_migration
group4_pt_4821,group4,-0.4909315899999882,-1.6192550659179688,adsorbate_migration
group4_cd_4821,group4,-0.27153241000000605,-0.6990127563476562,unphysical_relaxation
group4_rh_4821,group4,-0.5816467300000312,-0.8772506713867188,adsorbate_migration
group4_ni_4821,group4,-0.5926486399999789,-0.9622421264648438,adsorbate_migration
group4_ir_4821,group4,-0.5310203299999756,-1.1334762573242188,adsorbate_migration
group4_zn_4821,group4,-0.3030711400000001,-0.6339950561523438,normal
group4_au_4824,group4,-0.3282574600000032,-0.9699783325195312,adsorbate_migration
group4_cu_4824,group4,-0.37535341000000244,-0.9144058227539062,normal
group4_ag_4824,group4,-0.3286797700000079,-0.7810745239257812,normal
group4_ru_4824,group4,-0.4939953699999933,-0.9352035522460938,adsorbate_migration
group4_os_4824,group4,-0.5182410400000776,-0.9995956420898438,adsorbate_migration
group4_pd_4824,group4,-0.5124571099999855,-1.5343551635742188,adsorbate_migration
group4_pt_4824,group4,-0.41607740000000604,-1.6399459838867188,adsorbate_migration
group4_cd_4824,group4,-0.2505780600000094,-0.37435150146484375,normal
group4_rh_4824,group4,-0.4705461099999866,-0.9066696166992188,adsorbate_migration
group4_ni_4824,group4,-0.4838654099999644,-0.6448287963867188,adsorbate_migration
group4_ir_4824,group4,-0.40490760000000137,-0.9261703491210938,adsorbate_migration
group4_zn_4824,group4,-0.27857296999999903,-0.36252593994140625,normal
group4_au_3631,group4,-0.3250232599999947,-0.6471405029296875,adsorbate_migration
group4_cu_3631,group4,-0.4721017399999994,-0.5787811279296875,normal
group4_ag_3631,group4,-0.3618035099999872,-0.6971893310546875,adsorbate_migration
group4_ru_3631,group4,-0.7418433000000277,-0.561798095703125,adsorbate_migration
group4_os_3631,group4,-0.8482457800000702,-0.637237548828125,normal
group4_pd_3631,group4,-0.5684687999999767,-1.507354736328125,adsorbate_migration
group4_pt_3631,group4,-0.5208236799999781,-1.5213623046875,adsorbate_migration
group4_cd_3631,group4,-0.25368682999999237,-0.5063095092773438,normal
group4_rh_3631,group4,-0.6016898899999887,-0.801788330078125,adsorbate_migration
group4_ni_3631,group4,-0.6781894499999908,-0.176544189453125,adsorbate_migration
group4_ir_3631,group4,-0.6808516999999483,-0.501922607421875,normal
group4_zn_3631,group4,-0.3013657199999926,-0.5079803466796875,normal
group4_au_3632,group4,-0.3100476600000093,-0.7473068237304688,adsorbate_migration
group4_cu_3632,group4,-0.38267573999999627,-0.9310836791992188,adsorbate_migration
group4_ag_3632,group4,-0.32335607000001687,-0.9111709594726562,adsorbate_migration
group4_ru_3632,group4,-0.4813210599999991,-0.7627639770507812,normal
group4_os_3632,group4,-0.4830935000000238,-0.9305496215820312,normal
group4_pd_3632,group4,-0.5148818499999948,-1.3876724243164062,adsorbate_migration
