Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
3611,0.6560769158662685,0.599152523016663,2.272288436685414,75.78231292516958,75.65622669649754,36.0,21.0,15.0,0,0,0,0
4811,0.6582949052822546,0.7024307564088386,2.328012623869506,74.41609977324245,76.34321401938794,36.0,19.0,17.0,0,0,0,0
4411,0.8182204936477255,0.71332301242936,2.595631928279824,77.29591836734663,79.0464205816539,24.0,22.0,2.0,0,0,0,0
44S1,0.6166987139972218,0.5574357308418391,0.5018365908528205,74.79166666666679,73.36968680089508,24.0,13.0,11.0,0,0,0,0
45N1,0.712592642205322,0.6316388006895108,0.5585867034314157,72.61479591836738,74.68680089485372,24.0,16.0,8.0,0,0,0,0
4a11,0.5353588957668526,0.5554697841559317,2.121141941424864,78.49914965986402,81.53104026845628,24.0,20.0,4.0,0,0,0,0
4a12,0.6279753565338204,0.6566639062246024,2.462858045154157,74.23894557823095,77.18540268456269,24.0,17.0,7.0,0,0,0,0
55N1,0.6236269685502668,0.6823031291433523,0.5042909276282224,74.57482993197283,76.81208053691326,24.0,15.0,9.0,0,0,0,0
5601,0.5888701804348724,0.6005698489450653,0.7188623622839602,75.31887755102046,76.34507829977642,24.0,18.0,6.0,0,0,0,0
6601,0.7596534166710546,0.7228818566999158,0.7667421283132576,80.88860544217683,85.8235458612975,24.0,21.0,3.0,0,0,0,0
6611,0.5631276174115057,0.6485903919530323,1.825364259133793,62.88376220053245,65.89582725415615,23.0,8.0,15.0,0,0,0,0
66S1,0.5996350309074423,0.5358447596215848,0.469222756000602,68.7987012987014,69.30292861501032,22.0,12.0,10.0,0,0,0,0
67N1,0.607987888630177,0.5951944795089309,0.5290530860314494,73.16326530612272,75.75808419768275,22.0,12.0,10.0,0,0,0,0
7801,0.659240554030527,0.6399016315258229,0.4163227288535516,65.139146567718,72.11866992068447,22.0,18.0,4.0,0,0,0,0
8a01,0.8035979604494204,0.8009300718351853,0.5134332456617042,58.87755102040791,61.59853569249655,22.0,5.0,17.0,0,0,0,0
8a02,0.6427884797021477,0.6612731341196931,1.076507052232756,67.85714285714259,70.39810860280782,22.0,9.0,13.0,0,0,0,0
8a03,0.6224269447074291,0.6581107741025084,0.6298379094058,61.14100185528722,66.28279438682016,22.0,12.0,10.0,0,0,0,0
1211,0.5713752484143644,0.2334873409833401,3.686429674431794,82.43197278911553,80.56767337807672,12.0,9.0,3.0,0,0,0,0
1221,0.4639138291014646,0.3953178333364381,7.847180252500711,80.94387755102034,81.37863534675503,12.0,9.0,2.0,1,0,1,0
