reaction,adsorbate,DFT,MLIP,classification
group4_au_4821,group4,-0.3483514500000098,-0.8311207598763275,normal
group4_cu_4821,group4,-0.4392407200000008,-1.1021358364205724,normal
group4_ag_4821,group4,-0.3623027900000153,-0.9556213544542942,normal
group4_ru_4821,group4,-0.6059101900000172,-1.1622717198440427,normal
group4_os_4821,group4,-0.7066806500001093,-1.2619316593769412,normal
group4_pd_4821,group4,-0.5995977600000089,-1.0678756137661338,normal
group4_pt_4821,group4,-0.4909315899999882,-1.052297231406996,normal
group4_cd_4821,group4,-0.27153241000000605,-0.8803745992491514,normal
group4_rh_4821,group4,-0.5816467300000312,-1.3083447962303438,normal
group4_ni_4821,group4,-0.5926486399999789,-0.5849559455031539,adsorbate_migration
group4_ir_4821,group4,-0.5310203299999756,-0.9681084149771522,normal
group4_zn_4821,group4,-0.3030711400000001,-0.8481749801167382,normal
group4_au_4824,group4,-0.3282574600000032,-0.8086981661729737,normal
group4_cu_4824,group4,-0.37535341000000244,-1.0220960088916797,normal
group4_ag_4824,group4,-0.3286797700000079,-0.8733670741766275,normal
group4_ru_4824,group4,-0.4939953699999933,-1.0304985398734345,normal
group4_os_4824,group4,-0.5182410400000776,-1.1166652507853598,normal
group4_pd_4824,group4,-0.5124571099999855,-1.0543277242879583,normal
group4_pt_4824,group4,-0.41607740000000604,-1.0595327344391023,normal
group4_cd_4824,group4,-0.2505780600000094,-0.8078993525084002,normal
group4_rh_4824,group4,-0.4705461099999866,-1.2809636964964,normal
group4_ni_4824,group4,-0.4838654099999644,-0.5522514348590732,adsorbate_migration
group4_ir_4824,group4,-0.40490760000000137,-0.9387915228299732,normal
group4_zn_4824,group4,-0.27857296999999903,-0.7550270833449844,normal
group4_au_3631,group4,-0.3250232599999947,-0.8622771058890066,normal
group4_cu_3631,group4,-0.4721017399999994,-1.1359355486634968,adsorbate_migration
group4_ag_3631,group4,-0.3618035099999872,-0.9479829953580179,normal
group4_ru_3631,group4,-0.7418433000000277,-1.1625849972377296,normal
group4_os_3631,group4,-0.8482457800000702,-1.1329960037900833,normal
group4_pd_3631,group4,-0.5684687999999767,-1.144366845539139,adsorbate_migration
group4_pt_3631,group4,-0.5208236799999781,-1.2241547049022188,adsorbate_migration
group4_cd_3631,group4,-0.25368682999999237,-0.8210075268095522,normal
group4_rh_3631,group4,-0.6016898899999887,-1.424366155287771,adsorbate_migration
group4_ni_3631,group4,-0.6781894499999908,-0.3804132504199629,adsorbate_migration
group4_ir_3631,group4,-0.6808516999999483,-1.0450039670417368,normal
group4_zn_3631,group4,-0.3013657199999926,-0.8022548545609283,normal
group4_au_3632,group4,-0.3100476600000093,-0.7285415595123226,normal
group4_cu_3632,group4,-0.38267573999999627,-1.0023126836035345,normal
group4_ag_3632,group4,-0.32335607000001687,-0.842155400978541,normal
group4_ru_3632,group4,-0.4813210599999991,-0.99825819132748,normal
group4_os_3632,group4,-0.4830935000000238,-1.0049442950547274,normal
group4_pd_3632,group4,-0.5148818499999948,-0.9963478234330552,normal
group4_pt_3632,group4,-0.4023839400000213,-0.9583542168066543,normal
group4_cd_3632,group4,-0.2339576500000078,-0.7139257491214579,normal
group4_rh_3632,group4,-0.4658830200000068,-1.246304506787581,normal
group4_ni_3632,group4,-0.48456361999998876,-0.25025743662980915,adsorbate_migration
group4_ir_3632,group4,-0.39165908999999033,-0.8642108615431567,normal
group4_zn_3632,group4,-0.2587814399999928,-0.7157756650807983,normal
group4_au_3623,group4,-0.29180686000002254,-0.7228671843531416,normal
