Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
3611,0.5823798437385482,0.6151343869402671,2.215119834281707,75.47902494331055,76.41032811334928,36.0,18.0,18.0,0,0,0,0
4811,0.6984218008646705,0.7374812494529782,2.335835900327689,76.06575963718835,78.47501864280399,36.0,19.0,17.0,0,0,0,0
4411,1.0994534941771,0.8985677266027524,2.762354502634069,75.89710884353723,77.02880313198963,24.0,21.0,3.0,0,0,0,0
44S1,0.7742284737729962,0.7170654317924902,0.5813243464785588,70.4421768707484,65.97734899328914,24.0,6.0,17.0,1,0,1,0
45N1,0.6193619600707425,0.4274987284704231,0.4431341016876325,71.62840136054432,72.17421700223737,24.0,13.0,11.0,0,0,0,0
4a11,0.6249964463175814,0.6689556070035785,1.960662156065969,75.98639455782312,77.92086129753895,24.0,16.0,8.0,0,0,0,0
4a12,0.7961538278312617,0.8129465511379521,2.194689957887837,75.8545918367349,80.45721476509999,24.0,20.0,4.0,0,0,0,0
55N1,0.4670315122292384,0.4855112406652268,0.3831256582712458,72.15136054421743,74.54697986577098,24.0,15.0,9.0,0,0,0,0
5601,0.496839417188486,0.5022580515194619,0.5917924112371443,70.02125850340151,68.44379194630898,24.0,14.0,10.0,0,0,0,0
6601,0.5410255977852619,0.5068016892417445,0.5664656363256265,79.83418367346951,85.020973154363,24.0,21.0,3.0,0,0,0,0
6611,0.5898682623118378,0.4252269430362314,2.0209736599457,63.19875776397491,66.1759556463363,23.0,6.0,17.0,0,0,0,0
66S1,0.7583216066496745,0.6690115600624735,0.5050727831738506,65.91372912801464,69.39139719341105,22.0,11.0,11.0,0,0,0,0
67N1,0.522706252319063,0.5867961581897134,0.5018598241736459,75.02782931354379,77.50610128126895,22.0,12.0,10.0,0,0,0,0
7801,0.4966586880676118,0.4251207899427913,0.2870552069991625,64.4341372912801,71.20195241000661,22.0,14.0,8.0,0,0,0,0
8a01,0.6532827348534159,0.528361637129927,0.4195880755813086,60.03246753246749,62.99877974374593,22.0,7.0,15.0,0,0,0,0
