reaction,adsorbate,DFT,MLIP,classification
group4_au_4821,group4,-0.3483514500000098,-0.7498115414999091,normal
group4_cu_4821,group4,-0.4392407200000008,-1.096341419076694,normal
group4_ag_4821,group4,-0.3623027900000153,-0.8587355524081062,normal
group4_ru_4821,group4,-0.6059101900000172,-1.1935433930181745,normal
group4_os_4821,group4,-0.7066806500001093,-1.276646767221294,normal
group4_pd_4821,group4,-0.5995977600000089,-1.1631884759830342,normal
group4_pt_4821,group4,-0.4909315899999882,-1.0954822681797651,normal
group4_cd_4821,group4,-0.27153241000000605,-0.8526104775286285,normal
group4_rh_4821,group4,-0.5816467300000312,-1.2564556134240235,normal
group4_ni_4821,group4,-0.5926486399999789,-0.6268839723369553,adsorbate_migration
group4_ir_4821,group4,-0.5310203299999756,-1.04980590529199,normal
group4_zn_4821,group4,-0.3030711400000001,-0.9745675116235475,normal
group4_au_4824,group4,-0.3282574600000032,-0.7408085367972745,normal
group4_cu_4824,group4,-0.37535341000000244,-0.9996156386316528,normal
group4_ag_4824,group4,-0.3286797700000079,-0.8144855893597907,normal
group4_ru_4824,group4,-0.4939953699999933,-1.159519086497241,normal
group4_os_4824,group4,-0.5182410400000776,-1.2087967132072635,normal
group4_pd_4824,group4,-0.5124571099999855,-1.1636749089887957,normal
group4_pt_4824,group4,-0.41607740000000604,-1.1447150808517534,normal
group4_cd_4824,group4,-0.2505780600000094,-0.7101844563145505,normal
group4_rh_4824,group4,-0.4705461099999866,-1.242659842288603,normal
group4_ni_4824,group4,-0.4838654099999644,-1.0453081338828696,adsorbate_migration
group4_ir_4824,group4,-0.40490760000000137,-1.057680342656326,normal
group4_zn_4824,group4,-0.27857296999999903,-0.8074557523937074,normal
group4_au_3631,group4,-0.3250232599999947,-0.9455891245080181,normal
group4_cu_3631,group4,-0.4721017399999994,-1.2031768745045213,normal
group4_ag_3631,group4,-0.3618035099999872,-1.0395564093017242,normal
group4_ru_3631,group4,-0.7418433000000277,-1.352030470290373,normal
group4_os_3631,group4,-0.8482457800000702,-1.375203683108424,normal
group4_pd_3631,group4,-0.5684687999999767,-1.35703905585504,normal
group4_pt_3631,group4,-0.5208236799999781,-1.387515350473592,normal
group4_cd_3631,group4,-0.25368682999999237,-0.987334840809595,normal
group4_rh_3631,group4,-0.6016898899999887,-1.5416707179365687,normal
group4_ni_3631,group4,-0.6781894499999908,0.8168508932904217,adsorbate_migration
group4_ir_3631,group4,-0.6808516999999483,-1.336084559660975,normal
group4_zn_3631,group4,-0.3013657199999926,-1.0542368451986448,normal
group4_au_3632,group4,-0.3100476600000093,-0.779140789630759,normal
group4_cu_3632,group4,-0.38267573999999627,-1.1083335581085123,normal
group4_ag_3632,group4,-0.32335607000001687,-0.9354776770577473,normal
