Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
3611,0.811981226945616,0.8573400212627865,0.9791658284479922,78.24263038548699,78.44146159582226,36.0,25.0,11.0,0,0,0,0
4811,0.9977084482400156,1.008059291638217,1.146814712503828,75.26077097505646,74.7352721849378,36.0,23.0,13.0,0,0,0,0
4411,1.052158456504254,1.08432381365692,1.199573432751875,78.05272108843535,77.33501118568216,24.0,20.0,4.0,0,0,0,0
44S1,1.103321098305769,0.9199241434318767,0.8967196554692046,66.92602040816337,60.57326621923897,24.0,6.0,18.0,0,0,0,0
45N1,1.214133988908037,1.054762334536234,1.013225582389621,72.46598639455787,71.92953020134298,24.0,13.0,11.0,0,0,0,0
4a11,0.7495975792295143,0.6454094248537354,0.9526822250580954,77.08333333333341,75.44043624160919,24.0,13.0,11.0,0,0,0,0
4a12,0.840600651306565,0.8572673910729449,1.09227140964993,79.8894557823129,79.80425055928546,24.0,18.0,6.0,0,0,0,0
55N1,0.8616806083523443,0.891998441272104,0.8245867685513252,76.73469387755048,77.70833333333255,24.0,15.0,8.0,1,0,1,0
5601,0.8058269631233484,0.7952371396143699,0.8470898030496384,72.06632653061227,71.06263982102978,24.0,15.0,9.0,0,0,0,0
6601,1.159178178717967,1.09672636169951,1.055999317869421,84.77891156462593,88.1557606263989,24.0,22.0,2.0,0,0,0,0
6611,0.920744298118631,0.9251664998953579,0.7173946790283816,68.32741792369114,68.56434199007779,23.0,8.0,15.0,0,0,0,0
66S1,1.353857382480217,1.100076570676552,1.067457991087234,62.90816326530577,61.73733984136599,22.0,5.0,16.0,1,0,1,0
67N1,1.10500681173521,1.162447770748289,1.021872670170707,76.06679035250477,75.81452104942072,22.0,14.0,8.0,0,0,0,0
7801,1.201878981523574,1.133060737393854,0.941063554528473,65.77458256029682,70.48657718120796,22.0,11.0,10.0,1,0,1,0
8a01,1.334125779704547,1.272205942706785,1.065967378010198,65.86734693877507,65.3813300793155,22.0,5.0,16.0,1,0,1,0
8a02,1.287239338886633,1.040147439303065,1.652509092166866,66.600185528757,63.35112873703466,22.0,3.0,18.0,1,0,1,0
8a03,1.192301910242426,1.104384705681196,1.235523359189585,68.4276437847867,69.9206833435034,22.0,10.0,11.0,1,0,1,0
1211,0.4268094115162444,0.4187234434786191,1.009178540873675,86.0374149659864,86.30313199104981,12.0,11.0,1.0,0,0,0,0
1221,0.4863595659331548,0.5163472671080469,5.912612157138917,84.30272108843539,85.69071588366724,12.0,11.0,1.0,0,0,0,0
1231,0.6615447789331833,0.6791470498040685,3.116892178124608,82.46598639455776,86.73098434004314,12.0,11.0,1.0,0,0,0,0
12S1,0.4541824550672556,0.4939088190263711,0.643639068186061,86.24149659863936,91.38422818791966,12.0,10.0,0.0,2,0,2,0
13N1,0.5201018609505361,0.4467078281850046,0.5715471626976564,84.76190476190474,83.16554809843366,12.0,9.0,3.0,0,0,0,0
13X1,0.62587448752982,0.5452592710651549,1.194761185472818,81.09693877551024,76.60234899328715,12.0,8.0,4.0,0,0,0,0
