reaction,adsorbate,DFT,MLIP,classification
group4_au_4821,group4,-0.3483514500000098,-1.0373820245326186,normal
group4_cu_4821,group4,-0.4392407200000008,-1.3345614912030186,adsorbate_migration
group4_ag_4821,group4,-0.3623027900000153,-0.9814281908865752,normal
group4_ru_4821,group4,-0.6059101900000172,-1.5307907269648098,normal
group4_os_4821,group4,-0.7066806500001093,-1.5213201051447953,normal
group4_pd_4821,group4,-0.5995977600000089,-1.368404141659184,normal
group4_pt_4821,group4,-0.4909315899999882,-1.338808652528357,normal
group4_cd_4821,group4,-0.27153241000000605,-1.0102331426344762,adsorbate_migration
group4_rh_4821,group4,-0.5816467300000312,-1.4660588264708707,normal
group4_ni_4821,group4,-0.5926486399999789,-0.6853353551839376,adsorbate_migration
group4_ir_4821,group4,-0.5310203299999756,-1.5270501178140279,normal
group4_zn_4821,group4,-0.3030711400000001,-1.0290405710529598,adsorbate_migration
group4_au_4824,group4,-0.3282574600000032,-0.9518930549992461,normal
group4_cu_4824,group4,-0.37535341000000244,-0.9600189257979395,normal
group4_ag_4824,group4,-0.3286797700000079,-0.8151297585039714,normal
group4_ru_4824,group4,-0.4939953699999933,-1.276565612635963,adsorbate_migration
group4_os_4824,group4,-0.5182410400000776,-1.3261164847329923,adsorbate_migration
group4_pd_4824,group4,-0.5124571099999855,-1.2290980467342223,normal
group4_pt_4824,group4,-0.41607740000000604,-1.2140734169472438,normal
group4_cd_4824,group4,-0.2505780600000094,-0.758459708321098,normal
group4_rh_4824,group4,-0.4705461099999866,-1.2153707080340581,normal
group4_ni_4824,group4,-0.4838654099999644,-0.6863913222053242,adsorbate_migration
group4_ir_4824,group4,-0.40490760000000137,-1.356653289511982,adsorbate_migration
group4_zn_4824,group4,-0.27857296999999903,-0.7548197326575945,normal
group4_au_3631,group4,-0.3250232599999947,-1.1147225064260198,normal
group4_cu_3631,group4,-0.4721017399999994,-1.1307920580837418,normal
group4_ag_3631,group4,-0.3618035099999872,-0.9506552304992937,normal
group4_ru_3631,group4,-0.7418433000000277,-1.325055512480688,normal
group4_os_3631,group4,-0.8482457800000702,-1.2718411331926092,normal
group4_pd_3631,group4,-0.5684687999999767,-1.4473871468014323,adsorbate_migration
group4_pt_3631,group4,-0.5208236799999781,-1.6451506018477318,adsorbate_migration
group4_cd_3631,group4,-0.25368682999999237,-0.924854529736848,normal
group4_rh_3631,group4,-0.6016898899999887,-1.470612418551653,adsorbate_migration
group4_ni_3631,group4,-0.6781894499999908,-0.3150968033748569,adsorbate_migration
group4_ir_3631,group4,-0.6808516999999483,-1.4051143262783654,normal
group4_zn_3631,group4,-0.3013657199999926,-0.9516624201375095,normal
group4_au_3632,group4,-0.3100476600000093,-1.0197873689233177,normal
group4_cu_3632,group4,-0.38267573999999627,-1.078946914577756,normal
group4_ag_3632,group4,-0.32335607000001687,-0.9602156468542944,normal
group4_ru_3632,group4,-0.4813210599999991,-1.2179561494625375,normal
group4_os_3632,group4,-0.4830935000000238,-1.2805737062294327,normal
group4_pd_3632,group4,-0.5148818499999948,-1.3209065715958275,adsorbate_migration
group4_pt_3632,group4,-0.4023839400000213,-1.187022177203545,normal
group4_cd_3632,group4,-0.2339576500000078,-0.9340973818528795,normal
group4_rh_3632,group4,-0.4658830200000068,-1.2086241237937259,normal
group4_ni_3632,group4,-0.48456361999998876,-0.3721265409513137,adsorbate_migration
group4_ir_3632,group4,-0.39165908999999033,-1.254876154987386,normal
group4_zn_3632,group4,-0.2587814399999928,-0.9595506352917198,normal
group4_au_3623,group4,-0.29180686000002254,-0.9963986291378717,normal
group4_cu_3623,group4,-0.39972816999998884,-1.0710075986176264,normal
group4_ag_3623,group4,-0.32320654000001525,-0.905670264582568,normal
group4_ru_3623,group4,-0.5971006000000187,-1.35251269056144,normal
