Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
3611,0.894451516360863,0.8853045902757295,1.545714403545202,72.03514739229028,70.53504847128913,36.0,20.0,16.0,0,0,0,0
4811,1.228372965848594,1.153687606758113,1.77591499704719,67.38662131519283,66.01789709172198,36.0,16.0,19.0,1,0,0,1
4411,1.376338409126524,1.215661071715332,1.670453961694613,71.22023809523819,69.37360178970903,24.0,10.0,13.0,1,0,1,0
44S1,1.200677271851649,0.9452515642230771,0.6582096433114609,69.04336734693851,65.5229306487696,24.0,9.0,15.0,0,0,0,0
45N1,1.110737006502122,1.10328068008312,0.6513450043977335,67.98469387755114,63.67589485458554,24.0,5.0,17.0,2,0,2,0
4a11,1.319920078885019,0.7107564715703063,1.804136302019841,62.68282312925194,59.92729306487767,24.0,2.0,20.0,2,0,2,0
4a12,1.654868127249137,1.312406517148517,2.113851643690503,62.33843537414981,58.13898210290923,24.0,3.0,15.0,6,0,3,3
55N1,1.2561352301155,1.151878760777095,0.9890422413949729,67.21513605442169,67.09731543624261,24.0,6.0,13.0,5,0,3,2
5601,0.9912674395078517,1.164985796669571,0.7795363749315651,68.83078231292524,69.34423937360212,24.0,13.0,10.0,1,0,1,0
6601,1.503632430869991,1.405861575730763,1.283608024500897,78.7372448979591,80.73685682326665,24.0,12.0,8.0,4,0,1,3
6611,1.294716555014504,1.330382622359318,1.415233604178003,67.1517302573205,65.12109716953697,23.0,5.0,18.0,0,0,0,0
66S1,1.593881600781669,1.259307764037679,1.006350458995044,61.36827458256001,59.06192800488059,22.0,4.0,18.0,0,0,0,0
67N1,1.158693578457769,1.355488246019764,0.9930941684048623,69.88868274582542,66.55125076266006,22.0,7.0,14.0,1,0,1,0
7801,1.227543607500435,1.455644347356788,0.971426207522883,63.10760667903512,65.26540573520393,22.0,4.0,14.0,4,0,2,2
8a01,1.463899209592866,1.367539261705687,1.265262974034852,66.90166975881269,67.89963392312328,22.0,6.0,15.0,1,0,0,1
8a02,1.455450247332838,1.500734766265546,1.449235268762317,63.36734693877538,64.2571690054905,22.0,5.0,16.0,1,0,1,0
8a03,1.408313499560448,1.472178347014722,1.325342997018069,66.90166975881262,68.1635143380111,22.0,5.0,15.0,2,0,1,1
1211,0.3228965574908162,0.2646766169915341,1.508944882519528,77.3299319727889,71.74496644295347,12.0,7.0,5.0,0,0,0,0
1221,0.457304912816026,0.1898973517818755,5.555219071978937,68.19727891156458,57.852348993288,12.0,3.0,9.0,0,0,0,0
1231,0.60131114479054,0.6165979599036375,2.400112352784138,78.05272108843542,80.54809843400285,12.0,11.0,1.0,0,0,0,0
12S1,0.5983342111437283,0.6652702885298971,0.5551175521098379,80.57823129251699,85.05592841163222,12.0,10.0,0.0,2,0,2,0
13N1,0.51886843130355,0.3572669966563543,0.3492304634734425,73.42687074829934,65.90324384787455,12.0,3.0,7.0,2,0,2,0
13X1,0.570797270361855,0.2458152411702699,1.668344977662588,69.0306122448979,61.52404921700267,12.0,2.0,9.0,1,0,1,0
13Y1,1.144060711499611,0.8285513438279978,1.788878108923333,72.67857142857123,67.18959731543703,12.0,5.0,5.0,2,0,2,0
13_1,0.8753109053693043,0.6663743008282594,1.866195801289791,63.4438775510202,59.66442953020222,12.0,2.0,8.0,2,0,2,0
14S1,0.3741186502461182,0.2721070607400201,0.2039680327899216,75.2040816326529,70.70190156599561,12.0,5.0,5.0,2,0,2,0
14Z1,0.6924011191417462,0.5170511707254164,0.694971005497381,73.15476190476177,68.55425055928539,12.0,4.0,6.0,2,0,2,0
15N1,0.2421436237270947,0.2793176873945818,0.2358514632542263,76.9217687074831,79.41834451901389,12.0,9.0,1.0,2,0,2,0
2201,1.493889468479357,0.9912857811547177,0.6744143538219104,69.88945578231282,60.51733780760591,12.0,5.0,6.0,1,0,1,0
2401,0.5950089427580156,0.6111349911053872,0.5477097195110657,80.39115646258482,82.29586129753783,12.0,10.0,2.0,0,0,0,0
2411,0.4740322241126152,0.28104105054814,1.796173022804113,69.21768707482988,59.32046979865852,12.0,2.0,10.0,0,0,0,0
2421,0.9618504523054607,0.6228263906899727,1.745101301448921,60.42517006802745,50.62639821029018,12.0,1.0,11.0,0,0,0,0
2422,0.8431813914800781,0.1634402695693709,1.686440110624012,54.36224489795928,50.11744966442843,12.0,1.0,11.0,0,0,0,0
2431,1.023196911972958,0.1614478192035733,2.383292467376456,64.55782312925173,57.11409395973129,12.0,1.0,10.0,1,0,1,0
24S1,0.3074749847020145,0.3253295855336546,0.2498398652846495,77.7295918367347,80.25167785234933,12.0,10.0,0.0,2,0,2,0
25N1,0.6972684786339638,0.6436275032605125,0.5265465891441838,75.60374149659854,74.59172259507764,12.0,9.0,1.0,2,0,2,0
25N2,0.5353405318362542,0.5839232182294616,0.4620254218223483,75.25510204081611,75.09507829977798,12.0,8.0,2.0,2,0,2,0
25X1,0.8093149254654618,0.9480457311953217,0.8191408752555495,68.76700680272117,61.76454138702456,12.0,4.0,6.0,2,0,2,0
25X2,0.5196441374556103,0.5327343918748925,1.725973576996602,72.50850340136056,75.77181208053571,12.0,7.0,3.0,2,0,2,0
25Y1,1.054772740146565,1.116427537788213,1.367714341625714,68.17176870748318,64.50782997762971,12.0,5.0,5.0,2,0,2,0
25Y2,1.513200747950594,0.7227255073272332,1.876743578829434,66.23299319727876,61.46252796420446,12.0,4.0,5.0,3,0,3,0
25_1,1.208590666772431,,2.244722145232732,64.43027210884372,56.81767337807642,12.0,0.0,11.0,1,0,1,0
25_2,1.136428072389569,0.9246521696091605,1.961331103459174,58.62244897959182,54.14149888143237,12.0,2.0,8.0,2,0,2,0
2601,0.7552007607798282,0.7740292405197224,0.7970952779467364,80.56972789115656,83.84507829977474,12.0,11.0,1.0,0,0,0,0
2611,0.7977870122520058,0.7642751435672692,0.956915919437329,79.0646258503401,83.26342281879195,12.0,11.0,1.0,0,0,0,0
2612,0.6464534144483741,0.5374271928265486,1.075524281349642,67.61904761904755,59.56096196868049,12.0,1.0,10.0,1,0,1,0
26S1,0.6951766318271707,0.6576733149024226,0.4427906322917471,69.12414965986363,67.16442953020244,12.0,3.0,7.0,2,0,2,0
26S2,0.2406086593002363,0.2086303048666363,0.2156081897798092,77.07482993197291,78.81991051453994,12.0,8.0,2.0,2,0,2,0
26Z1,0.4533927759236622,0.176010327481715,0.3575591735986159,67.67857142857133,63.7779642058155,12.0,3.0,7.0,2,0,2,0
26Z2,0.4727624971796699,0.4666045118515332,0.5085338425060346,75.74829931972799,80.94519015659922,12.0,9.0,1.0,2,0,2,0
26Z3,1.099886348500116,,0.6452085403335399,61.73469387755095,52.78243847874653,12.0,0.0,10.0,2,0,2,0
26Z4,0.7458944121928747,0.59668039128495,0.5738038667145293,68.71598639455763,68.4312080536914,12.0,5.0,5.0,2,0,2,0
27N1,0.4921747041382923,0.4995583661175466,0.4498735122802871,73.91156462585012,76.5799776286352,12.0,9.0,1.0,2,0,2,0
27N2,0.3609500312249043,0.498227964128084,0.3156838919657788,73.01020408163251,74.63087248321982,12.0,6.0,4.0,2,0,2,0
3401,1.17856533093505,1.195649631863388,0.8702933852435132,70.72278911564614,71.01510067114218,12.0,7.0,3.0,2,0,2,0
3601,0.8183358485479406,0.8608029460402049,0.6046537416032655,72.95918367346918,72.86912751677902,12.0,8.0,4.0,0,0,0,0
