reaction,adsorbate,DFT,MLIP,classification
group4_au_4821,group4,-0.3483514500000098,-1.3042048212614077,adsorbate_migration
group4_cu_4821,group4,-0.4392407200000008,-2.245579321820543,adsorbate_migration
group4_ag_4821,group4,-0.3623027900000153,-1.416915430188908,adsorbate_migration
group4_ru_4821,group4,-0.6059101900000172,-2.1807160063601714,adsorbate_migration
group4_os_4821,group4,-0.7066806500001093,-1.9362782518813333,normal
group4_pd_4821,group4,-0.5995977600000089,-2.3448021387876565,adsorbate_migration
group4_pt_4821,group4,-0.4909315899999882,-2.451220306434209,adsorbate_migration
group4_cd_4821,group4,-0.27153241000000605,-1.4031049853035995,unphysical_relaxation
group4_rh_4821,group4,-0.5816467300000312,-2.8995045232419443,adsorbate_migration
group4_ni_4821,group4,-0.5926486399999789,-2.1612319618431,adsorbate_migration
group4_ir_4821,group4,-0.5310203299999756,-2.4817825864478777,adsorbate_migration
group4_zn_4821,group4,-0.3030711400000001,-1.7700881140052616,unphysical_relaxation
group4_au_4824,group4,-0.3282574600000032,-1.1583747141119147,adsorbate_migration
group4_cu_4824,group4,-0.37535341000000244,-1.676435220956364,adsorbate_migration
group4_ag_4824,group4,-0.3286797700000079,-1.2874935451443719,adsorbate_migration
group4_ru_4824,group4,-0.4939953699999933,-1.9209325053365944,adsorbate_migration
group4_os_4824,group4,-0.5182410400000776,-1.6905100501398067,adsorbate_migration
group4_pd_4824,group4,-0.5124571099999855,-2.0715041881905165,adsorbate_migration
group4_pt_4824,group4,-0.41607740000000604,-2.3270795760319913,adsorbate_migration
group4_cd_4824,group4,-0.2505780600000094,-1.2076875895287174,adsorbate_migration
group4_rh_4824,group4,-0.4705461099999866,-2.223968823226784,adsorbate_migration
group4_ni_4824,group4,-0.4838654099999644,-1.8174898694431079,adsorbate_migration
group4_ir_4824,group4,-0.40490760000000137,-2.3896955138107216,adsorbate_migration
group4_zn_4824,group4,-0.27857296999999903,-1.6824072943373949,adsorbate_migration
group4_au_3631,group4,-0.3250232599999947,-1.0987689269132659,adsorbate_migration
group4_cu_3631,group4,-0.4721017399999994,-1.7807293141970604,adsorbate_migration
group4_ag_3631,group4,-0.3618035099999872,-1.3330777369099849,adsorbate_migration
group4_ru_3631,group4,-0.7418433000000277,-2.433788631259773,adsorbate_migration
group4_os_3631,group4,-0.8482457800000702,-1.7287669996096326,normal
group4_pd_3631,group4,-0.5684687999999767,-2.108225324479889,adsorbate_migration
group4_pt_3631,group4,-0.5208236799999781,-2.6929016991381616,adsorbate_migration
group4_cd_3631,group4,-0.25368682999999237,-1.1007681408593442,unphysical_relaxation
group4_rh_3631,group4,-0.6016898899999887,-2.3974747789808646,adsorbate_migration
