Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
3611,0.4622338703693912,0.4033560072478997,0.5307272381482334,80.98356009070294,84.96644295301986,36.0,26.0,10.0,0,0,0,0
4811,0.5473400161017806,0.4953394657642689,0.6381594207537213,80.751133786848,85.57046979865714,36.0,27.0,9.0,0,0,0,0
4411,0.2509910950018739,0.2431526813656071,0.2973631315553303,75.4974489795919,76.20665548098593,24.0,22.0,2.0,0,0,0,0
44S1,0.4130827410066663,0.4152969719867752,0.3947552841075925,72.83163265306135,71.25419463087243,24.0,12.0,12.0,0,0,0,0
45N1,0.283438638749649,0.2792340059148749,0.3467109305798862,76.05867346938783,80.65715883668935,24.0,20.0,4.0,0,0,0,0
4a11,0.4465562568551142,0.4465562568551142,0.6313217757777743,85.84608843537417,90.96756152125278,24.0,24.0,0.0,0,0,0,0
4a12,0.6064233103723069,0.5749623999807476,0.7590004562830698,83.84353741496564,88.45637583892692,24.0,21.0,3.0,0,0,0,0
55N1,0.3692919042515079,0.348606782828378,0.3017011612554168,74.73214285714293,78.0816554809856,24.0,15.0,8.0,1,0,1,0
5601,0.3313633652197883,0.3459196981795909,0.5705200214388532,72.25765306122452,72.2399328859057,24.0,16.0,8.0,0,0,0,0
6601,0.4385402956151498,0.4028255353298689,0.5399682346768758,78.22278911564645,83.79194630872603,24.0,21.0,3.0,0,0,0,0
6611,0.2754522236410969,0.2991242336248064,0.3701849437713189,68.91304347826116,72.5167785234905,23.0,10.0,13.0,0,0,0,0
66S1,0.4796346564092705,0.4459695966950292,0.4628115915399527,63.87755102040783,65.8190970103718,22.0,8.0,14.0,0,0,0,0
67N1,0.3924281298612856,0.3081198489511301,0.3748446395302368,72.19387755102072,74.90085417937887,22.0,11.0,11.0,0,0,0,0
7801,0.2849956408985512,0.3248170566627037,0.3798463554397671,64.93970315398889,71.77242220866454,22.0,17.0,5.0,0,0,0,0
8a01,0.4293109361590126,0.3058244659945141,0.3375632237972597,57.72727272727254,61.23703477730446,22.0,3.0,19.0,0,0,0,0
8a02,0.3314145434401713,0.3660192210114599,0.8122693051859784,66.7346938775506,69.43105552166043,22.0,7.0,15.0,0,0,0,0
8a03,0.3382044415094379,0.3225219185226891,0.4957295819353569,61.18738404452657,66.2034777303244,22.0,8.0,14.0,0,0,0,0
1211,0.1157216734482584,0.1315094683573488,0.2168251138872422,82.85714285714286,82.18120805369063,12.0,8.0,4.0,0,0,0,0
1221,0.06819591775065525,0.06819591775065525,5.63758925708619,86.98129251700688,92.51957494407156,12.0,12.0,0.0,0,0,0,0
1231,0.07928533793493801,0.07928533793493801,0.3823262956645716,87.93367346938784,93.48434004474274,12.0,12.0,0.0,0,0,0,0
12S1,0.1950327829324022,0.2141254373479384,0.44654879052256,84.51530612244903,90.8333333333335,12.0,10.0,0.0,2,0,2,0
13N1,0.167646035639598,0.1423098040690094,0.3368596511741876,85.58673469387757,90.57046979865791,12.0,11.0,1.0,0,0,0,0
13X1,0.2046264969453926,0.1549293171614615,0.5933571907236631,84.51530612244898,86.97986577181267,12.0,10.0,2.0,0,0,0,0
13Y1,0.146999095403471,0.1205006144688134,0.3217822319901688,84.95748299319736,88.3752796420583,12.0,10.0,2.0,0,0,0,0
13_1,0.1162011505502279,0.1162011505502279,0.4041752586584113,87.55102040816332,93.6045861297539,12.0,12.0,0.0,0,0,0,0
14S1,0.2468181185717295,0.2468181185717295,0.4456824757122071,87.51700680272116,93.67449664429529,12.0,12.0,0.0,0,0,0,0
14Z1,0.249239707364767,0.2019393838843539,0.8217505013275263,84.56632653061222,89.61129753915009,12.0,11.0,1.0,0,0,0,0
15N1,0.1608613368519377,0.1608613368519377,0.3777011455896435,87.10884353741504,93.75559284116329,12.0,12.0,0.0,0,0,0,0
2201,0.1442658780904408,0.1532089988844234,0.4240393369667081,78.36734693877554,72.86912751677771,12.0,8.0,4.0,0,0,0,0
2401,0.1401307366911345,0.1401307366911345,0.3259021720440067,86.70068027210885,92.6370246085011,12.0,12.0,0.0,0,0,0,0
2411,0.1591628582074325,0.1544859422638311,0.2848983068569417,81.59863945578219,81.3730425055922,12.0,10.0,2.0,0,0,0,0
2421,0.1966684774157942,0.1966684774157942,0.420310938473141,85.05952380952381,88.23825503355695,12.0,12.0,0.0,0,0,0,0
2422,0.1913045406017518,0.1870184798041314,0.3882927593989886,86.30102040816325,91.05145413870267,12.0,11.0,1.0,0,0,0,0
2431,0.2414809642871424,0.2337029861106908,0.4697302524481159,84.24319727891161,86.76174496644276,12.0,11.0,1.0,0,0,0,0
24S1,0.2832922931334227,0.2832922931334227,0.5227869802342772,84.9829931972788,91.91275167785251,12.0,12.0,0.0,0,0,0,0
25N1,0.2128866969084549,0.2359198451909251,0.427395254464102,84.05612244897962,91.26398210290854,12.0,10.0,0.0,2,0,2,0
25N2,0.2034603410825759,0.2034603410825759,0.4906035488989341,87.52551020408174,93.27740492170022,12.0,12.0,0.0,0,0,0,0
25X1,0.3145191510124802,0.2794323334826245,0.5082922796468523,85.0085034013605,89.4602908277397,12.0,11.0,1.0,0,0,0,0
25X2,0.1749661517474876,0.1749661517474876,0.3762763292728148,87.78911564625861,93.7863534675615,12.0,12.0,0.0,0,0,0,0
