reaction,adsorbate,DFT,MLIP,classification
group4_au_4821,group4,-0.3483514500000098,-0.6081397021085593,normal
group4_cu_4821,group4,-0.4392407200000008,-0.7825457736116732,normal
group4_ag_4821,group4,-0.3623027900000153,-0.7029026325469658,normal
group4_ru_4821,group4,-0.6059101900000172,-0.9619898998599012,normal
group4_os_4821,group4,-0.7066806500001093,-1.041224281205956,normal
group4_pd_4821,group4,-0.5995977600000089,-0.9283219296175105,normal
group4_pt_4821,group4,-0.4909315899999882,-0.8609952416146882,normal
group4_cd_4821,group4,-0.27153241000000605,-0.5292819066627317,normal
group4_rh_4821,group4,-0.5816467300000312,-0.9859415940041174,normal
group4_ni_4821,group4,-0.5926486399999789,-0.9531168816397155,normal
group4_ir_4821,group4,-0.5310203299999756,-0.9575627254282892,normal
group4_zn_4821,group4,-0.3030711400000001,-0.5200240764883688,normal
group4_au_4824,group4,-0.3282574600000032,-0.6161110436248691,normal
group4_cu_4824,group4,-0.37535341000000244,-0.7534852682449014,normal
group4_ag_4824,group4,-0.3286797700000079,-0.7002110007080091,normal
group4_ru_4824,group4,-0.4939953699999933,-0.9202644740866219,normal
group4_os_4824,group4,-0.5182410400000776,-0.9369716754910371,normal
group4_pd_4824,group4,-0.5124571099999855,-0.9425941392990751,normal
group4_pt_4824,group4,-0.41607740000000604,-0.852181024930843,normal
group4_cd_4824,group4,-0.2505780600000094,-0.5170599350396685,normal
group4_rh_4824,group4,-0.4705461099999866,-0.9563629768437352,normal
group4_ni_4824,group4,-0.4838654099999644,-0.9247672667425775,normal
group4_ir_4824,group4,-0.40490760000000137,-0.8757766318678648,normal
group4_zn_4824,group4,-0.27857296999999903,-0.4948011593079116,normal
group4_au_3631,group4,-0.3250232599999947,-0.536144434674469,normal
group4_cu_3631,group4,-0.4721017399999994,-0.6934743951971996,normal
group4_ag_3631,group4,-0.3618035099999872,-0.6294597091749665,normal
group4_ru_3631,group4,-0.7418433000000277,-0.924505657484957,normal
group4_os_3631,group4,-0.8482457800000702,-1.005468820762161,normal
group4_pd_3631,group4,-0.5684687999999767,-0.8519588975414933,normal
group4_pt_3631,group4,-0.5208236799999781,-0.8492236008300722,normal
group4_cd_3631,group4,-0.25368682999999237,-0.4971372031840957,normal
group4_rh_3631,group4,-0.6016898899999887,-0.9434371040353824,normal
group4_ni_3631,group4,-0.6781894499999908,-0.8514251609661585,normal
group4_ir_3631,group4,-0.6808516999999483,-0.8742541411926084,normal
group4_zn_3631,group4,-0.3013657199999926,-0.4729422272768318,normal
group4_au_3632,group4,-0.3100476600000093,-0.558690523320692,normal
group4_cu_3632,group4,-0.38267573999999627,-0.7104332936380757,normal
group4_ag_3632,group4,-0.32335607000001687,-0.6473988342083175,normal
group4_ru_3632,group4,-0.4813210599999991,-0.8640681777603589,normal
group4_os_3632,group4,-0.4830935000000238,-0.864872164367668,normal
group4_pd_3632,group4,-0.5148818499999948,-0.8815454138538001,normal
group4_pt_3632,group4,-0.4023839400000213,-0.8091720435510155,normal
group4_cd_3632,group4,-0.2339576500000078,-0.49713626243307374,normal
group4_rh_3632,group4,-0.4658830200000068,-0.9008946901753205,normal
group4_ni_3632,group4,-0.48456361999998876,-0.8755806007433051,normal
group4_ir_3632,group4,-0.39165908999999033,-0.8296938325830041,normal
group4_zn_3632,group4,-0.2587814399999928,-0.4666038492003821,normal
group4_au_3623,group4,-0.29180686000002254,-0.5038496959247851,normal
group4_cu_3623,group4,-0.39972816999998884,-0.6641805329925177,normal
group4_ag_3623,group4,-0.32320654000001525,-0.5848749866079999,normal
group4_ru_3623,group4,-0.5971006000000187,-0.8553581404289474,normal
group4_os_3623,group4,-0.6793865400000385,-0.9245630708352763,normal
group4_pd_3623,group4,-0.5066058200000185,-0.8364918046490715,normal
group4_pt_3623,group4,-0.43841575000003274,-0.7495993840995396,normal
group4_cd_3623,group4,-0.22600254999999692,-0.4766315229115179,normal
group4_rh_3623,group4,-0.5207477100000091,-0.8607980334128769,normal
group4_ni_3623,group4,-0.5315538699999678,-0.7973045558193661,normal
group4_ir_3623,group4,-0.519125399999993,-0.8149990171296935,normal
group4_zn_3623,group4,-0.24841854000000296,-0.44221511939944946,normal
group4_au_4832,group4,-0.3518741799999958,-0.6339383346292493,normal
group4_cu_4832,group4,-0.4187342199999904,-0.8131059886558774,normal
group4_ag_4832,group4,-0.35811597000001427,-0.7267786090760069,normal
group4_ru_4832,group4,-0.5129663400000055,-0.9055057440304211,normal
group4_os_4832,group4,-0.5689272700000885,-0.9380031988977464,normal
group4_pd_4832,group4,-0.5258670300000148,-0.9395976451360468,normal
group4_pt_4832,group4,-0.43418928000001245,-0.8716328140435792,normal
group4_cd_4832,group4,-0.2663437800000139,-0.5589379545035342,normal
group4_rh_4832,group4,-0.48938549000003206,-0.9778201386536978,normal
group4_ni_4832,group4,-0.5013948400000032,-1.0070566404277486,normal
group4_ir_4832,group4,-0.46092462999997963,-0.9323911739141693,normal
group4_zn_4832,group4,-0.297695939999997,-0.526061496617956,normal
group4_au_3622,group4,-0.2893358800000101,-0.5168760886143815,normal
group4_cu_3622,group4,-0.33039152000000627,-0.6066007095912909,normal
group4_ag_3622,group4,-0.2801272100000176,-0.5613689987717265,normal
group4_ru_3622,group4,-0.48162670000002095,-0.8175689387054064,normal
group4_os_3622,group4,-0.5369041400000185,-0.8614510655629743,normal
group4_pd_3622,group4,-0.4660131400000296,-0.8129441858610704,normal
group4_pt_3622,group4,-0.38105405000001724,-0.7514563122229703,normal
group4_cd_3622,group4,-0.21178871999999416,-0.4549470655071417,normal
group4_rh_3622,group4,-0.45169623000001025,-0.8424038292408937,normal
group4_ni_3622,group4,-0.4463971599999752,-0.7830740611140783,normal
group4_ir_3622,group4,-0.42195677999998793,-0.8247551402580626,normal
group4_zn_3622,group4,-0.2307835599999919,-0.4230016618750625,normal
group4_au_4831,group4,-0.4213347600000077,-0.7368140427934264,normal
group4_cu_4831,group4,-0.5497517700000003,-0.8884913904534102,normal
group4_ag_4831,group4,-0.4322106400000223,-0.8242354421626175,normal
group4_ru_4831,group4,-0.8529759699999886,-1.1736825849454107,normal
group4_os_4831,group4,-0.9695679400000472,-1.2460782919801403,normal
group4_pd_4831,group4,-0.6799110500000154,-1.1496162781602806,normal
group4_pt_4831,group4,-0.599083520000022,-1.1190521519331895,normal
group4_cd_4831,group4,-0.3155230700000118,-0.6287844616358456,normal
group4_rh_4831,group4,-0.6879529100000354,-1.166501280088525,normal
group4_ni_4831,group4,-0.8221368899999675,-1.1959677780587725,normal
group4_ir_4831,group4,-0.8074686599999836,-1.2114335491548758,normal
group4_zn_4831,group4,-0.366940790000001,-0.6264583289065087,normal
group4_au_4825,group4,-0.3718209700000017,-0.667729893601674,normal
group4_cu_4825,group4,-0.4442520799999983,-0.813944715758069,normal
group4_ag_4825,group4,-0.37052111999999227,-0.7378839923651554,normal
group4_ru_4825,group4,-0.596257389999991,-0.9714884524902772,normal
group4_os_4825,group4,-0.741138810000038,-1.051472116863394,normal
group4_pd_4825,group4,-0.5734852300000313,-1.035135936143874,normal
group4_pt_4825,group4,-0.48925898999998196,-0.9368560417130851,normal
group4_cd_4825,group4,-0.27536066999998354,-0.5749191222660244,normal
group4_rh_4825,group4,-0.5563810299999972,-1.0498515957828403,normal
group4_ni_4825,group4,-0.5668141699999723,-1.0311801491423438,normal
group4_ir_4825,group4,-0.5290140999999693,-0.9413829329189838,normal
group4_zn_4825,group4,-0.3039508399999846,-0.554531664443445,normal
group4_au_4826,group4,-0.3694887799999975,-0.6615608262997057,normal
group4_cu_4826,group4,-0.46022374999999727,-0.8200820532251214,normal
group4_ag_4826,group4,-0.3800928099999936,-0.7360572442293574,normal
group4_ru_4826,group4,-0.627278540000006,-1.0018279376647286,normal
group4_os_4826,group4,-0.6986260800000395,-1.0526789359699649,normal
group4_pd_4826,group4,-0.5960958700000134,-1.0322456759079444,normal
group4_pt_4826,group4,-0.5048617300000018,-0.9515366395292801,normal
group4_cd_4826,group4,-0.2752794000000023,-0.5600350484370438,normal
group4_rh_4826,group4,-0.5762447700000024,-1.0625843146281397,normal
group4_ni_4826,group4,-0.5895715899999772,-1.017064818324485,normal
group4_ir_4826,group4,-0.5495080199999478,-1.01308901209498,normal
group4_zn_4826,group4,-0.3083437499999917,-0.5522979170760038,normal
group4_au_4833,group4,-0.36642840000000376,-0.7100930385077362,normal
group4_cu_4833,group4,-0.3915000600000127,-0.8014578056172326,normal
group4_ag_4833,group4,-0.33546855000001585,-0.764475539744538,normal
group4_ru_4833,group4,-0.5429847300000148,-0.9521750267938529,normal
group4_os_4833,group4,-0.33288896000000534,-0.7310051813992828,normal
group4_pd_4833,group4,-0.506335290000024,-0.9635985714205759,normal
group4_pt_4833,group4,-0.431555959999983,-0.9304737887364496,normal
group4_cd_4833,group4,-0.2583650300000073,-0.5529737004028306,normal
group4_rh_4833,group4,-0.4144991499999975,-0.9295157005991115,normal
group4_ni_4833,group4,-0.45505372999998883,-1.018782900062675,normal
group4_ir_4833,group4,-0.3864888399999842,-0.8596911264247211,normal
group4_zn_4833,group4,-0.3001322500000043,-0.5685537006578585,normal
group4_au_4822,group4,-0.3164850500000256,-0.529643089360917,normal
group4_cu_4822,group4,-0.3625223099999886,-0.6965055351328147,normal
group4_ag_4822,group4,-0.33064817000000346,-0.6080121101292093,normal
group4_ru_4822,group4,-0.6249911499999854,-0.9558527023754948,normal
group4_os_4822,group4,-0.6937177600000979,-1.0237647972337243,normal
group4_pd_4822,group4,-0.5002313799999882,-0.8440805393704807,normal
group4_pt_4822,group4,-0.3912608800000186,-0.7243102659225826,normal
group4_cd_4822,group4,-0.24024957000001734,-0.5173608637383893,normal
group4_rh_4822,group4,-0.4870697800000272,-0.9189087957133495,normal
group4_ni_4822,group4,-0.47907505000002004,-0.7954537601635536,normal
group4_ir_4822,group4,-0.4393890399999947,-0.7849109220503294,normal
group4_zn_4822,group4,-0.26334649999999726,-0.4579307461233668,normal
group4_au_2422,group4,-0.22035771000000182,-0.3425927296470448,normal
group4_cu_2422,group4,-0.2795859699999994,-0.46787033377345466,normal
group4_ag_2422,group4,-0.2269006900000079,-0.42280873479541725,normal
group4_ru_2422,group4,-0.4509673900000166,-0.6520787571189217,normal
group4_os_2422,group4,-0.5680403200000796,-0.7408949636708613,normal
group4_pd_2422,group4,-0.3987790999999845,-0.6372303093755605,adsorbate_migration
group4_pt_2422,group4,-0.3196017199999801,-0.5434532709883584,normal
group4_cd_2422,group4,-0.1620432799999989,-0.36091648285107425,normal
group4_rh_2422,group4,-0.396050310000021,-0.6609483099260061,normal
group4_ni_2422,group4,-0.38937134999997625,-0.5475814099834011,normal
group4_ir_2422,group4,-0.41557068999998137,-0.6056600204616203,normal
group4_zn_2422,group4,-0.17285074999999495,-0.31373844462934386,normal
group4_au_1221,group4,-0.21242406000001424,-0.23712263672672762,normal
group4_cu_1221,group4,-0.2906173000000045,-0.3518866104226426,normal
group4_ag_1221,group4,-0.23400736000001743,-0.3175047404431872,normal
group4_ru_1221,group4,-0.46090783000002133,-0.5564017281615214,normal
group4_os_1221,group4,-0.5309121500000309,-0.5997998556675306,normal
group4_pd_1221,group4,-0.3776917499999932,-0.44019791031672995,normal
group4_pt_1221,group4,-0.33174527000002385,-0.38632736754266617,normal
group4_cd_1221,group4,-0.18155808999999934,-0.2725294897560282,normal
group4_rh_1221,group4,-0.40310495000002433,-0.5390021929753779,normal
group4_ni_1221,group4,-0.38864495999998994,-0.38765505434475145,normal
group4_ir_1221,group4,-0.3980921999999758,-0.4910193308137458,normal
group4_zn_1221,group4,-0.20429215999999073,-0.2509223645265628,normal
group4_au_2431,group4,-0.2727814200000154,-0.4226591250154925,normal
group4_cu_2431,group4,-0.3120609999999857,-0.5463797883039447,normal
group4_ag_2431,group4,-0.278092639999997,-0.4967012426274735,normal
group4_ru_2431,group4,-0.41665880999998706,-0.6445001397133368,normal
group4_os_2431,group4,-0.45086845000001574,-0.6745401041996004,normal
group4_pd_2431,group4,-0.40652251000001627,-0.6741016546474228,normal
group4_pt_2431,group4,-0.33736752000002923,-0.6265885485694369,normal
group4_cd_2431,group4,-0.21124141000000662,-0.41055257343654006,normal
group4_rh_2431,group4,-0.3821363499999819,-0.7084085065549246,normal
group4_ni_2431,group4,-0.37204790999997783,-0.6990866342280881,adsorbate_migration
group4_ir_2431,group4,-0.3388314199999485,-0.621372602312313,normal
group4_zn_2431,group4,-0.2323843199999942,-0.38387441183709115,normal
group4_au_1231,group4,-0.32084487000001616,-0.41243715835888395,normal
group4_cu_1231,group4,-0.48449810000001037,-0.5582959521921822,normal
group4_ag_1231,group4,-0.373069000000001,-0.5079109362178684,normal
group4_ru_1231,group4,-0.736402990000002,-0.8004775769669408,normal
group4_os_1231,group4,-0.8290126800000763,-0.838500315812766,normal
group4_pd_1231,group4,-0.6090985400000335,-0.6937608549365422,normal
group4_pt_1231,group4,-0.5301897100000161,-0.6413300222481979,normal
