Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
3611,0.4010622028386681,0.3148144819801669,0.5227854808850001,75.45634920634897,81.29101416852946,36.0,23.0,13.0,0,0,0,0
4811,0.4625483554044898,0.3827687783757305,0.6007348585516361,75.98639455782308,82.66312453392929,36.0,24.0,12.0,0,0,0,0
4411,0.1463367127295599,0.1327502081516832,0.3110142084020169,71.00340136054416,73.9793064876973,24.0,17.0,7.0,0,0,0,0
44S1,0.2011000143489478,0.2512381470025447,0.382102767588257,69.19642857142875,70.40268456375878,24.0,11.0,13.0,0,0,0,0
45N1,0.1340545043431375,0.1494771160479891,0.3097915707293992,70.85459183673478,77.07913870246094,24.0,17.0,7.0,0,0,0,0
4a11,0.3192821812450338,0.3027245603847873,0.5315001765365158,81.76020408163266,88.61717002237125,24.0,20.0,4.0,0,0,0,0
4a12,0.477293351849139,0.4312345611880034,0.6664929240536388,79.49404761904721,85.89485458613017,24.0,20.0,4.0,0,0,0,0
55N1,0.3002590495233122,0.362556405679744,0.3009433684689107,66.75595238095201,72.32662192393758,24.0,11.0,13.0,0,0,0,0
5601,0.149353775605908,0.1808426834839047,0.5111316705273415,68.1632653061225,70.00838926174488,24.0,13.0,11.0,0,0,0,0
6601,0.2899562253283238,0.2428096646702187,0.4465946648577355,71.92602040816334,80.08529082774203,24.0,15.0,9.0,0,0,0,0
6611,0.2656780042584676,0.370599462745119,0.4349598048096949,63.00354924578561,68.60957105339979,23.0,8.0,15.0,0,0,0,0
66S1,0.254288851450494,0.2299940020918747,0.4755270319926229,60.83024118738368,64.32580841976757,22.0,8.0,14.0,0,0,0,0
67N1,0.2415125880848411,0.2111311633878343,0.297729392355911,68.02875695732878,71.84106162294147,22.0,11.0,11.0,0,0,0,0
7801,0.2829669278457009,0.2983999518311198,0.4165756112256661,61.41465677179966,69.5271507016481,22.0,9.0,12.0,1,0,1,0
8a01,0.3724867180209179,0.4506404592828659,0.4212236690500736,55.51948051948052,60.28523489932853,22.0,3.0,19.0,0,0,0,0
8a02,0.3153911267952403,0.3583057793724984,0.695099536426143,64.00742115027806,68.16809029896386,22.0,7.0,15.0,0,0,0,0
8a03,0.3107360125013346,0.422661924766679,0.5041454721698154,57.52319109461952,63.53874313605852,22.0,4.0,18.0,0,0,0,0
