reaction,adsorbate,DFT,MLIP,classification
group4_au_4821,group4,-0.3483514500000098,-0.5590335849966976,normal
group4_cu_4821,group4,-0.4392407200000008,-0.6967263198159088,normal
group4_ag_4821,group4,-0.3623027900000153,-0.7496594105521552,normal
group4_ru_4821,group4,-0.6059101900000172,-0.831071134572241,normal
group4_os_4821,group4,-0.7066806500001093,-0.8618061795133798,normal
group4_pd_4821,group4,-0.5995977600000089,-0.8420306778938738,normal
group4_pt_4821,group4,-0.4909315899999882,-0.712347669080529,normal
group4_cd_4821,group4,-0.27153241000000605,-0.5299279427517121,normal
group4_rh_4821,group4,-0.5816467300000312,-0.8424313144623028,normal
group4_ni_4821,group4,-0.5926486399999789,-0.8842244387209774,normal
group4_ir_4821,group4,-0.5310203299999756,-0.8499138321273421,normal
group4_zn_4821,group4,-0.3030711400000001,-0.4646269437463246,normal
group4_au_4824,group4,-0.3282574600000032,-0.5821278708589119,normal
group4_cu_4824,group4,-0.37535341000000244,-0.6762539664971285,normal
group4_ag_4824,group4,-0.3286797700000079,-0.7551081659118921,normal
group4_ru_4824,group4,-0.4939953699999933,-0.7957939572887511,normal
group4_os_4824,group4,-0.5182410400000776,-0.7803603795826888,normal
group4_pd_4824,group4,-0.5124571099999855,-0.8406478445932493,normal
group4_pt_4824,group4,-0.41607740000000604,-0.699526523185213,normal
group4_cd_4824,group4,-0.2505780600000094,-0.5352986159399364,normal
group4_rh_4824,group4,-0.4705461099999866,-0.8202329633314633,normal
group4_ni_4824,group4,-0.4838654099999644,-0.8591621926526471,normal
group4_ir_4824,group4,-0.40490760000000137,-0.8322968527476036,adsorbate_migration
group4_zn_4824,group4,-0.27857296999999903,-0.44738765562310334,normal
group4_au_3631,group4,-0.3250232599999947,-0.5168694195475041,normal
group4_cu_3631,group4,-0.4721017399999994,-0.6700528935456873,normal
group4_ag_3631,group4,-0.3618035099999872,-0.7111517669829368,normal
group4_ru_3631,group4,-0.7418433000000277,-0.8805650717720823,normal
group4_os_3631,group4,-0.8482457800000702,-0.9304632146466361,normal
group4_pd_3631,group4,-0.5684687999999767,-0.8181241762238756,normal
group4_pt_3631,group4,-0.5208236799999781,-0.7475090623227629,normal
group4_cd_3631,group4,-0.25368682999999237,-0.523427818976927,normal
group4_rh_3631,group4,-0.6016898899999887,-0.8781073734976985,normal
group4_ni_3631,group4,-0.6781894499999908,-0.9173126251561712,normal
