Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
3611,0.4238592207879268,0.3895074890758988,0.9856669792739758,78.80385487528298,82.08799403430119,36.0,23.0,13.0,0,0,0,0
4811,0.4885533658204891,0.4646901120582321,1.0711254520044,78.97108843537382,83.34265473527003,36.0,24.0,12.0,0,0,0,0
4411,0.305335723201015,0.2559515533336438,0.7768538927960638,74.46853741496581,76.43176733780606,24.0,21.0,3.0,0,0,0,0
44S1,0.4814795041667719,0.4101441511325561,0.3922468166453517,73.50765306122452,70.23070469798579,24.0,10.0,14.0,0,0,0,0
45N1,0.2472026228449457,0.2496398854178771,0.3003623467902858,77.03656462585023,81.62891498881446,24.0,20.0,4.0,0,0,0,0
4a11,0.3672127918395513,0.3914888581710462,0.896894881729177,83.72448979591825,87.58249440715706,24.0,22.0,2.0,0,0,0,0
4a12,0.526513357421539,0.5310354235445388,1.092269118951024,81.56462585034053,86.1647091722597,24.0,20.0,4.0,0,0,0,0
55N1,0.3725915817221086,0.3492612802449549,0.3024804767642522,73.44812925170046,76.633109619686,24.0,14.0,9.0,1,0,1,0
5601,0.3028507546700983,0.3170776192376383,0.5309000813519512,72.47448979591859,72.71532438478718,24.0,16.0,8.0,0,0,0,0
6601,0.3832346797899338,0.3834056654711724,0.4859624139499677,78.29081632653075,84.1862416107394,24.0,21.0,3.0,0,0,0,0
6611,0.3439584976156361,0.2786240062118769,0.8558956618263053,64.2812777284825,68.6095710533992,23.0,7.0,16.0,0,0,0,0
66S1,0.4595405692587439,0.462874193297392,0.4527034928320484,67.30983302411867,69.4722391702265,22.0,9.0,13.0,0,0,0,0
67N1,0.3855628166955863,0.2772811608461865,0.3283537899193696,72.03617810760697,74.64765100671251,22.0,10.0,12.0,0,0,0,0
7801,0.2860578609108573,0.3221124798767663,0.3863988535142937,65.1994434137292,71.6092129347169,22.0,18.0,4.0,0,0,0,0
8a01,0.4442242691469057,0.327260611013538,0.3337544597244033,58.2189239332095,61.39109212934854,22.0,3.0,19.0,0,0,0,0
8a02,0.3178035865368801,0.3437821838026715,0.7519310615792653,68.14471243042637,70.79011592434536,22.0,7.0,15.0,0,0,0,0
8a03,0.3300587148007837,0.3231801921720745,0.4651455954604131,59.73562152133547,64.39749847467851,22.0,7.0,15.0,0,0,0,0
1211,0.1597843469448937,0.08179174099984822,1.087092351552846,81.09693877551003,80.03076062639785,12.0,7.0,5.0,0,0,0,0
1221,0.120003851322671,0.1067851700066514,5.527410979403252,84.53231292516979,89.24217002236973,12.0,11.0,1.0,0,0,0,0
1231,0.1434858878851101,0.1064497170682896,1.403929315032304,83.98809523809527,89.79026845637428,12.0,11.0,1.0,0,0,0,0
12S1,0.1979755270250614,0.2183114244089808,0.4040241540439779,85.28911564625862,91.83724832214774,12.0,10.0,0.0,2,0,2,0
