reaction,adsorbate,DFT,MLIP,classification
group4_au_4821,group4,-0.3483514500000098,-0.6091463871277938,normal
group4_cu_4821,group4,-0.4392407200000008,-0.7584629534447629,normal
group4_ag_4821,group4,-0.3623027900000153,-0.6482583731882698,normal
group4_ru_4821,group4,-0.6059101900000172,-0.9371700692025513,normal
group4_os_4821,group4,-0.7066806500001093,-0.9993524903665332,normal
group4_pd_4821,group4,-0.5995977600000089,-0.9222127430114426,normal
group4_pt_4821,group4,-0.4909315899999882,-0.8681298248227165,normal
group4_cd_4821,group4,-0.27153241000000605,-0.5446212383385927,normal
group4_rh_4821,group4,-0.5816467300000312,-0.9321967430625762,normal
group4_ni_4821,group4,-0.5926486399999789,-0.37808869824417,adsorbate_migration
group4_ir_4821,group4,-0.5310203299999756,-0.9284078625898076,normal
group4_zn_4821,group4,-0.3030711400000001,-0.5228468816853251,normal
group4_au_4824,group4,-0.3282574600000032,-0.6169950169260261,normal
group4_cu_4824,group4,-0.37535341000000244,-0.723271276634776,normal
group4_ag_4824,group4,-0.3286797700000079,-0.6408061999905357,normal
group4_ru_4824,group4,-0.4939953699999933,-0.8904539833234963,normal
group4_os_4824,group4,-0.5182410400000776,-0.8871335114417462,normal
group4_pd_4824,group4,-0.5124571099999855,-0.9337055253357818,normal
group4_pt_4824,group4,-0.41607740000000604,-0.8660117182151481,normal
group4_cd_4824,group4,-0.2505780600000094,-0.5422742655324271,normal
group4_rh_4824,group4,-0.4705461099999866,-0.9013461014510682,normal
group4_ni_4824,group4,-0.4838654099999644,-0.38230632772116735,adsorbate_migration
group4_ir_4824,group4,-0.40490760000000137,-0.8388025275852584,normal
group4_zn_4824,group4,-0.27857296999999903,-0.49238291488966013,normal
group4_au_3631,group4,-0.3250232599999947,-0.5338136785395022,normal
group4_cu_3631,group4,-0.4721017399999994,-0.6737342822031849,normal
group4_ag_3631,group4,-0.3618035099999872,-0.5845307519383596,normal
group4_ru_3631,group4,-0.7418433000000277,-0.9432405263421799,normal
group4_os_3631,group4,-0.8482457800000702,-0.9895512955760921,normal
group4_pd_3631,group4,-0.5684687999999767,-0.8453880319264329,normal
group4_pt_3631,group4,-0.5208236799999781,-0.8595505977896494,normal
group4_cd_3631,group4,-0.25368682999999237,-0.5048207639560616,normal
group4_rh_3631,group4,-0.6016898899999887,-0.8949252672235559,normal
group4_ni_3631,group4,-0.6781894499999908,-0.20007175542500022,adsorbate_migration
