reaction,adsorbate,DFT,MLIP,classification
group4_au_4821,group4,-0.3483514500000098,-0.8965165909266233,unphysical_relaxation
group4_cu_4821,group4,-0.4392407200000008,-1.143282224219874,normal
group4_ag_4821,group4,-0.3623027900000153,-0.936197188882872,unphysical_relaxation
group4_ru_4821,group4,-0.6059101900000172,-1.2560770639070569,adsorbate_migration
group4_os_4821,group4,-0.7066806500001093,-1.5538446295534385,adsorbate_migration
group4_pd_4821,group4,-0.5995977600000089,-1.351107484266251,normal
group4_pt_4821,group4,-0.4909315899999882,-1.3002498521270667,normal
group4_cd_4821,group4,-0.27153241000000605,-0.2920442212100056,unphysical_relaxation
group4_rh_4821,group4,-0.5816467300000312,-1.2627774878484814,normal
group4_ni_4821,group4,-0.5926486399999789,-1.3022612863206149,adsorbate_migration
group4_ir_4821,group4,-0.5310203299999756,-1.3564644257682374,normal
group4_zn_4821,group4,-0.3030711400000001,-0.3613350570997653,unphysical_relaxation
group4_au_4824,group4,-0.3282574600000032,-0.8424785642945665,unphysical_relaxation
group4_cu_4824,group4,-0.37535341000000244,-1.0628040612164966,adsorbate_migration
group4_ag_4824,group4,-0.3286797700000079,-0.9375369152610631,adsorbate_migration
group4_ru_4824,group4,-0.4939953699999933,-1.0364689700087695,normal
group4_os_4824,group4,-0.5182410400000776,-1.4427194344010843,adsorbate_migration
group4_pd_4824,group4,-0.5124571099999855,-1.2722020577396904,adsorbate_migration
group4_pt_4824,group4,-0.41607740000000604,-1.2090134391154095,adsorbate_migration
group4_cd_4824,group4,-0.2505780600000094,-0.30822322334499574,unphysical_relaxation
group4_rh_4824,group4,-0.4705461099999866,-1.1392127286277685,normal
group4_ni_4824,group4,-0.4838654099999644,-1.160619644007653,normal
group4_ir_4824,group4,-0.40490760000000137,-1.390163250368829,adsorbate_migration
group4_zn_4824,group4,-0.27857296999999903,-0.46330839444348726,unphysical_relaxation
group4_au_3631,group4,-0.3250232599999947,-0.7333983053956956,unphysical_relaxation
group4_cu_3631,group4,-0.4721017399999994,-0.9197330136136941,normal
group4_ag_3631,group4,-0.3618035099999872,-0.7824149239214933,unphysical_relaxation
group4_ru_3631,group4,-0.7418433000000277,-1.07049785906284,normal
group4_os_3631,group4,-0.8482457800000702,-1.252014062036352,normal
group4_pd_3631,group4,-0.5684687999999767,-1.224658778602958,adsorbate_migration
group4_pt_3631,group4,-0.5208236799999781,-1.2364923200813962,adsorbate_migration
group4_cd_3631,group4,-0.25368682999999237,-0.49922895730553307,unphysical_relaxation
group4_rh_3631,group4,-0.6016898899999887,-1.2209823266566957,adsorbate_migration
group4_ni_3631,group4,-0.6781894499999908,-1.0747163817111698,normal
group4_ir_3631,group4,-0.6808516999999483,-1.1427710215968148,normal
group4_zn_3631,group4,-0.3013657199999926,-0.48661059481688085,unphysical_relaxation
group4_au_3632,group4,-0.3100476600000093,-0.8008887772153344,unphysical_relaxation
group4_cu_3632,group4,-0.38267573999999627,-1.0301072477529374,normal
group4_ag_3632,group4,-0.32335607000001687,-0.8556909009268452,unphysical_relaxation
group4_ru_3632,group4,-0.4813210599999991,-1.1008918803433971,adsorbate_migration
group4_os_3632,group4,-0.4830935000000238,-1.2335568046178196,normal
group4_pd_3632,group4,-0.5148818499999948,-1.2334406150598056,normal
group4_pt_3632,group4,-0.4023839400000213,-1.184117664702967,normal
group4_cd_3632,group4,-0.2339576500000078,-0.2846637174253459,unphysical_relaxation
group4_rh_3632,group4,-0.4658830200000068,-1.1629971565762958,normal
group4_ni_3632,group4,-0.48456361999998876,-1.1727828874106763,normal
group4_ir_3632,group4,-0.39165908999999033,-1.183638725490141,normal
group4_zn_3632,group4,-0.2587814399999928,-0.4585373111085005,unphysical_relaxation
group4_au_3623,group4,-0.29180686000002254,-0.6972630707532446,unphysical_relaxation
group4_cu_3623,group4,-0.39972816999998884,-0.8776083709228075,normal
group4_ag_3623,group4,-0.32320654000001525,-0.7462799065087822,unphysical_relaxation
group4_ru_3623,group4,-0.5971006000000187,-1.1390554838844693,adsorbate_migration
group4_os_3623,group4,-0.6793865400000385,-1.1944969754214227,normal
group4_pd_3623,group4,-0.5066058200000185,-1.2088752990960003,adsorbate_migration
group4_pt_3623,group4,-0.43841575000003274,-1.0391040548100179,normal
group4_cd_3623,group4,-0.22600254999999692,-0.44208621055077657,unphysical_relaxation
group4_rh_3623,group4,-0.5207477100000091,-1.0781790916653264,adsorbate_migration
group4_ni_3623,group4,-0.5315538699999678,-1.1587875543239008,adsorbate_migration
group4_ir_3623,group4,-0.519125399999993,-1.0706078049292884,normal
group4_zn_3623,group4,-0.24841854000000296,-0.43208688462367917,unphysical_relaxation
group4_au_4832,group4,-0.3518741799999958,-0.9080238601843433,unphysical_relaxation
group4_cu_4832,group4,-0.4187342199999904,-1.1470362223137016,adsorbate_migration
group4_ag_4832,group4,-0.35811597000001427,-0.9788923879498128,unphysical_relaxation
group4_ru_4832,group4,-0.5129663400000055,-1.092761621111194,normal
group4_os_4832,group4,-0.5689272700000885,-1.3258510698903905,adsorbate_migration
group4_pd_4832,group4,-0.5258670300000148,-1.3139036581645627,normal
group4_pt_4832,group4,-0.43418928000001245,-1.344108762353173,adsorbate_migration
group4_cd_4832,group4,-0.2663437800000139,-0.5490607738629478,unphysical_relaxation
group4_rh_4832,group4,-0.48938549000003206,-1.206045985786531,normal
group4_ni_4832,group4,-0.5013948400000032,-1.3447735723687373,adsorbate_migration
group4_ir_4832,group4,-0.46092462999997963,-1.3095216799419944,adsorbate_migration
group4_zn_4832,group4,-0.297695939999997,-0.42040468754321125,unphysical_relaxation
group4_au_3622,group4,-0.2893358800000101,-0.7347168368243402,unphysical_relaxation
group4_cu_3622,group4,-0.33039152000000627,-0.929342109642711,adsorbate_migration
group4_ag_3622,group4,-0.2801272100000176,-0.7513365692023299,unphysical_relaxation
group4_ru_3622,group4,-0.48162670000002095,-1.1409389427109673,adsorbate_migration
group4_os_3622,group4,-0.5369041400000185,-1.3384208377431506,adsorbate_migration
group4_pd_3622,group4,-0.4660131400000296,-1.2757690129033463,adsorbate_migration
group4_pt_3622,group4,-0.38105405000001724,-1.1330468095048687,normal
group4_cd_3622,group4,-0.21178871999999416,-0.4324907782059526,unphysical_relaxation
group4_rh_3622,group4,-0.45169623000001025,-1.1637255912123479,adsorbate_migration
group4_ni_3622,group4,-0.4463971599999752,-1.107202141866459,adsorbate_migration
group4_ir_3622,group4,-0.42195677999998793,-1.275274167883289,adsorbate_migration
group4_zn_3622,group4,-0.2307835599999919,-0.4173991756082742,unphysical_relaxation
group4_au_4831,group4,-0.4213347600000077,-1.0849568088707997,unphysical_relaxation
group4_cu_4831,group4,-0.5497517700000003,-1.4002880778564304,adsorbate_migration
group4_ag_4831,group4,-0.4322106400000223,-1.1819349043881289,unphysical_relaxation
group4_ru_4831,group4,-0.8529759699999886,-1.4519402491942515,adsorbate_migration
group4_os_4831,group4,-0.9695679400000472,-1.7150822716849348,adsorbate_migration
group4_pd_4831,group4,-0.6799110500000154,-1.715133041151205,adsorbate_migration
group4_pt_4831,group4,-0.599083520000022,-1.6807702472550545,adsorbate_migration
group4_cd_4831,group4,-0.3155230700000118,-0.6161302442534264,unphysical_relaxation
group4_rh_4831,group4,-0.6879529100000354,-1.5791617377074658,adsorbate_migration
group4_ni_4831,group4,-0.8221368899999675,-1.5389580136582026,adsorbate_migration
group4_ir_4831,group4,-0.8074686599999836,-1.6327972652597396,adsorbate_migration
group4_zn_4831,group4,-0.366940790000001,-0.6357835634200342,unphysical_relaxation
group4_au_4825,group4,-0.3718209700000017,-0.9029014756195295,unphysical_relaxation
group4_cu_4825,group4,-0.4442520799999983,-1.1109818430322491,adsorbate_migration
group4_ag_4825,group4,-0.37052111999999227,-0.9264989159632648,unphysical_relaxation
group4_ru_4825,group4,-0.596257389999991,-1.3894886402078157,adsorbate_migration
group4_os_4825,group4,-0.741138810000038,-1.338655727731549,normal
group4_pd_4825,group4,-0.5734852300000313,-1.3835432916850152,normal
group4_pt_4825,group4,-0.48925898999998196,-1.3708796813217816,normal
group4_cd_4825,group4,-0.27536066999998354,-0.5465416436410777,unphysical_relaxation
group4_rh_4825,group4,-0.5563810299999972,-1.4067132473251434,adsorbate_migration
group4_ni_4825,group4,-0.5668141699999723,-1.3505764590908313,adsorbate_migration
