Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
3611,0.4410763549525072,0.4326035694690438,0.8556887256348961,72.07482993197245,78.84601043997061,36.0,25.0,11.0,0,0,0,0
4811,0.5303319949122497,0.5206725451323752,0.949738429161993,72.11451247165502,79.36614466815719,36.0,25.0,11.0,0,0,0,0
4411,0.3052325810529191,0.2357874379874048,0.5543189912018048,68.45238095238062,74.35822147650953,24.0,20.0,4.0,0,0,0,0
44S1,0.5463067850170672,0.4140050551660181,0.4369984795213118,66.65391156462593,67.28327740492166,24.0,10.0,14.0,0,0,0,0
45N1,0.2932207650760533,0.324609717940428,0.3612288275737268,70.56122448979589,78.82829977628633,24.0,20.0,4.0,0,0,0,0
4a11,0.4201967880603501,0.4334121102474985,0.8110850234925499,78.20578231292494,85.54530201342125,24.0,22.0,2.0,0,0,0,0
4a12,0.5611252117456633,0.5646490993174581,0.9589567483358366,74.56632653061236,82.6719798657713,24.0,20.0,4.0,0,0,0,0
55N1,0.4207288485387182,0.3695825646111767,0.4019003558890333,68.52891156462589,75.64177852348995,24.0,15.0,8.0,1,0,1,0
5601,0.3024559476721294,0.3295120945714151,0.553305780844863,67.00255102040813,71.6904362416096,24.0,15.0,9.0,0,0,0,0
6601,0.488971577459034,0.471489796513304,0.616701886971826,75.51445578231309,84.54418344519131,24.0,22.0,2.0,0,0,0,0
6611,0.4347108707401623,0.4451763693521418,0.7017519489420632,62.3513753327418,69.45433323606693,23.0,8.0,15.0,0,0,0,0
66S1,0.5480740775600647,0.4918329354408841,0.5170877462501835,63.2467532467532,69.03752287980502,22.0,9.0,13.0,0,0,0,0
67N1,0.418676669162773,0.4706143260100942,0.4592299037869003,68.30705009276477,75.35539963392416,22.0,12.0,10.0,0,0,0,0
7801,0.3904240094604435,0.4161820993408476,0.5143521438767933,62.41187384044528,72.56711409396016,22.0,16.0,4.0,2,0,2,0
8a01,0.561333437764591,0.5702005120525718,0.5120170137161776,61.13636363636332,68.07352043929124,22.0,9.0,13.0,0,0,0,0
8a02,0.4728648945387564,0.557238364327684,0.8160422234621905,65.1159554730981,71.99054301403423,22.0,11.0,11.0,0,0,0,0
8a03,0.486571859679308,0.6290066990856028,0.6024023908631684,61.89239332096463,68.52501525320284,22.0,9.0,13.0,0,0,0,0
1211,0.1841560792818271,0.1113646269637467,0.795964996909659,75.05952380952375,79.69519015659935,12.0,8.0,4.0,0,0,0,0
1221,0.1319226848497106,0.1200337182119252,5.113947523484328,77.27891156462572,85.29362416107229,12.0,11.0,1.0,0,0,0,0
1231,0.1534587520017248,0.1188510844230848,0.9691766953872172,75.72278911564611,85.75782997762695,12.0,11.0,1.0,0,0,0,0
12S1,0.1672411704414406,0.1764865228189421,0.4385237836748803,76.76870748299339,86.70302013422797,12.0,10.0,0.0,2,0,2,0
13N1,0.1699616981941106,0.1709403876496346,0.3749587327655615,76.938775510204,84.86856823266142,12.0,10.0,2.0,0,0,0,0
13X1,0.2365285046672003,0.1617589734097875,1.032391332777238,74.4642857142857,79.29250559284047,12.0,9.0,3.0,0,0,0,0
13Y1,0.2007172381746939,0.1405965226092869,0.6993867160704598,73.57993197278887,81.0542505592849,12.0,8.0,3.0,1,0,1,0
13_1,0.16616041421478,0.1376012680114914,0.8546316579271013,76.77721088435331,85.73266219239207,12.0,11.0,1.0,0,0,0,0
14S1,0.2144901509175933,0.2144901509175933,0.4428257202749375,79.83843537414965,89.69798657718121,12.0,12.0,0.0,0,0,0,0
14Z1,0.2427219875117282,0.2052743037085634,0.785877223549751,76.9642857142856,86.81767337807675,12.0,11.0,1.0,0,0,0,0
15N1,0.1055566508270006,0.1055566508270006,0.3187792800337418,79.32823129251693,90.17058165548097,12.0,12.0,0.0,0,0,0,0
2201,0.3191177200613661,0.2347492227417273,0.4139396136645459,71.59013605442172,71.42897091722666,12.0,7.0,5.0,0,0,0,0
2401,0.1478981498990214,0.1478981498990214,0.3457408615123405,79.77891156462584,89.27293064876959,12.0,12.0,0.0,0,0,0,0
2411,0.234680148001886,0.1918480400525395,0.8732242779053951,73.04421768707469,77.81599552572575,12.0,9.0,3.0,0,0,0,0
2421,0.2327266042867115,0.2032712255041357,0.8584260896446908,75.31462585033967,81.96029082773903,12.0,9.0,3.0,0,0,0,0
2422,0.2393570273040767,0.2220948454650614,0.8417133744768126,73.98809523809489,80.71868008948488,12.0,9.0,3.0,0,0,0,0
2431,0.27674486803421,0.2755107010971735,0.9890577844269514,73.74149659863917,80.90883668903626,12.0,10.0,2.0,0,0,0,0
