Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
3611,0.4087242037787714,0.3678207198225613,1.007481435021394,77.51700680272101,81.63217747949166,36.0,23.0,13.0,0,0,0,0
4811,0.4708871201121612,0.4476149514813904,1.091783412086895,77.47448979591779,82.1868008948523,36.0,25.0,11.0,0,0,0,0
4411,0.266853793533094,0.215747581362206,0.7893401212071721,72.7253401360542,74.97203579418205,24.0,20.0,4.0,0,0,0,0
44S1,0.4257708838014149,0.3938294931857847,0.3812728849464146,72.42346938775499,69.95385906040272,24.0,10.0,14.0,0,0,0,0
45N1,0.2217115686590745,0.1898988425879621,0.2899701529972016,74.4387755102042,78.8828299776298,24.0,19.0,5.0,0,0,0,0
4a11,0.340106781662192,0.3490298299508178,0.9083669476895473,81.61989795918346,85.77880313198919,24.0,21.0,3.0,0,0,0,0
4a12,0.4954485006780007,0.497439620888818,1.098512813063933,79.78316326530641,84.95805369127547,24.0,20.0,4.0,0,0,0,0
55N1,0.3148675871651143,0.303935193061046,0.2791332526085324,73.98384353741515,77.52097315436286,24.0,15.0,9.0,0,0,0,0
5601,0.252266221278975,0.2675709239208901,0.5125803257145147,71.48384353741504,71.73378076062635,24.0,16.0,8.0,0,0,0,0
6601,0.3389063427545456,0.3383619089591089,0.4814338031441044,76.62840136054437,83.12919463087346,24.0,21.0,3.0,0,0,0,0
6611,0.3105544518219617,0.3114513756816365,0.8695935988334462,60.43921916592696,64.51707032389852,23.0,5.0,18.0,0,0,0,0
66S1,0.4079041804424512,0.3794485600848034,0.4412854037531211,63.58070500927613,66.13331299572839,22.0,8.0,14.0,0,0,0,0
67N1,0.3420536244255588,0.2367713335213815,0.3046562504217796,70.61224489795944,73.72940817571842,22.0,11.0,11.0,0,0,0,0
7801,0.2379636570889571,0.2625079638163462,0.3671884875745002,63.93784786641933,71.13178767541274,22.0,17.0,5.0,0,0,0,0
8a01,0.3682345427568379,0.3079142095491013,0.3159439589773647,58.23283858998138,61.8502135448442,22.0,3.0,19.0,0,0,0,0
8a02,0.2521502762601722,0.2797478527813532,0.7299438402988998,66.89239332096433,70.24710189139823,22.0,7.0,15.0,0,0,0,0
8a03,0.2628440391475276,0.267605176818433,0.4525397141176626,58.39053803339474,63.34655277608197,22.0,7.0,15.0,0,0,0,0
1211,0.1452189155090432,0.07094819657658984,1.094533229159785,78.31632653061197,75.83053691275137,12.0,6.0,6.0,0,0,0,0
1221,0.083016201475834,0.06553211145866426,5.550950535274862,83.26530612244865,88.62136465324214,12.0,11.0,1.0,0,0,0,0
1231,0.1015738001365616,0.0593155799893575,1.413608789706985,83.05272108843532,89.42114093959567,12.0,11.0,1.0,0,0,0,0
12S1,0.1852094582715965,0.1995031436995994,0.4363340072666275,83.85204081632656,90.69351230425055,12.0,10.0,0.0,2,0,2,0
13N1,0.1694456728776726,0.1441310452223107,0.3336622194165102,84.07312925170075,87.42449664429415,12.0,10.0,2.0,0,0,0,0
13X1,0.1662728284284084,0.147828250207035,1.319399779832755,82.91666666666653,86.27516778523439,12.0,10.0,2.0,0,0,0,0
13Y1,0.2030660456499541,0.111681990469579,0.9842446068889265,80.47619047619038,84.41275167785001,12.0,9.0,3.0,0,0,0,0
13_1,0.1192013610686538,0.09004539357349793,1.145330190864861,83.04421768707465,89.3624161073809,12.0,11.0,1.0,0,0,0,0
14S1,0.2025706857316454,0.2025706857316454,0.4013165791893698,86.85374149659872,93.44239373601788,12.0,12.0,0.0,0,0,0,0
14Z1,0.2422916531489066,0.2111946585773791,0.8273628693173359,83.23129251700679,88.71644295301883,12.0,11.0,1.0,0,0,0,0
15N1,0.1439980974558749,0.1439980974558749,0.3583895727425481,86.2074829931973,93.39765100671138,12.0,12.0,0.0,0,0,0,0
2201,0.1424805755801965,0.1494394391640324,0.4164713282564663,77.5340136054422,73.06767337807474,12.0,8.0,4.0,0,0,0,0
2401,0.1037709163676386,0.1037709163676386,0.2904241124930801,86.00340136054426,92.3378076062639,12.0,12.0,0.0,0,0,0,0
2411,0.2065902271497269,0.1731681727714063,1.256034034938246,77.61054421768699,76.61073825503476,12.0,9.0,3.0,0,0,0,0
2421,0.176742109570568,0.1676754605975878,1.139928027743833,81.2499999999998,85.53970917225742,12.0,11.0,1.0,0,0,0,0
2422,0.1680140702237546,0.1577566039252037,1.130825009114345,82.90816326530606,89.46029082773885,12.0,11.0,1.0,0,0,0,0
2431,0.1846479412532916,0.1810234392302603,1.397397749141027,80.90136054421761,86.03187919462935,12.0,11.0,1.0,0,0,0,0
24S1,0.2529551475853674,0.2529551475853674,0.4922817741748655,84.15816326530606,91.45693512304265,12.0,12.0,0.0,0,0,0,0
25N1,0.1972648025894058,0.2166358710615512,0.4079437782750095,83.37585034013607,90.96196868008977,12.0,10.0,0.0,2,0,2,0
25N2,0.1591989061620769,0.1591989061620769,0.4507574323981037,86.77721088435385,93.12919463087249,12.0,12.0,0.0,0,0,0,0
25X1,0.2507844721464216,0.2157512823583836,0.7632496202851241,81.76870748299292,85.51733780760604,12.0,10.0,2.0,0,0,0,0
25X2,0.1882918263978481,0.1564281787816642,1.108082394401908,82.73809523809516,89.46029082773885,12.0,11.0,1.0,0,0,0,0
25Y1,0.1757000936299769,0.1196142007939736,0.794271160815074,82.63605442176846,88.60738255033385,12.0,11.0,1.0,0,0,0,0
25Y2,0.2222569231547649,0.1625024862395897,1.011345552205356,81.46258503401353,86.82885906040113,12.0,10.0,2.0,0,0,0,0
25_1,0.2105911706589018,0.2101479493593323,1.400718582811444,81.52210884353708,85.17617449664272,12.0,11.0,1.0,0,0,0,0
25_2,0.2085499146891797,0.1882292619517304,1.16010367985815,82.55102040816321,88.833892617448,12.0,11.0,1.0,0,0,0,0
2601,0.1217618830209262,0.13574046773281,0.2319532211999954,76.26700680272111,77.94463087248316,12.0,8.0,4.0,0,0,0,0
2611,0.1503237724539203,0.1614674791479949,0.6618432107238968,82.61054421768685,86.15492170022253,12.0,10.0,2.0,0,0,0,0
2612,0.1741738100401241,0.154424126005478,0.5960598730746204,74.36224489795916,70.32718120805337,12.0,6.0,6.0,0,0,0,0
26S1,0.2856395430175471,0.2856395430175471,0.5003394543348479,86.60714285714293,92.70413870246087,12.0,12.0,0.0,0,0,0,0
26S2,0.2517246100625249,0.2517246100625249,0.4436225508082169,87.20238095238105,93.8506711409396,12.0,12.0,0.0,0,0,0,0
26Z1,0.2011161035534782,0.2011161035534782,0.4113600971288172,85.46768707482993,93.18791946308723,12.0,12.0,0.0,0,0,0,0
26Z2,0.1781708817337163,0.1781708817337163,0.4340572003591016,85.75680272108846,92.97818791946307,12.0,12.0,0.0,0,0,0,0
26Z3,0.4174894857078488,0.2899877007114877,0.5431697071756135,79.43877551020381,82.02460850112037,12.0,9.0,3.0,0,0,0,0
26Z4,0.2784884834636798,0.1943937455336698,0.3592527009135698,74.80442176870777,79.69519015660057,12.0,9.0,3.0,0,0,0,0
27N1,0.2103521478384251,0.2103521478384251,0.4180377560187765,85.99489795918376,92.69574944071587,12.0,12.0,0.0,0,0,0,0
27N2,0.1657267401398782,0.1657267401398782,0.3835675671772864,86.13945578231301,93.17114093959732,12.0,12.0,0.0,0,0,0,0
3401,0.1736922785821585,0.1738561073113445,0.3000107469931486,61.58163265306105,54.71756152125308,12.0,1.0,10.0,1,0,1,0
3601,0.137202196937702,0.1322539897733705,0.2939067467295224,79.58333333333323,76.80369127516747,12.0,5.0,7.0,0,0,0,0
3621,0.2224880479601771,0.2205963647669038,1.433652968501931,81.87074829931932,86.14653243847654,12.0,11.0,1.0,0,0,0,0
3622,0.2524488127446632,0.2492173093678522,1.267779145838152,82.2448979591833,87.5167785234882,12.0,11.0,1.0,0,0,0,0
3623,0.2311071410278682,0.2189921312815173,1.470549850337701,81.96428571428567,87.62863534675436,12.0,11.0,1.0,0,0,0,0
3631,0.2061956547594181,0.1796629774440313,1.411478215755834,83.57142857142853,89.31487695749276,12.0,11.0,1.0,0,0,0,0
3632,0.2763365329328273,0.2726727897967139,1.274505825549119,83.76700680272104,89.67561521252631,12.0,11.0,1.0,0,0,0,0
36S1,0.3263120403014164,0.3708530940840546,0.5518809740331321,83.22278911564624,89.86297539149899,12.0,10.0,0.0,2,0,2,0
36S2,0.2963755160721468,0.2963755160721468,0.5120994705734697,83.75850340136053,91.19686800894867,12.0,12.0,0.0,0,0,0,0
37N1,0.1783144077263904,0.1783144077263904,0.3931081316974551,86.76020408163274,93.17953020134229,12.0,12.0,0.0,0,0,0,0
37N2,0.2152310500884204,0.2152310500884204,0.5100722005153742,86.6156462585035,92.90268456375838,12.0,12.0,0.0,0,0,0,0
37N3,0.2444757432285088,0.2444757432285088,0.9254626661477161,86.43707482993204,92.44127516778524,12.0,12.0,0.0,0,0,0,0
37N4,0.2776667810553371,0.3105277690579299,1.13505711144004,82.91666666666674,90.73266219239386,12.0,10.0,0.0,2,0,2,0
37N5,0.2219690792343799,0.2219690792343799,0.7289767530187715,86.20748299319735,92.7125279642058,12.0,12.0,0.0,0,0,0,0
37X1,0.2761732689452974,0.2823829205797727,1.230806330702633,83.82653061224482,87.17281879194469,12.0,11.0,1.0,0,0,0,0
37X2,0.2213153981197351,0.204955383699274,1.140491946641755,83.50340136054386,89.24217002236969,12.0,11.0,1.0,0,0,0,0
37X3,0.2989504443311735,0.2987967823460348,1.246247500198211,82.81462585033975,88.39765100670967,12.0,11.0,1.0,0,0,0,0
37X4,0.3270973421681707,0.2753717875351767,0.8421944682969963,78.9965986394558,81.82046979865856,12.0,9.0,3.0,0,0,0,0
37Y1,0.3029854037436953,0.2814200393252251,1.132786459831054,82.52551020408158,88.2829977628618,12.0,11.0,1.0,0,0,0,0
37Y2,0.2305544273576044,0.1963303355421624,3.347745357706395,81.547619047619,87.12248322147475,12.0,11.0,1.0,0,0,0,0
37Y3,0.4568130733612558,0.2148000071906782,1.07164940427741,77.50850340136068,81.28635346756293,12.0,9.0,3.0,0,0,0,0
37_1,0.2669920459993591,0.2348694652957216,1.473245047292802,82.82312925170027,87.35178970917073,12.0,11.0,1.0,0,0,0,0
37_2,0.2934964503766165,0.255584131096516,1.248604464481713,84.2346938775507,89.21420581655315,12.0,11.0,1.0,0,0,0,0
37_3,0.3013231411490954,0.305027464800459,1.637572448645886,81.29251700680265,86.37863534675446,12.0,11.0,1.0,0,0,0,0
37_4,0.3242025201110093,0.3188834120754261,1.13161025807617,81.6751700680271,86.40380313198945,12.0,11.0,1.0,0,0,0,0
3801,0.161195036796005,0.1880487312466812,0.1897314549448706,74.24319727891157,69.49105145413849,12.0,2.0,10.0,0,0,0,0
3811,0.1936360631423136,0.1861482386415297,0.7987710720948478,81.34353741496557,85.35794183445057,12.0,10.0,2.0,0,0,0,0
3812,0.1883784056439103,0.2182893163083847,0.8971707310314798,73.67346938775522,74.02964205816701,12.0,5.0,7.0,0,0,0,0
3813,0.2158726639907046,0.2127267040072047,0.9194014722768795,79.2857142857142,81.70022371364485,12.0,11.0,1.0,0,0,0,0
38S1,0.3352345596954098,0.3352345596954098,0.5549816889973739,86.81972789115657,92.3489932885906,12.0,12.0,0.0,0,0,0,0
38S2,0.298920891316112,0.298920891316112,0.5288249992259644,86.66666666666677,92.78523489932886,12.0,12.0,0.0,0,0,0,0
38S3,0.3221982718247585,0.3221982718247585,0.5168321284051961,87.2108843537416,93.75279642058165,12.0,12.0,0.0,0,0,0,0
38Z1,0.3535401407649026,0.3186865354263169,0.5366770399782202,84.82142857142857,90.87807606263986,12.0,11.0,1.0,0,0,0,0
38Z2,0.2365940568290365,0.2365940568290365,0.516750043734658,86.08843537414974,93.09004474272932,12.0,12.0,0.0,0,0,0,0
38Z3,0.2837207413229213,0.2837207413229213,0.525141788789707,85.55272108843535,92.56711409395967,12.0,12.0,0.0,0,0,0,0
38Z4,0.3116820406719256,0.3342080470622141,0.4999352165895867,82.26190476190484,90.0531319910515,12.0,11.0,0.0,1,0,1,0
38Z5,0.3594562792396457,0.3594562792396457,0.5805873815832795,84.812925170068,91.83445190156594,12.0,12.0,0.0,0,0,0,0
38Z6,0.2696533320802921,0.2696533320802921,0.5053282568951379,85.9863945578232,92.04977628635343,12.0,12.0,0.0,0,0,0,0
38Z7,0.3022060627683096,0.3022060627683096,0.512797958090862,82.7295918367347,87.58389261744972,12.0,12.0,0.0,0,0,0,0
38Z8,0.2773024314523755,0.2729348112646077,0.5470421894711291,85.35714285714278,90.45581655480946,12.0,11.0,1.0,0,0,0,0
38Z9,0.3363213866252319,0.3363213866252319,0.5185979413889411,82.74659863945577,90.37192393736046,12.0,12.0,0.0,0,0,0,0
38Za,0.2556530921107883,0.2556530921107883,0.4649049829373257,85.25510204081627,92.40771812080536,12.0,12.0,0.0,0,0,0,0
39N1,0.2609491140383315,0.2609491140383315,0.4783671964432041,86.35204081632662,92.76006711409396,12.0,12.0,0.0,0,0,0,0
39N2,0.2572602547167892,0.2572602547167892,0.4730742929968995,86.38605442176878,93.0648769574944,12.0,12.0,0.0,0,0,0,0
39N3,0.2453266905970383,0.2453266905970383,0.4632872791574781,85.6037414965987,92.23713646532437,12.0,12.0,0.0,0,0,0,0
