reaction,adsorbate,DFT,MLIP,classification
group4_au_4821,group4,-0.3483514500000098,-0.8586868566171546,unphysical_relaxation
group4_cu_4821,group4,-0.4392407200000008,-1.0719056655353114,adsorbate_migration
group4_ag_4821,group4,-0.3623027900000153,-0.8212150933515687,unphysical_relaxation
group4_ru_4821,group4,-0.6059101900000172,-1.3096249069259187,adsorbate_migration
group4_os_4821,group4,-0.7066806500001093,-1.4423765380532672,normal
group4_pd_4821,group4,-0.5995977600000089,-1.3266143901886807,normal
group4_pt_4821,group4,-0.4909315899999882,-1.2113268020276422,normal
group4_cd_4821,group4,-0.27153241000000605,-0.3308671628850135,unphysical_relaxation
group4_rh_4821,group4,-0.5816467300000312,-1.2235535494214531,normal
group4_ni_4821,group4,-0.5926486399999789,-1.1464479276677224,normal
group4_ir_4821,group4,-0.5310203299999756,-1.0611186058587094,normal
group4_zn_4821,group4,-0.3030711400000001,-0.09247797484395903,unphysical_relaxation
group4_au_4824,group4,-0.3282574600000032,-0.7760828778828142,unphysical_relaxation
group4_cu_4824,group4,-0.37535341000000244,-0.9251745119718322,adsorbate_migration
group4_ag_4824,group4,-0.3286797700000079,-0.7211118010936701,normal
group4_ru_4824,group4,-0.4939953699999933,-1.0287336121785557,normal
group4_os_4824,group4,-0.5182410400000776,-1.3104801631975107,adsorbate_migration
group4_pd_4824,group4,-0.5124571099999855,-1.1698008079010975,adsorbate_migration
group4_pt_4824,group4,-0.41607740000000604,-1.0314125301934638,normal
group4_cd_4824,group4,-0.2505780600000094,-0.3096637518482481,unphysical_relaxation
group4_rh_4824,group4,-0.4705461099999866,-0.9797791252930921,normal
group4_ni_4824,group4,-0.4838654099999644,-0.9638677574667582,normal
group4_ir_4824,group4,-0.40490760000000137,-0.991133119132499,adsorbate_migration
group4_zn_4824,group4,-0.27857296999999903,-0.0549454337702997,unphysical_relaxation
group4_au_3631,group4,-0.3250232599999947,-0.7121179030681475,unphysical_relaxation
group4_cu_3631,group4,-0.4721017399999994,-0.8609799820255404,normal
group4_ag_3631,group4,-0.3618035099999872,-0.6669667723407287,normal
group4_ru_3631,group4,-0.7418433000000277,-1.2064649499108242,normal
group4_os_3631,group4,-0.8482457800000702,-1.2904981021109876,normal
group4_pd_3631,group4,-0.5684687999999767,-0.9701728094604078,normal
group4_pt_3631,group4,-0.5208236799999781,-0.9783000009442873,normal
group4_cd_3631,group4,-0.25368682999999237,-0.4822364631813656,unphysical_relaxation
