Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
3611,11.58077778489012,,15.54440680000947,69.09297052154186,74.76882923191778,36.0,0.0,13.0,23,0,2,21
4811,9.933970595024755,,15.1474220332784,69.98299319727887,76.18568232661998,36.0,0.0,10.0,26,0,2,24
4411,13.01049510459855,,14.69171513218149,69.24744897959182,75.17757270693542,24.0,0.0,4.0,20,0,0,20
44S1,8.822313851525172,,9.809932102138498,62.20238095238117,64.57913870246142,24.0,0.0,14.0,10,0,0,10
45N1,9.325693205603958,,10.21974826410859,63.86479591836731,71.61912751677889,24.0,0.0,10.0,14,0,1,13
4a11,8.948741260943564,,11.34590887261614,68.15476190476187,73.31096196868025,24.0,0.0,7.0,17,0,2,15
4a12,8.575730183077177,,11.21113554166047,68.26530612244882,76.11297539149936,24.0,0.0,5.0,19,0,2,17
55N1,9.86577567581267,,11.67134778878616,66.12244897959174,74.1303131991055,24.0,0.0,7.0,17,0,2,15
5601,7.075409394495529,,9.224181301568244,59.40476190476193,63.89960850111935,24.0,0.0,12.0,12,0,0,12
6601,10.99567961056571,,11.56821881233565,75.60799319727907,85.00559284116463,24.0,0.0,2.0,22,0,0,22
6611,12.21544637063716,,16.28481092820194,62.36468500443645,71.20221768310493,23.0,0.0,8.0,15,0,1,14
66S1,8.67565863943786,,9.958864012652988,62.37012987013015,68.42739475289798,22.0,0.0,11.0,11,0,0,11
67N1,8.456816711505038,,10.01452538339752,69.5964749536179,79.57291031116509,22.0,0.0,6.0,16,0,1,15
7801,5.727981212204205,,6.340757352330045,60.02782931354353,72.76845637583867,22.0,0.0,4.0,18,0,2,16
8a01,4.868613074030915,1.739468435974842,5.272989490156179,57.45361781076088,64.54850518608878,22.0,1.0,12.0,9,0,2,7
