Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
3611,0.3278038436711979,0.3450787371083266,0.3918807978934191,80.32596371882099,82.0870618941086,36.0,27.0,8.0,1,0,1,0
4811,0.350573143497906,0.3661361837456417,0.4453146210243162,81.10827664399058,84.8247576435492,36.0,29.0,7.0,0,0,0,0
4411,0.2979656110573223,0.3104666344841456,0.3143010078310719,75.76105442176865,76.19686800894915,24.0,22.0,1.0,1,0,1,0
44S1,0.3962850849226331,0.3497964500585274,0.3709082274584088,74.68962585034,73.61996644295363,24.0,13.0,9.0,2,0,2,0
45N1,0.4115608480975048,0.4327658018584472,0.4188390145228305,77.84863945578228,79.24916107382627,24.0,20.0,4.0,0,0,0,0
4a11,0.3010704800020356,0.3010704800020356,0.3506925109995246,87.19812925170072,91.37723713646533,24.0,24.0,0.0,0,0,0,0
4a12,0.432090133710109,0.4328862821035758,0.4753192721960922,85.81207482993152,88.08305369127396,24.0,21.0,2.0,1,0,1,0
55N1,0.3598121180625083,0.3422044662143741,0.4063507898813577,74.37074829931967,76.03048098433942,24.0,14.0,9.0,1,0,1,0
5601,0.3161391732220586,0.3110003147809461,0.4233338033444045,73.29506802721087,73.65352348993189,24.0,16.0,7.0,1,0,1,0
6601,0.3802039728767307,0.3078264188424833,0.4675883303285862,73.55442176870736,80.1859619686792,24.0,19.0,4.0,1,0,1,0
6611,0.4241003131769769,0.3812031753526298,0.5387070978723187,66.54835847382441,70.96002334403225,23.0,10.0,11.0,2,0,2,0
66S1,0.5388973767211014,0.6081373115659895,0.6152141584760732,70.0834879406309,70.94417327638885,22.0,13.0,7.0,2,0,2,0
67N1,0.4384342307569514,0.4185670624787252,0.4865972912432129,74.91651205936904,78.97498474679689,22.0,14.0,6.0,2,0,2,0
7801,0.4014032663046976,0.4053789793159727,0.5419028991183391,63.86827458256035,69.19615619280123,22.0,13.0,7.0,2,0,2,0
8a01,0.4365238097730833,0.4277287136723373,0.628822574883928,57.59740259740264,60.16168395363035,22.0,1.0,19.0,2,0,2,0
8a02,0.4299620748612007,0.4025097517165601,0.6170469129037031,61.40074211502788,63.95820622330561,22.0,6.0,14.0,2,0,2,0
8a03,0.4428247035042277,0.3878651312204978,0.5836873480262829,57.93599257884991,64.08023184868863,22.0,7.0,11.0,4,0,4,0
1211,0.1966297955053307,0.2554397821048511,0.226255597454245,85.34863945578233,79.63087248322105,12.0,6.0,6.0,0,0,0,0
1221,0.1951078425151446,0.1951078425151446,5.357987915015577,89.93197278911565,92.12527964205815,12.0,12.0,0.0,0,0,0,0
1231,0.2061716990355702,0.2061716990355702,0.2843480710784523,90.45918367346938,93.75,12.0,12.0,0.0,0,0,0,0
12S1,0.2445096618368557,0.2445096618368557,0.237096455975849,91.41156462585033,94.8993288590604,12.0,12.0,0.0,0,0,0,0
13N1,0.1868360025935871,0.1868360025935871,0.2061646539315838,91.17346938775509,94.51062639821028,12.0,12.0,0.0,0,0,0,0
13X1,0.2085285059006612,0.2085285059006612,0.3330865752638583,88.9965986394558,88.7835570469801,12.0,12.0,0.0,0,0,0,0
13Y1,0.2144295272582865,0.189289796239835,0.2388261078896659,89.73639455782317,90.17617449664272,12.0,11.0,1.0,0,0,0,0
13_1,0.2265144434365727,0.2265144434365727,0.2964981032287923,90.00850340136056,92.93624161073822,12.0,12.0,0.0,0,0,0,0
14S1,0.2068999234061911,0.2068999234061911,0.2575654457746879,91.35204081632652,94.48825503355707,12.0,12.0,0.0,0,0,0,0
