reaction,adsorbate,DFT,MLIP,classification
group4_au_4821,group4,-0.3483514500000098,-0.5102738050473619,normal
group4_cu_4821,group4,-0.4392407200000008,-0.8662629954219057,normal
group4_ag_4821,group4,-0.3623027900000153,-0.5508082106285173,normal
group4_ru_4821,group4,-0.6059101900000172,-0.39609868708426177,normal
group4_os_4821,group4,-0.7066806500001093,-1.4291055613640111,normal
group4_pd_4821,group4,-0.5995977600000089,-0.44286015009781465,normal
group4_pt_4821,group4,-0.4909315899999882,-1.029772201565848,normal
group4_cd_4821,group4,-0.27153241000000605,-0.4629816971292797,normal
group4_rh_4821,group4,-0.5816467300000312,-0.29371703625550083,normal
group4_ni_4821,group4,-0.5926486399999789,-0.5653703970266264,normal
group4_ir_4821,group4,-0.5310203299999756,-0.4121019081281503,normal
group4_zn_4821,group4,-0.3030711400000001,-0.47265537427857396,normal
group4_au_4824,group4,-0.3282574600000032,-0.46581236321067365,normal
group4_cu_4824,group4,-0.37535341000000244,-0.7889053890256292,adsorbate_migration
group4_ag_4824,group4,-0.3286797700000079,-0.5057297203011757,normal
group4_ru_4824,group4,-0.4939953699999933,-0.2586196274707362,normal
group4_os_4824,group4,-0.5182410400000776,-1.2277882845017274,normal
group4_pd_4824,group4,-0.5124571099999855,-0.38106289324726106,normal
group4_pt_4824,group4,-0.41607740000000604,-0.9667000431241348,normal
group4_cd_4824,group4,-0.2505780600000094,-0.42240694687750135,normal
group4_rh_4824,group4,-0.4705461099999866,-0.19977557051497286,normal
group4_ni_4824,group4,-0.4838654099999644,-0.4278188619868075,normal
group4_ir_4824,group4,-0.40490760000000137,-0.2920871365580382,normal
group4_zn_4824,group4,-0.27857296999999903,-0.42637209309891944,normal
group4_au_3631,group4,-0.3250232599999947,-0.44750931596364296,normal
group4_cu_3631,group4,-0.4721017399999994,-0.724309456867573,normal
group4_ag_3631,group4,-0.3618035099999872,-0.4848928877562031,normal
group4_ru_3631,group4,-0.7418433000000277,-0.4192086643566739,normal
group4_os_3631,group4,-0.8482457800000702,-1.4589363308491414,normal
group4_pd_3631,group4,-0.5684687999999767,-0.3404904426914328,normal
group4_pt_3631,group4,-0.5208236799999781,-0.9315581252186433,normal
group4_cd_3631,group4,-0.25368682999999237,-0.4000757517313218,normal
group4_rh_3631,group4,-0.6016898899999887,-0.2469577379557535,normal
group4_ni_3631,group4,-0.6781894499999908,-0.5034286092676581,normal
group4_ir_3631,group4,-0.6808516999999483,-0.4357500693089804,normal
group4_zn_3631,group4,-0.3013657199999926,-0.3954778990878651,normal
group4_au_3632,group4,-0.3100476600000093,-0.4284799846556382,normal
group4_cu_3632,group4,-0.38267573999999627,-0.7398801000532842,normal
group4_ag_3632,group4,-0.32335607000001687,-0.4590297841598385,normal
group4_ru_3632,group4,-0.4813210599999991,-0.25935718504294414,normal
group4_os_3632,group4,-0.4830935000000238,-1.2307202272047846,normal
group4_pd_3632,group4,-0.5148818499999948,-0.3528009365286948,normal
group4_pt_3632,group4,-0.4023839400000213,-0.9085408057065649,normal
group4_cd_3632,group4,-0.2339576500000078,-0.3770066640575749,normal
