reaction,adsorbate,DFT,MLIP,classification
group4_au_4821,group4,-0.3483514500000098,0.1820059574571502,normal
group4_cu_4821,group4,-0.4392407200000008,-0.6032703183272901,normal
group4_ag_4821,group4,-0.3623027900000153,-0.11556277890055355,normal
group4_ru_4821,group4,-0.6059101900000172,-0.8000786375142042,adsorbate_migration
group4_os_4821,group4,-0.7066806500001093,-0.947607889189598,adsorbate_migration
group4_pd_4821,group4,-0.5995977600000089,-0.33659049189201085,normal
group4_pt_4821,group4,-0.4909315899999882,-0.46004616385049246,normal
group4_cd_4821,group4,-0.27153241000000605,0.32199706004662687,normal
group4_rh_4821,group4,-0.5816467300000312,-0.5639126233677274,adsorbate_migration
group4_ni_4821,group4,-0.5926486399999789,-0.112179199256488,normal
group4_ir_4821,group4,-0.5310203299999756,-0.8008144260342505,adsorbate_migration
group4_zn_4821,group4,-0.3030711400000001,-0.4072413966380424,normal
group4_au_4824,group4,-0.3282574600000032,0.36224151738908006,normal
group4_cu_4824,group4,-0.37535341000000244,-0.3057451114495535,normal
group4_ag_4824,group4,-0.3286797700000079,0.09677131542837003,normal
group4_ru_4824,group4,-0.4939953699999933,-0.26060357371166276,normal
group4_os_4824,group4,-0.5182410400000776,-0.3197706852678408,normal
group4_pd_4824,group4,-0.5124571099999855,-0.15028657289680325,normal
group4_pt_4824,group4,-0.41607740000000604,-0.20934498937732826,normal
group4_cd_4824,group4,-0.2505780600000094,0.48040940112976216,normal
group4_rh_4824,group4,-0.4705461099999866,-0.23452235982723835,normal
group4_ni_4824,group4,-0.4838654099999644,0.17174470700011568,normal
group4_ir_4824,group4,-0.40490760000000137,-0.3572548946786043,adsorbate_migration
group4_zn_4824,group4,-0.27857296999999903,-0.16029379680431077,normal
group4_au_3631,group4,-0.3250232599999947,0.46339291482306066,normal
group4_cu_3631,group4,-0.4721017399999994,-0.2541573707938767,normal
group4_ag_3631,group4,-0.3618035099999872,0.0993895382510459,normal
group4_ru_3631,group4,-0.7418433000000277,-0.2722307458809894,normal
group4_os_3631,group4,-0.8482457800000702,-0.34531150469021554,normal
group4_pd_3631,group4,-0.5684687999999767,-0.11744013286281074,adsorbate_migration
group4_pt_3631,group4,-0.5208236799999781,-0.24022660585197286,adsorbate_migration
group4_cd_3631,group4,-0.25368682999999237,0.45945510875897355,normal
group4_rh_3631,group4,-0.6016898899999887,-0.5258721586161812,adsorbate_migration
group4_ni_3631,group4,-0.6781894499999908,0.5887535385666922,adsorbate_migration
group4_ir_3631,group4,-0.6808516999999483,-0.25675185728849215,normal
group4_zn_3631,group4,-0.3013657199999926,-0.23366266287132476,normal
group4_au_3632,group4,-0.3100476600000093,0.41356808717105764,normal
group4_cu_3632,group4,-0.38267573999999627,-0.3321577973264027,normal
group4_ag_3632,group4,-0.32335607000001687,0.04068033641516422,normal
group4_ru_3632,group4,-0.4813210599999991,-0.48862349548235784,adsorbate_migration
group4_os_3632,group4,-0.4830935000000238,-0.4292322691440802,normal
group4_pd_3632,group4,-0.5148818499999948,-0.22884706769920626,normal
group4_pt_3632,group4,-0.4023839400000213,-0.21095609796961412,normal
group4_cd_3632,group4,-0.2339576500000078,0.529207158164624,normal
group4_rh_3632,group4,-0.4658830200000068,-0.57086094042225,normal
group4_ni_3632,group4,-0.48456361999998876,0.5010372375852796,adsorbate_migration
group4_ir_3632,group4,-0.39165908999999033,-0.4340614124436968,normal
group4_zn_3632,group4,-0.2587814399999928,-0.15059255312135633,normal
group4_au_3623,group4,-0.29180686000002254,0.3509264356730881,normal
group4_cu_3623,group4,-0.39972816999998884,-0.3510080081236282,normal
group4_ag_3623,group4,-0.32320654000001525,-0.014938247283410533,normal
group4_ru_3623,group4,-0.5971006000000187,-0.40576319813727935,normal
group4_os_3623,group4,-0.6793865400000385,-0.4796389074328573,normal
group4_pd_3623,group4,-0.5066058200000185,-0.24015486995001822,adsorbate_migration
group4_pt_3623,group4,-0.43841575000003274,-0.22734647312491063,normal
group4_cd_3623,group4,-0.22600254999999692,0.5782630361273959,normal
group4_rh_3623,group4,-0.5207477100000091,-0.38869608039802017,normal
group4_ni_3623,group4,-0.5315538699999678,0.09774711238019052,normal
group4_ir_3623,group4,-0.519125399999993,-0.33656842468856496,normal
group4_zn_3623,group4,-0.24841854000000296,-0.14505618510459328,normal
group4_au_4832,group4,-0.3518741799999958,0.3405561199152629,normal
group4_cu_4832,group4,-0.4187342199999904,-0.4295627369393884,normal
group4_ag_4832,group4,-0.35811597000001427,0.04353722101750179,normal
group4_ru_4832,group4,-0.5129663400000055,-0.3310043508288487,adsorbate_migration
group4_os_4832,group4,-0.5689272700000885,-0.3828090809123097,adsorbate_migration
group4_pd_4832,group4,-0.5258670300000148,-0.20131457563685728,normal
group4_pt_4832,group4,-0.43418928000001245,-0.2387539408137087,normal
group4_cd_4832,group4,-0.2663437800000139,0.3399302639727324,normal
group4_rh_4832,group4,-0.48938549000003206,-0.4049481131840622,normal
group4_ni_4832,group4,-0.5013948400000032,0.20477151531279958,adsorbate_migration
group4_ir_4832,group4,-0.46092462999997963,-0.39591504590471516,adsorbate_migration
group4_zn_4832,group4,-0.297695939999997,-0.35533924079565793,normal
group4_au_3622,group4,-0.2893358800000101,0.41986715453082013,normal
group4_cu_3622,group4,-0.33039152000000627,-0.16260826919027238,normal
group4_ag_3622,group4,-0.2801272100000176,0.14080646008683573,normal
group4_ru_3622,group4,-0.48162670000002095,-0.4200001072613446,adsorbate_migration
group4_os_3622,group4,-0.5369041400000185,-0.469004717767703,adsorbate_migration
group4_pd_3622,group4,-0.4660131400000296,-0.1163006522149459,normal
group4_pt_3622,group4,-0.38105405000001724,-0.21196827693161424,adsorbate_migration
group4_cd_3622,group4,-0.21178871999999416,0.6329550655494955,normal
