Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
H,0.4347681573245528,0.3623108168886444,0.3577561513155028,72.58087250266739,82.91562647481176,8854.0,6761.0,1135.0,958,24,903,31
N,0.6671835913728327,0.5069579481487557,0.5602497517863035,75.04709064402522,85.53503440714641,7457.0,5990.0,376.0,1091,44,950,97
O,1.084946427864616,0.8582813156898442,1.158165918069338,75.28829727624338,85.80791808908765,7369.0,5415.0,433.0,1521,29,760,732
S,0.4002395762030748,0.3586958060673731,0.3953583418277024,75.73702417457355,86.2695836074679,5812.0,4839.0,307.0,666,23,640,3
C,0.559840454061469,0.4627090800006365,0.5139030023114994,75.32003873605683,84.99959110335271,5291.0,4223.0,404.0,664,63,599,2
SH,0.4119019265435088,0.2903710757626682,0.2693830959635958,72.47371566834218,81.4483643011752,1770.0,1260.0,358.0,152,22,130,0
NH,1.048638669173813,0.7419486140210796,0.7388404160248269,73.48732037193591,82.92526110956695,1558.0,1220.0,184.0,154,2,149,3
H2O,0.215777227002504,0.1614372146822318,0.1432478096226669,65.81883657077286,75.66110077895463,1534.0,1000.0,433.0,101,1,96,4
CH,0.6587933202760247,0.5223422105915381,0.4902696033069002,76.92550646632284,86.53116830969154,1508.0,1303.0,98.0,107,0,107,0
CH2,0.9999741463779955,0.8448171925436513,0.7540177367371197,69.6581697813225,80.28847060436986,1458.0,1065.0,269.0,124,0,123,1
CH3,0.8409008805850511,0.7770032761031194,0.7037591076939204,68.78715537570234,81.22265411827796,1284.0,1021.0,192.0,71,0,71,0
OH,0.3919112130657607,0.3198559632119683,0.3759853371311139,70.78640646630649,79.87634558618342,1235.0,917.0,188.0,130,1,124,5
