reaction,adsorbate,DFT,MLIP,classification
Ag12_CH4(g) - H2(g) + * -> CH2*,CH2,3.0098093998740865,2.0788135528564453,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.0149360245769117,2.0780887603759766,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_2,CH2,3.5660409709735745,2.91510009765625,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.6032765057171616,0.8137989044189453,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_1,CH3,1.6497815771145667,0.8297100067138672,adsorbate_migration
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_2,CH3,1.6447031165153874,0.8291339874267578,adsorbate_migration
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_3,CH3,1.476338937514896,0.8317375183105469,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.9969136423369775,3.4842967987060547,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,4.06594320883417,3.481861114501953,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*,C,5.608978744789965,5.647716522216797,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_1,C,5.667144574389567,5.6500701904296875,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.58535246073555,5.036479949951172,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.984898423889717,7.1382293701171875,normal
Ag12_H2O(g) + * -> H2O*,H2O,-0.08069304587309034,-0.26503944396972656,normal
Ag12_H2O(g) + * -> H2O*_1,H2O,-0.12029921507394192,-0.25977325439453125,normal
Ag12_H2O(g) + * -> H2O*_2,H2O,-0.0781264681737639,-0.3024330139160156,normal
Ag12_0.5H2(g) + * -> H*,H,0.46221515144227965,0.2556018829345703,normal
Ag12_0.5H2(g) + * -> H*_1,H,0.33815532304382145,0.20662689208984375,normal
Ag12_0.5H2(g) + * -> H*_2,H,0.35534747534350686,0.1930980682373047,normal
Ag12_0.5H2(g) + * -> H*_3,H,0.8448673457469624,0.7568893432617188,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.395891202227176,0.8756866455078125,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.4894360486277947,0.8815937042236328,normal
Ag12_0.5N2(g) + * -> N*,N,3.1123935958876245,2.8810806274414062,normal
Ag12_0.5N2(g) + * -> N*_1,N,3.206737232487285,2.873291015625,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,3.067950603231111,2.4137916564941406,normal
Ag12_0.5N2(g) + * -> N*_2,N,4.745673237490337,4.259237289428711,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.7181514141819889,0.6942539215087891,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,0.5630175459781412,0.7110557556152344,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_2,OH,0.5899550472794317,0.7211093902587891,normal
Ag12_H2O(g) - H2(g) + * -> O*,O,1.9617996856357536,2.374114990234375,normal
Ag12_H2O(g) - H2(g) + * -> O*_1,O,2.0506805009388813,2.3898773193359375,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_3,OH,1.3874351285820694,1.5313758850097656,normal
Ag12_H2O(g) - H2(g) + * -> O*_2,O,3.426808483239995,3.8664493560791016,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*,SH,0.0390709212525735,-0.3462982177734375,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_1,SH,-0.0825627400471376,-0.40093994140625,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_2,SH,-0.06756368924732215,-0.39263153076171875,normal
Ag12_H2S(g) - H2(g) + * -> S*,S,-0.29317027959035613,-0.10363006591796875,normal
Ag12_H2S(g) - H2(g) + * -> S*_1,S,-0.24250254678912597,-0.10689544677734375,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_3,SH,0.6129727487506216,-0.013126373291015625,normal
Ag12_H2S(g) - H2(g) + * -> S*_2,S,0.7982888036058853,1.1859245300292969,normal
Au12_CH4(g) - H2(g) + * -> CH2*,CH2,2.5714865238724656,1.7112541198730469,normal
Au12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.330149293970919,2.5086135864257812,normal
Au12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.1846758964130402,0.6541595458984375,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.1784606591300246,2.7419967651367188,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,3.372262584029187,2.775981903076172,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*,C,4.741423499589473,4.5061798095703125,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*_1,C,4.896599953587611,4.537738800048828,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.650378552431022,4.526874542236328,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.525164134390252,6.720207214355469,normal
Au12_H2O(g) + * -> H2O*,H2O,-0.0829767612796104,-0.13387680053710938,normal
Au12_H2O(g) + * -> H2O*_1,H2O,-0.07100266387908505,-0.13530349731445312,normal
Au12_0.5H2(g) + * -> H*,H,0.3959320299409512,0.17570877075195312,normal
Au12_0.5H2(g) + * -> H*_1,H,0.32240319723953803,0.21750640869140625,normal
Au12_0.5H2(g) + * -> H*_2,H,0.3711066762416806,0.23032379150390625,normal
Au12_0.5H2(g) + * -> H*_3,H,0.5342481744419558,0.38482666015625,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.4257011372274064,0.8661880493164062,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.6527565977257836,0.893829345703125,normal
Au12_0.5N2(g) + * -> N*,N,2.802846961285468,2.391704559326172,normal
Au12_0.5N2(g) + * -> N*_1,N,3.0296520770843927,2.420734405517578,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,3.5648610854286744,2.5802536010742188,normal
Au12_0.5N2(g) + * -> N*_2,N,4.699254834386011,3.9714813232421875,normal
Au12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.2733503133794102,1.4753799438476562,normal
Au12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,1.3747626511802764,1.7094917297363281,normal
Au12_H2O(g) - 0.5H2(g) + * -> OH*_2,OH,1.4154380916778564,1.7593231201171875,normal
Au12_H2O(g) - H2(g) + * -> O*,O,2.4150319511352905,2.910247802734375,normal
Au12_H2O(g) - H2(g) + * -> O*_1,O,2.6192316179365775,2.9658355712890625,normal
Au12_H2O(g) - 0.5H2(g) + * -> OH*_3,OH,2.035280490378568,1.577178955078125,adsorbate_migration
Au12_H2O(g) - H2(g) + * -> O*_2,O,3.705461217435925,4.287872314453125,normal
Au12_H2S(g) - 0.5H2(g) + * -> SH*,SH,-0.09348416505497426,-0.17627334594726562,normal
Au12_H2S(g) - 0.5H2(g) + * -> SH*_1,SH,0.4475461747471172,0.08245468139648438,normal
Au12_H2S(g) - 0.5H2(g) + * -> SH*_2,SH,0.48313512734705455,0.0885467529296875,normal
Au12_H2S(g) - H2(g) + * -> S*,S,-0.17403244629525716,0.23060989379882812,normal
Au12_H2S(g) - H2(g) + * -> S*_1,S,-0.02868610479703193,0.251739501953125,normal
Au12_H2S(g) - 0.5H2(g) + * -> SH*_3,SH,1.1557767265450138,0.32941436767578125,normal
Au12_H2S(g) - H2(g) + * -> S*_2,S,1.1284503745046663,1.5943527221679688,normal
Ga12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.053555530314128,0.3838768005371094,normal
Ga12_CH4(g) - 1.5H2(g) + * -> CH*,CH,2.607007448028554,1.957275390625,normal
Ga12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,2.5797313010316714,1.9513397216796875,normal
Ga12_CH4(g) - 2.0H2(g) + * -> C*,C,4.109268357887231,3.2225685119628906,adsorbate_migration
Ga12_CH4(g) - 2.0H2(g) + * -> C*_1,C,3.505704489388336,2.8537139892578125,normal
Ga12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,4.760126700135544,4.1468048095703125,normal
Ga12_H2O(g) + * -> H2O*,H2O,-0.0873150721837419,-0.26556396484375,normal
Ga12_H2O(g) + * -> H2O*_1,H2O,-0.0700512178829058,-0.2735710144042969,normal
Ga12_0.5H2(g) + * -> H*,H,0.6488109577412899,0.05530548095703125,normal
Ga12_0.5H2(g) + * -> H*_1,H,0.6513263780443879,0.21186447143554688,normal
Ga12_0.5H2(g) + * -> H*_2,H,0.8234530751442719,0.21860122680664062,normal
Ga12_0.5H2(g) + * -> H*_3,H,0.6803177945485288,-0.02718353271484375,normal
Ga12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,0.0723870431238538,-0.7946090698242188,normal
Ga12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,0.2656439240226973,-0.7920303344726562,normal
Ga12_0.5N2(g) + * -> N*,N,1.0117555793895008,-0.23468017578125,normal
Ga12_0.5N2(g) + * -> N*_1,N,1.029164742480134,-0.24098587036132812,normal
Ga12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,1.9551841901256921,-0.7685813903808594,reproduction_failure
Ga12_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.2459182557767008,0.0368804931640625,normal
Ga12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,0.36038811217883904,0.0565948486328125,normal
Ga12_H2O(g) - H2(g) + * -> O*,O,0.1336827261437179,-0.18712997436523438,normal
Ga12_H2O(g) - H2(g) + * -> O*_1,O,0.3580156876449223,-0.15359115600585938,normal
Ga12_H2O(g) - H2(g) + * -> O*_2,O,1.6785577516455419,1.8283729553222656,normal
Ga12_H2S(g) - 0.5H2(g) + * -> SH*,SH,-0.18977096655623882,-0.441009521484375,normal
Ga12_H2S(g) - 0.5H2(g) + * -> SH*_1,SH,0.12239762105411955,-0.22548294067382812,normal
Ga12_H2S(g) - 0.5H2(g) + * -> SH*_2,SH,0.14315596124754393,-0.22397232055664062,normal
Ga12_H2S(g) - H2(g) + * -> S*,S,-0.6562656522873453,-0.8476409912109375,normal
Ga12_H2S(g) - H2(g) + * -> S*_1,S,-0.4853759846882326,-0.841339111328125,normal
Ga12_H2S(g) - 0.5H2(g) + * -> SH*_3,SH,0.6441176742456491,-0.455078125,reproduction_failure
Ga12_H2S(g) - H2(g) + * -> S*_2,S,0.16852649500657435,-0.3809318542480469,normal
Hf12_CH4(g) - H2(g) + * -> CH2*,CH2,0.11335010797398581,-0.5723114013671875,adsorbate_migration
Hf12_CH4(g) - H2(g) + * -> CH2*_1,CH2,-0.04695446732597475,-0.561798095703125,normal
Hf12_CH4(g) - H2(g) + * -> CH2*_2,CH2,0.14139851397618486,-0.57122802734375,normal
Hf12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,-0.18301655688256346,-0.8648681640625,normal
Hf12_CH4(g) - 0.5H2(g) + * -> CH3*_1,CH3,-0.08891904718248611,-0.8548183441162109,normal
