Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
H,0.5420495207448248,0.3714757386631147,0.3673697999452654,56.61666984550831,74.93293294862949,8854.0,5966.0,865.0,2023,39,1965,19
N,0.8429582078763082,0.531214632300023,0.6423525457278434,59.42406070008769,77.03832494556247,7457.0,5172.0,394.0,1891,61,1726,104
O,0.8774627118753406,0.6147204135539736,0.7971187606272604,58.6565605909646,76.84377674949441,7369.0,4908.0,432.0,2029,44,1635,350
S,0.509637697025901,0.3531193413440048,0.3963623174202285,59.50576625878564,78.0180369127517,5812.0,4248.0,279.0,1285,40,1239,6
C,0.7731382837342954,0.4986522346875927,0.5063488305260827,60.26709307767581,76.80247748483053,5291.0,3654.0,405.0,1232,73,1157,2
SH,0.5655074513427957,0.4360766999347901,0.4120258168617747,56.40726802500043,74.90367682737353,1770.0,1245.0,235.0,290,25,265,0
NH,1.035766151912232,0.639950898103695,0.6656655620925379,55.40339330998668,73.12150033755617,1558.0,1089.0,185.0,284,7,277,0
H2O,0.3852764351290208,0.2598027968540427,0.2405552851281861,49.52998361060596,67.17869773554531,1534.0,926.0,381.0,227,7,216,4
CH,1.096929335169246,0.831043170650705,0.8532468844954716,59.43385412773167,77.62728323131012,1508.0,1158.0,95.0,255,2,252,1
CH2,1.323389018445942,1.138153712218145,1.062839808055833,55.159577240858,73.82728192205161,1458.0,984.0,262.0,212,3,206,3
CH3,1.079520359757003,0.9746024591532542,0.9057041346443986,55.85577454947738,75.715660274392,1284.0,939.0,143.0,202,3,199,0
OH,0.3766284931632675,0.2207491623822016,0.242940269659217,57.50249333869209,74.38248669711538,1235.0,894.0,155.0,186,5,180,1
