reaction,adsorbate,DFT,MLIP,classification
Ag12_CH4(g) - H2(g) + * -> CH2*,CH2,3.0098093998740865,1.6531982421875,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.0149360245769117,1.664703369140625,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_2,CH2,3.5660409709735745,2.59228515625,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.6032765057171616,0.5740814208984375,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_1,CH3,1.6497815771145667,0.730010986328125,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_2,CH3,1.6447031165153874,0.7357025146484375,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_3,CH3,1.476338937514896,0.5733642578125,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.9969136423369775,2.886627197265625,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,4.06594320883417,2.876678466796875,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*,C,5.608978744789965,4.87646484375,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_1,C,5.667144574389567,4.86553955078125,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.58535246073555,4.728485107421875,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.984898423889717,6.4315185546875,normal
Ag12_H2O(g) + * -> H2O*,H2O,-0.08069304587309034,-0.339569091796875,normal
Ag12_H2O(g) + * -> H2O*_1,H2O,-0.12029921507394192,-0.365020751953125,normal
Ag12_H2O(g) + * -> H2O*_2,H2O,-0.0781264681737639,-0.4295654296875,normal
Ag12_0.5H2(g) + * -> H*,H,0.46221515144227965,0.1732330322265625,normal
Ag12_0.5H2(g) + * -> H*_1,H,0.33815532304382145,0.11737060546875,normal
Ag12_0.5H2(g) + * -> H*_2,H,0.35534747534350686,0.1077117919921875,normal
Ag12_0.5H2(g) + * -> H*_3,H,0.8448673457469624,0.60723876953125,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.395891202227176,0.83575439453125,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.4894360486277947,0.8359375,normal
Ag12_0.5N2(g) + * -> N*,N,3.1123935958876245,2.770538330078125,normal
Ag12_0.5N2(g) + * -> N*_1,N,3.206737232487285,2.757720947265625,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,3.067950603231111,0.8373870849609375,adsorbate_migration
Ag12_0.5N2(g) + * -> N*_2,N,4.745673237490337,4.240142822265625,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.7181514141819889,0.3885955810546875,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,0.5630175459781412,0.3654022216796875,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_2,OH,0.5899550472794317,0.3619537353515625,normal
Ag12_H2O(g) - H2(g) + * -> O*,O,1.9617996856357536,1.94158935546875,normal
Ag12_H2O(g) - H2(g) + * -> O*_1,O,2.0506805009388813,1.94232177734375,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_3,OH,1.3874351285820694,1.300048828125,normal
Ag12_H2O(g) - H2(g) + * -> O*_2,O,3.426808483239995,3.586151123046875,normal
