Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
H,0.4908979346531799,0.4179411797458084,0.4148627945675776,80.41248969237995,86.85650911859096,8854.0,7232.0,1130.0,492,4,454,34
N,0.5019373925733994,0.4317772873842957,0.4329565377598477,81.99181491899876,89.12786859461879,7457.0,6478.0,360.0,619,21,570,28
O,6.440992533151402,0.4718548759995091,7.941888309210759,74.85739777174643,83.16585923581376,7369.0,4244.0,276.0,2849,79,2203,567
S,0.3757068507070747,0.3552019776714201,0.3714749771755821,83.00485282136654,89.99188739875893,5812.0,5136.0,327.0,349,1,344,4
C,0.4806532046084047,0.4403683839631301,0.4651965679947592,82.1886140232811,88.7510743499017,5291.0,4537.0,357.0,397,31,363,3
SH,0.3895789281168111,0.2012830536919399,0.1675043967491612,77.4660527237416,82.70822644986336,1770.0,1247.0,428.0,95,7,88,0
NH,0.6769703516437069,0.5691519168424518,0.5368507119196634,83.29827315541598,89.55819864183334,1558.0,1383.0,108.0,67,0,66,1
H2O,0.4800491551028801,0.181008430510959,1.582609177341001,59.74084443099277,66.34302838129925,1534.0,489.0,890.0,155,7,131,17
CH,0.3240315450378347,0.227495430107108,0.2108837419260183,84.01422840198371,90.25620539043274,1508.0,1334.0,116.0,58,0,58,0
CH2,0.5152567910117841,0.3538005477314944,0.2923363935125432,76.13899966116716,83.07447693006598,1458.0,1080.0,305.0,73,0,73,0
CH3,0.4037245291410507,0.3558766872375923,0.3029948998393615,77.10188069521679,85.03128320998752,1284.0,1074.0,179.0,31,0,31,0
OH,0.5272733059325457,0.2007969045114462,0.6383637524438738,77.35423272153498,83.09652485081696,1235.0,962.0,193.0,80,3,77,0
