reaction,adsorbate,DFT,MLIP,classification
Ag12_CH4(g) - H2(g) + * -> CH2*,CH2,3.0098093998740865,2.7401504516601562,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.0149360245769117,2.7404861450195312,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_2,CH2,3.5660409709735745,3.5002212524414062,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.6032765057171616,1.4093608856201172,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_1,CH3,1.6497815771145667,1.3986968994140625,adsorbate_migration
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_2,CH3,1.6447031165153874,1.4004764556884766,adsorbate_migration
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_3,CH3,1.476338937514896,1.4435844421386719,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.9969136423369775,4.023815155029297,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,4.06594320883417,4.068672180175781,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*,C,5.608978744789965,5.796421051025391,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_1,C,5.667144574389567,5.796573638916016,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.58535246073555,5.393959045410156,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.984898423889717,7.1691741943359375,normal
Ag12_H2O(g) + * -> H2O*,H2O,-0.08069304587309034,0.019811630249023438,normal
Ag12_H2O(g) + * -> H2O*_1,H2O,-0.12029921507394192,-0.15874671936035156,adsorbate_migration
Ag12_H2O(g) + * -> H2O*_2,H2O,-0.0781264681737639,-0.06014060974121094,normal
Ag12_0.5H2(g) + * -> H*,H,0.46221515144227965,0.2926616668701172,normal
Ag12_0.5H2(g) + * -> H*_1,H,0.33815532304382145,0.14910507202148438,normal
Ag12_0.5H2(g) + * -> H*_2,H,0.35534747534350686,0.1580333709716797,normal
Ag12_0.5H2(g) + * -> H*_3,H,0.8448673457469624,0.8083267211914062,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.395891202227176,1.0303268432617188,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.4894360486277947,1.0553359985351562,normal
Ag12_0.5N2(g) + * -> N*,N,3.1123935958876245,2.9153671264648438,normal
Ag12_0.5N2(g) + * -> N*_1,N,3.206737232487285,2.9234848022460938,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,3.067950603231111,2.57769775390625,normal
Ag12_0.5N2(g) + * -> N*_2,N,4.745673237490337,4.228504180908203,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.7181514141819889,0.6918487548828125,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,0.5630175459781412,0.6617546081542969,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_2,OH,0.5899550472794317,0.6800727844238281,normal
Ag12_H2O(g) - H2(g) + * -> O*,O,1.9617996856357536,2.125028610229492,normal
Ag12_H2O(g) - H2(g) + * -> O*_1,O,2.0506805009388813,2.147359848022461,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_3,OH,1.3874351285820694,1.3979644775390625,normal
Ag12_H2O(g) - H2(g) + * -> O*_2,O,3.426808483239995,3.490701675415039,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*,SH,0.0390709212525735,-0.30902099609375,adsorbate_migration
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_1,SH,-0.0825627400471376,-0.07314682006835938,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_2,SH,-0.06756368924732215,-0.07355880737304688,normal
Ag12_H2S(g) - H2(g) + * -> S*,S,-0.29317027959035613,-0.06766319274902344,normal
Ag12_H2S(g) - H2(g) + * -> S*_1,S,-0.24250254678912597,-0.05118751525878906,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_3,SH,0.6129727487506216,0.5370254516601562,normal
Ag12_H2S(g) - H2(g) + * -> S*_2,S,0.7982888036058853,1.0266246795654297,normal
Au12_CH4(g) - H2(g) + * -> CH2*,CH2,2.5714865238724656,2.1314697265625,normal
Au12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.330149293970919,3.1710205078125,normal
Au12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.1846758964130402,1.06854248046875,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.1784606591300246,3.055591583251953,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,3.372262584029187,3.20343017578125,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*,C,4.741423499589473,4.712757110595703,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*_1,C,4.896599953587611,4.810161590576172,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.650378552431022,5.129905700683594,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.525164134390252,6.616931915283203,normal
Au12_H2O(g) + * -> H2O*,H2O,-0.0829767612796104,-0.3639030456542969,adsorbate_migration
Au12_H2O(g) + * -> H2O*_1,H2O,-0.07100266387908505,0.052074432373046875,normal
Au12_0.5H2(g) + * -> H*,H,0.3959320299409512,-0.2415008544921875,adsorbate_migration
