Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
H,0.3791346688921042,0.3289513763176244,0.3267490907504773,86.18095560826835,91.20648443594354,8854.0,7824.0,582.0,448,8,413,27
N,0.3758003155203321,0.29280603313918,0.2901518220036434,85.77841294766742,91.38806548219071,7457.0,6631.0,267.0,559,13,537,9
O,3.129427029943161,0.2887718442264803,4.175568893954635,80.25528554962378,86.76319170021725,7369.0,4492.0,426.0,2451,54,1332,1065
S,0.3385992285384401,0.3190508715413596,0.3356784286947957,86.89358764926482,92.08680190370966,5812.0,5219.0,255.0,338,6,327,5
C,0.5445655349098985,0.5100863600223263,0.5396137502904237,85.8832249624214,91.0890597697597,5291.0,4667.0,244.0,380,23,347,10
SH,0.3291108236853352,0.1801248904417229,0.162303157412163,78.99263931933801,83.76966308340207,1770.0,1312.0,365.0,93,8,85,0
NH,0.8181420813194606,0.6504664135001262,0.6153125542881894,84.33027412148323,89.95873873158362,1558.0,1356.0,122.0,80,0,78,2
H2O,0.7846013552648614,0.6902323823653368,1.249557008988906,58.57874665017523,65.8853637041556,1534.0,455.0,987.0,92,6,82,4
CH,0.2423002504779558,0.1729668463664709,0.1713330174425062,87.03122274550836,92.26817366079149,1508.0,1371.0,77.0,60,0,60,0
CH2,0.4181681690917481,0.3059125532777593,0.2718911837240762,82.94993093022643,88.31094054016968,1458.0,1209.0,175.0,74,0,74,0
CH3,0.5223039394680403,0.4816753232019733,0.4470144103566936,83.1599173192814,88.94611245679711,1284.0,1127.0,125.0,32,0,32,0
OH,0.7143491845215033,0.5287224147919428,0.6566352569031726,79.65837538516493,84.92260584788463,1235.0,1004.0,163.0,68,4,61,3
