reaction,adsorbate,DFT,MLIP,classification
Ag12_CH4(g) - H2(g) + * -> CH2*,CH2,3.0098093998740865,2.703196945712733,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.0149360245769117,2.6943727210445587,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_2,CH2,3.5660409709735745,3.399016472206604,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.6032765057171616,1.1868193928092161,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_1,CH3,1.6497815771145667,1.2316065411956671,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_2,CH3,1.6447031165153874,1.2282393842687576,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_3,CH3,1.476338937514896,1.1277997004724227,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.9969136423369775,4.045720865784972,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,4.06594320883417,4.094478963571412,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*,C,5.608978744789965,5.830179289271641,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_1,C,5.667144574389567,5.90723747449006,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.58535246073555,5.622026362085094,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.984898423889717,7.4029187031897905,normal
Ag12_H2O(g) + * -> H2O*,H2O,-0.08069304587309034,-0.7519259748960074,normal
Ag12_H2O(g) + * -> H2O*_1,H2O,-0.12029921507394192,-0.7373744188477822,normal
Ag12_H2O(g) + * -> H2O*_2,H2O,-0.0781264681737639,-0.7500795804828577,normal
Ag12_0.5H2(g) + * -> H*,H,0.46221515144227965,0.08316350257929983,normal
Ag12_0.5H2(g) + * -> H*_1,H,0.33815532304382145,-0.0493741990775618,normal
Ag12_0.5H2(g) + * -> H*_2,H,0.35534747534350686,-0.053981572827321855,normal
Ag12_0.5H2(g) + * -> H*_3,H,0.8448673457469624,0.5891008844392971,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.395891202227176,0.8269585006527365,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.4894360486277947,0.8668245302718205,normal
Ag12_0.5N2(g) + * -> N*,N,3.1123935958876245,2.8636389068450256,normal
Ag12_0.5N2(g) + * -> N*_1,N,3.206737232487285,2.9171171540355516,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,3.067950603231111,2.7710312535707686,normal
Ag12_0.5N2(g) + * -> N*_2,N,4.745673237490337,4.236335047081624,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.7181514141819889,0.09695236512771999,adsorbate_migration
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,0.5630175459781412,0.09603121545011817,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_2,OH,0.5899550472794317,0.1167136722723825,normal
Ag12_H2O(g) - H2(g) + * -> O*,O,1.9617996856357536,1.6868775670648866,normal
Ag12_H2O(g) - H2(g) + * -> O*_1,O,2.0506805009388813,1.7284001986667654,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_3,OH,1.3874351285820694,1.1832631428542513,normal
Ag12_H2O(g) - H2(g) + * -> O*_2,O,3.426808483239995,3.2040756467313436,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*,SH,0.0390709212525735,-0.49328773808024806,adsorbate_migration
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_1,SH,-0.0825627400471376,-0.18753839987178367,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_2,SH,-0.06756368924732215,-0.17139330634721262,normal
Ag12_H2S(g) - H2(g) + * -> S*,S,-0.29317027959035613,-0.1624120455474305,normal
Ag12_H2S(g) - H2(g) + * -> S*_1,S,-0.24250254678912597,-0.1528865431948141,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_3,SH,0.6129727487506216,0.7044457208502166,normal
Ag12_H2S(g) - H2(g) + * -> S*_2,S,0.7982888036058853,1.0100049328055611,normal
Au12_CH4(g) - H2(g) + * -> CH2*,CH2,2.5714865238724656,2.1431719403596645,normal
Au12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.330149293970919,2.986334360428998,normal
Au12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.1846758964130402,0.7640985232708601,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.1784606591300246,3.0573877157036478,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,3.372262584029187,3.1639219326435466,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*,C,4.741423499589473,4.707937200797559,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*_1,C,4.896599953587611,4.832480750178561,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.650378552431022,5.406369098277963,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.525164134390252,6.834701501216095,normal
Au12_H2O(g) + * -> H2O*,H2O,-0.0829767612796104,-0.6704434008240483,adsorbate_migration
Au12_H2O(g) + * -> H2O*_1,H2O,-0.07100266387908505,-0.6663620000941677,normal
Au12_0.5H2(g) + * -> H*,H,0.3959320299409512,-0.05821726340037969,normal
Au12_0.5H2(g) + * -> H*_1,H,0.32240319723953803,-0.18869826324166183,normal
Au12_0.5H2(g) + * -> H*_2,H,0.3711066762416806,-0.1462788751561277,normal
Au12_0.5H2(g) + * -> H*_3,H,0.5342481744419558,0.23514655932009276,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.4257011372274064,0.6197882182206058,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.6527565977257836,0.7559248795686386,normal
Au12_0.5N2(g) + * -> N*,N,2.802846961285468,2.4429556604249143,normal
Au12_0.5N2(g) + * -> N*_1,N,3.0296520770843927,2.5622597891391052,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,3.5648610854286744,3.120662008550468,normal
Au12_0.5N2(g) + * -> N*_2,N,4.699254834386011,4.056903599999423,normal
Au12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.2733503133794102,0.6504036556049257,normal
Au12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,1.3747626511802764,0.7105328279657002,normal
Au12_H2O(g) - 0.5H2(g) + * -> OH*_2,OH,1.4154380916778564,0.7631198264707137,normal
Au12_H2O(g) - H2(g) + * -> O*,O,2.4150319511352905,2.008656557361789,normal
Au12_H2O(g) - H2(g) + * -> O*_1,O,2.6192316179365775,2.1272104262036535,normal
Au12_H2O(g) - 0.5H2(g) + * -> OH*_3,OH,2.035280490378568,1.685410410864371,normal
Au12_H2O(g) - H2(g) + * -> O*_2,O,3.705461217435925,3.304936748469437,normal
Au12_H2S(g) - 0.5H2(g) + * -> SH*,SH,-0.09348416505497426,-0.3209731449535056,normal
Au12_H2S(g) - 0.5H2(g) + * -> SH*_1,SH,0.4475461747471172,0.1784770338667343,normal
Au12_H2S(g) - 0.5H2(g) + * -> SH*_2,SH,0.48313512734705455,0.22946929242284853,normal
Au12_H2S(g) - H2(g) + * -> S*,S,-0.17403244629525716,-0.16390332268976948,normal
Au12_H2S(g) - H2(g) + * -> S*_1,S,-0.02868610479703193,-0.10445739376967111,normal
Au12_H2S(g) - 0.5H2(g) + * -> SH*_3,SH,1.1557767265450138,1.2310327457047734,normal
Au12_H2S(g) - H2(g) + * -> S*_2,S,1.1284503745046663,1.298520254931823,normal
Ga12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.053555530314128,0.6715476423871891,normal
Ga12_CH4(g) - 1.5H2(g) + * -> CH*,CH,2.607007448028554,2.6471360937376787,normal
Ga12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,2.5797313010316714,2.6354609347514213,normal
Ga12_CH4(g) - 2.0H2(g) + * -> C*,C,4.109268357887231,4.341837582601279,normal
Ga12_CH4(g) - 2.0H2(g) + * -> C*_1,C,3.505704489388336,3.6555179507162805,normal
Ga12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,4.760126700135544,4.959337752493873,normal
Ga12_H2O(g) + * -> H2O*,H2O,-0.0873150721837419,-0.6936580966183215,normal
Ga12_H2O(g) + * -> H2O*_1,H2O,-0.0700512178829058,-0.7330203302354619,adsorbate_migration
Ga12_0.5H2(g) + * -> H*,H,0.6488109577412899,0.30864466686336556,normal
Ga12_0.5H2(g) + * -> H*_1,H,0.6513263780443879,0.3483424270964903,normal
Ga12_0.5H2(g) + * -> H*_2,H,0.8234530751442719,0.4537958841825258,normal
Ga12_0.5H2(g) + * -> H*_3,H,0.6803177945485288,0.3800987839147467,normal
Ga12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,0.0723870431238538,-0.5471171171838094,normal
Ga12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,0.2656439240226973,-0.4726125313595517,normal
Ga12_0.5N2(g) + * -> N*,N,1.0117555793895008,0.7241193750337587,normal
Ga12_0.5N2(g) + * -> N*_1,N,1.029164742480134,0.4444645755313701,adsorbate_migration
Ga12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,1.9551841901256921,1.4331000271495427,normal
Ga12_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.2459182557767008,-0.42363942915213215,normal
Ga12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,0.36038811217883904,-0.3713910785020147,normal
Ga12_H2O(g) - H2(g) + * -> O*,O,0.1336827261437179,-0.10612593228697875,normal
Ga12_H2O(g) - H2(g) + * -> O*_1,O,0.3580156876449223,-0.044039345550892506,normal
Ga12_H2O(g) - H2(g) + * -> O*_2,O,1.6785577516455419,1.4967108174794745,normal
Ga12_H2S(g) - 0.5H2(g) + * -> SH*,SH,-0.18977096655623882,-0.28873039089164365,normal
