Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
H,0.3206918089522541,0.2860052176716711,0.2842265771379558,77.9179954287878,85.04717111203018,8854.0,7207.0,941.0,706,31,653,22
N,0.5301664142844533,0.4330733010640601,0.4642353405346932,77.36293955656525,85.4462279473707,7457.0,6016.0,601.0,840,57,675,108
O,3.97566792344005,0.8454118579440119,5.11731582763831,72.98103000114243,81.91792637469112,7369.0,3983.0,553.0,2833,197,1327,1309
S,0.6072809029437597,0.6212164431824059,0.6523117771741982,80.09556946156215,88.40383952078277,5812.0,5077.0,324.0,411,21,386,4
C,1.061034582204202,1.057526776717594,1.162832596555844,78.23372407982312,85.79456466960859,5291.0,4142.0,407.0,742,70,481,191
SH,0.3010004724865442,0.2727329425315661,0.3009473273276658,73.6129096093932,78.83000043385535,1770.0,1103.0,593.0,74,11,63,0
NH,0.8557316535751524,0.680951116017022,0.6444383907423776,78.59751237773204,85.67032683372383,1558.0,1266.0,209.0,83,0,83,0
H2O,0.3963583106188214,0.2028514315754275,0.9060234110875643,63.54495207173778,68.87025667751331,1534.0,739.0,686.0,109,26,66,17
CH,0.4393504196505814,0.3675925240766858,0.41652068610641,80.57698537290386,88.18292073325583,1508.0,1324.0,119.0,65,0,65,0
CH2,0.4576396390581917,0.3622464380643994,0.2828582843653921,75.10248447204971,82.93551210971683,1458.0,1020.0,365.0,73,4,69,0
CH3,0.4303644242031393,0.4037155383272556,0.3289300916453093,77.93095661501118,86.64188179379302,1284.0,1152.0,100.0,32,0,32,0
OH,0.40691320901846,0.245343849657384,0.4811944409005813,72.6445020021137,78.63101444592925,1235.0,797.0,326.0,112,4,102,6
