reaction,adsorbate,DFT,MLIP,classification
Ag12_CH4(g) - H2(g) + * -> CH2*,CH2,3.0098093998740865,2.667608848770719,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.0149360245769117,2.62468802601218,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_2,CH2,3.5660409709735745,3.3180825491079915,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.6032765057171616,1.1708718484861507,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_1,CH3,1.6497815771145667,1.1050426437021983,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_2,CH3,1.6447031165153874,1.1018591490297212,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_3,CH3,1.476338937514896,1.2025317224508214,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.9969136423369775,4.269191493750569,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,4.06594320883417,4.260252599461289,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*,C,5.608978744789965,6.377689169566324,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_1,C,5.667144574389567,6.38533549329604,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.58535246073555,5.741165849534596,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.984898423889717,7.956297970691345,normal
Ag12_H2O(g) + * -> H2O*,H2O,-0.08069304587309034,-0.2428767954310871,normal
Ag12_H2O(g) + * -> H2O*_1,H2O,-0.12029921507394192,-0.2428581416935529,normal
Ag12_H2O(g) + * -> H2O*_2,H2O,-0.0781264681737639,-0.2300029442640934,normal
Ag12_0.5H2(g) + * -> H*,H,0.46221515144227965,-0.0013861868683591183,normal
Ag12_0.5H2(g) + * -> H*_1,H,0.33815532304382145,-0.07308992251547863,normal
Ag12_0.5H2(g) + * -> H*_2,H,0.35534747534350686,-0.09832443600765828,normal
Ag12_0.5H2(g) + * -> H*_3,H,0.8448673457469624,0.5246320203989541,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.395891202227176,0.9755811559199152,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.4894360486277947,0.9630588502857584,normal
Ag12_0.5N2(g) + * -> N*,N,3.1123935958876245,3.1295148315047605,normal
Ag12_0.5N2(g) + * -> N*_1,N,3.206737232487285,3.1215768872419645,normal
