Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
H,0.1980208928666285,0.1633401720269858,0.1653764695851198,88.04188030530553,92.7321999247747,8854.0,8119.0,389.0,346,2,324,20
N,0.3093163089195151,0.2354304253727583,0.2334300575494642,87.2984668782804,92.40206689989242,7457.0,6806.0,244.0,407,6,390,11
O,0.3045550278791916,0.2586846673861343,0.2772165229625876,87.8336701729818,92.8507266519283,7369.0,6794.0,212.0,363,5,329,29
S,0.2171911575645415,0.1861551174171971,0.1984095857032304,87.92066027689026,92.76305115394783,5812.0,5320.0,235.0,257,2,252,3
C,0.2488457383913202,0.1751816982536774,0.1832664812944415,87.78911076415632,92.5094766025455,5291.0,4776.0,221.0,294,13,280,1
SH,0.279863297292598,0.1248219752866162,0.1187117130026112,79.73717018188023,84.41822751397041,1770.0,1299.0,374.0,97,8,89,0
NH,0.4250364419214829,0.3195737812816907,0.3143061185549367,86.90623113150625,92.03192883523349,1558.0,1418.0,82.0,58,0,57,1
H2O,0.09377291857499671,0.08496771024604227,0.09716557921246587,83.12454035668308,88.56964976721669,1534.0,1326.0,182.0,26,0,23,3
CH,0.2308489746045413,0.1650692728080961,0.158433391802192,88.53591986245068,93.21518712458344,1508.0,1392.0,64.0,52,0,52,0
CH2,0.2336173107736146,0.1411103913547992,0.1273262454528641,84.47396199859257,89.56116553952718,1458.0,1240.0,156.0,62,0,62,0
CH3,0.148762448564174,0.1145103416663838,0.1032939277881432,85.56537308218597,90.85230591006159,1284.0,1159.0,89.0,36,1,35,0
OH,0.1617501764003065,0.1028957452799362,0.1130148103179386,84.17466767888786,89.14513973536198,1235.0,1094.0,93.0,48,0,48,0
