reaction,adsorbate,DFT,MLIP,classification
Ag12_CH4(g) - H2(g) + * -> CH2*,CH2,3.0098093998740865,2.891080379486084,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.0149360245769117,2.881650447845459,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_2,CH2,3.5660409709735745,3.5230841636657715,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.6032765057171616,1.5200879573822021,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_1,CH3,1.6497815771145667,1.5623853206634521,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_2,CH3,1.6447031165153874,1.5632169246673584,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_3,CH3,1.476338937514896,1.4036176204681396,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.9969136423369775,3.8035576343536377,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,4.06594320883417,3.8532021045684814,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*,C,5.608978744789965,5.391297340393066,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_1,C,5.667144574389567,5.435639381408691,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.58535246073555,5.5042736530303955,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.984898423889717,6.952582359313965,normal
Ag12_H2O(g) + * -> H2O*,H2O,-0.08069304587309034,-0.029656410217285156,normal
Ag12_H2O(g) + * -> H2O*_1,H2O,-0.12029921507394192,-0.08370304107666016,normal
Ag12_H2O(g) + * -> H2O*_2,H2O,-0.0781264681737639,-0.02647686004638672,normal
Ag12_0.5H2(g) + * -> H*,H,0.46221515144227965,0.22617554664611816,normal
Ag12_0.5H2(g) + * -> H*_1,H,0.33815532304382145,0.09885239601135254,normal
Ag12_0.5H2(g) + * -> H*_2,H,0.35534747534350686,0.12510895729064941,normal
Ag12_0.5H2(g) + * -> H*_3,H,0.8448673457469624,0.5891821384429932,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.395891202227176,1.064729928970337,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.4894360486277947,1.14656662940979,normal
Ag12_0.5N2(g) + * -> N*,N,3.1123935958876245,2.7710018157958984,normal
Ag12_0.5N2(g) + * -> N*_1,N,3.206737232487285,2.84735107421875,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,3.067950603231111,2.726186990737915,normal
Ag12_0.5N2(g) + * -> N*_2,N,4.745673237490337,4.230487823486328,normal
