Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
H,0.1983009978075725,0.1634635899527445,0.165376327594927,88.07728522718989,92.74921515232184,8854.0,8124.0,391.0,339,1,318,20
N,0.3088533212699378,0.235466325273759,0.2334300925592998,87.3589371377776,92.43437817038688,7457.0,6806.0,242.0,409,6,392,11
O,0.3042951341463697,0.2585210199969823,0.2772162636431533,87.87488083516956,92.87638334254744,7369.0,6794.0,204.0,371,5,337,29
S,0.2164300544464025,0.1860748421504909,0.1984092064568842,88.00735109826532,92.83604835301269,5812.0,5321.0,234.0,257,3,251,3
C,0.2470776427368913,0.1750715623410767,0.1832660901185419,87.89246522731105,92.59776242530991,5291.0,4777.0,219.0,295,10,284,1
SH,0.2780678105794331,0.1245851516147432,0.1187116548123139,79.92230034403286,84.56378585001984,1770.0,1298.0,376.0,96,5,91,0
NH,0.4134794507042087,0.318770124012676,0.3143059604763795,87.0369520589306,92.18094992256123,1558.0,1424.0,76.0,58,0,57,1
H2O,0.0937675403243375,0.08499475230330521,0.09716543560179632,83.09981324393053,88.60260982810783,1534.0,1329.0,179.0,26,0,23,3
CH,0.2337006287154574,0.1650613224839589,0.1584338556749448,88.47057137873453,93.14604485745453,1508.0,1392.0,67.0,49,0,49,0
CH2,0.2356085265658209,0.1409631414565708,0.1273266209048926,84.49070816065897,89.58610832540438,1458.0,1242.0,156.0,60,0,60,0
CH3,0.1512671782007388,0.1144969387009658,0.1032942122564167,85.39804652246092,90.67537745694096,1284.0,1157.0,96.0,31,0,31,0
OH,0.1603681631893228,0.1032958401165146,0.1130147120547348,84.16432218401593,89.12484885866878,1235.0,1094.0,94.0,47,0,47,0
