reaction,adsorbate,DFT,MLIP,classification
Ag12_CH4(g) - H2(g) + * -> CH2*,CH2,3.0098093998740865,2.891079902648926,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.0149360245769117,2.881649971008301,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_2,CH2,3.5660409709735745,3.5230836868286133,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.6032765057171616,1.5200858116149902,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_1,CH3,1.6497815771145667,1.562385082244873,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_2,CH3,1.6447031165153874,1.5632166862487793,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_3,CH3,1.476338937514896,1.4036173820495605,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.9969136423369775,3.8035569190979004,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,4.06594320883417,3.8531975746154785,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*,C,5.608978744789965,5.39129638671875,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_1,C,5.667144574389567,5.435638427734375,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.58535246073555,5.504271030426025,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.984898423889717,6.952581405639648,normal
Ag12_H2O(g) + * -> H2O*,H2O,-0.08069304587309034,-0.029656410217285156,normal
Ag12_H2O(g) + * -> H2O*_1,H2O,-0.12029921507394192,-0.0836343765258789,normal
Ag12_H2O(g) + * -> H2O*_2,H2O,-0.0781264681737639,-0.026482582092285156,normal
Ag12_0.5H2(g) + * -> H*,H,0.46221515144227965,0.22617578506469727,normal
Ag12_0.5H2(g) + * -> H*_1,H,0.33815532304382145,0.09885263442993164,normal
Ag12_0.5H2(g) + * -> H*_2,H,0.35534747534350686,0.12510919570922852,normal
Ag12_0.5H2(g) + * -> H*_3,H,0.8448673457469624,0.5891823768615723,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.395891202227176,1.064730167388916,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.4894360486277947,1.1465668678283691,normal
Ag12_0.5N2(g) + * -> N*,N,3.1123935958876245,2.7710037231445312,normal
Ag12_0.5N2(g) + * -> N*_1,N,3.206737232487285,2.84735107421875,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,3.067950603231111,2.726187229156494,normal
Ag12_0.5N2(g) + * -> N*_2,N,4.745673237490337,4.230487823486328,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.7181514141819889,0.5958733558654785,adsorbate_migration
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,0.5630175459781412,0.5925450325012207,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_2,OH,0.5899550472794317,0.6388325691223145,normal
Ag12_H2O(g) - H2(g) + * -> O*,O,1.9617996856357536,1.9797840118408203,normal
Ag12_H2O(g) - H2(g) + * -> O*_1,O,2.0506805009388813,2.0477466583251953,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_3,OH,1.3874351285820694,1.4228901863098145,normal
Ag12_H2O(g) - H2(g) + * -> O*_2,O,3.426808483239995,3.459339141845703,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*,SH,0.0390709212525735,-0.3857550621032715,adsorbate_migration
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_1,SH,-0.0825627400471376,-0.2096858024597168,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_2,SH,-0.06756368924732215,-0.17890119552612305,normal
Ag12_H2S(g) - H2(g) + * -> S*,S,-0.29317027959035613,-0.3424091339111328,normal
Ag12_H2S(g) - H2(g) + * -> S*_1,S,-0.24250254678912597,-0.3102397918701172,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_3,SH,0.6129727487506216,0.5953412055969238,normal
Ag12_H2S(g) - H2(g) + * -> S*_2,S,0.7982888036058853,0.8607387542724609,normal
Au12_CH4(g) - H2(g) + * -> CH2*,CH2,2.5714865238724656,2.4448938369750977,normal
Au12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.330149293970919,3.261460304260254,normal
Au12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.1846758964130402,1.1435694694519043,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.1784606591300246,3.031881809234619,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,3.372262584029187,3.1581177711486816,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*,C,4.741423499589473,4.44586181640625,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*_1,C,4.896599953587611,4.554229736328125,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.650378552431022,5.484896183013916,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.525164134390252,6.468318939208984,normal
Au12_H2O(g) + * -> H2O*,H2O,-0.0829767612796104,-0.04790973663330078,normal
Au12_H2O(g) + * -> H2O*_1,H2O,-0.07100266387908505,0.03625011444091797,normal
