Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
H,0.2736690390823088,0.2352481220781028,0.230528013222332,80.19513918326967,88.86945611694178,8854.0,7831.0,438.0,585,5,560,20
N,0.5162365804817419,0.4319438125562632,0.4350339051853753,80.3037070745965,88.82978576444464,7457.0,6579.0,272.0,606,14,580,12
O,0.3508184744757377,0.2794315681686722,0.283576334344632,80.66537260628512,89.19971811299672,7369.0,6614.0,227.0,528,2,499,27
S,0.221083275858892,0.1650178491447801,0.1652369564815079,80.62652315773175,88.99558449983128,5812.0,5150.0,252.0,410,1,407,2
C,0.2877938149275676,0.1984098418733743,0.2127536848231221,81.0318906605922,88.9195140470765,5291.0,4585.0,251.0,455,8,435,12
SH,0.3794314967140494,0.2039601979191692,0.1789009958333547,71.59092533685977,80.50476615851152,1770.0,1263.0,396.0,111,5,106,0
NH,0.6055995297185661,0.4914078977610736,0.483302990902959,78.95411182224369,88.47738374170997,1558.0,1391.0,84.0,83,0,82,1
H2O,0.1118966766855721,0.08156459884903332,0.07898369520819133,72.05679300291541,81.70364333652928,1534.0,1121.0,357.0,56,0,53,3
CH,0.294612645625964,0.1973342904571589,0.190864057364521,80.5416012558869,89.74963328990208,1508.0,1363.0,72.0,73,0,73,0
CH2,0.2882737974326531,0.1811098514492122,0.1619262915044312,77.04843327292299,86.11101033919833,1458.0,1207.0,166.0,85,0,85,0
CH3,0.2164496186678654,0.166053937240166,0.1450537830000571,76.82087799148431,86.4870117328957,1284.0,1116.0,110.0,58,0,58,0
OH,0.2369673637626789,0.153487840072992,0.1350128348790483,76.10905193587284,85.36876037184454,1235.0,1055.0,105.0,75,0,75,0
