reaction,adsorbate,DFT,MLIP,classification
Ag12_CH4(g) - H2(g) + * -> CH2*,CH2,3.0098093998740865,2.7667131423950195,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.0149360245769117,2.7518510818481445,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_2,CH2,3.5660409709735745,3.4148759841918945,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.6032765057171616,1.3897976875305176,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_1,CH3,1.6497815771145667,1.4231839179992676,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_2,CH3,1.6447031165153874,1.4270596504211426,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_3,CH3,1.476338937514896,1.3001370429992676,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.9969136423369775,3.7072882652282715,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,4.06594320883417,3.7697272300720215,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*,C,5.608978744789965,5.329076766967773,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_1,C,5.667144574389567,5.386327743530273,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.58535246073555,5.4220709800720215,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.984898423889717,6.816686630249023,normal
Ag12_H2O(g) + * -> H2O*,H2O,-0.08069304587309034,-0.08704376220703125,normal
Ag12_H2O(g) + * -> H2O*_1,H2O,-0.12029921507394192,-0.18631744384765625,adsorbate_migration
Ag12_H2O(g) + * -> H2O*_2,H2O,-0.0781264681737639,-0.10263824462890625,normal
Ag12_0.5H2(g) + * -> H*,H,0.46221515144227965,0.11368513107299805,normal
Ag12_0.5H2(g) + * -> H*_1,H,0.33815532304382145,-0.011909961700439453,normal
Ag12_0.5H2(g) + * -> H*_2,H,0.35534747534350686,0.011085033416748047,normal
Ag12_0.5H2(g) + * -> H*_3,H,0.8448673457469624,0.5007243156433105,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.395891202227176,0.7643733024597168,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.4894360486277947,0.8573298454284668,normal
Ag12_0.5N2(g) + * -> N*,N,3.1123935958876245,2.5365829467773438,normal
Ag12_0.5N2(g) + * -> N*_1,N,3.206737232487285,2.6302413940429688,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,3.067950603231111,2.439391613006592,normal
Ag12_0.5N2(g) + * -> N*_2,N,4.745673237490337,3.8713302612304688,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.7181514141819889,0.2505040168762207,adsorbate_migration
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,0.5630175459781412,0.2503819465637207,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_2,OH,0.5899550472794317,0.3100132942199707,normal
Ag12_H2O(g) - H2(g) + * -> O*,O,1.9617996856357536,1.6985864639282227,normal
Ag12_H2O(g) - H2(g) + * -> O*_1,O,2.0506805009388813,1.7768335342407227,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_3,OH,1.3874351285820694,1.2612462043762207,normal
Ag12_H2O(g) - H2(g) + * -> O*_2,O,3.426808483239995,3.3349695205688477,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*,SH,0.0390709212525735,-0.6455245018005371,adsorbate_migration
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_1,SH,-0.0825627400471376,-0.5186324119567871,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_2,SH,-0.06756368924732215,-0.4834151268005371,normal
Ag12_H2S(g) - H2(g) + * -> S*,S,-0.29317027959035613,-0.6601190567016602,normal
Ag12_H2S(g) - H2(g) + * -> S*_1,S,-0.24250254678912597,-0.6275262832641602,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_3,SH,0.6129727487506216,0.3967728614807129,normal
Ag12_H2S(g) - H2(g) + * -> S*_2,S,0.7982888036058853,0.6453008651733398,normal
Au12_CH4(g) - H2(g) + * -> CH2*,CH2,2.5714865238724656,2.3904008865356445,normal
Au12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.330149293970919,3.2279863357543945,normal
Au12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.1846758964130402,1.0627102851867676,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.1784606591300246,2.9890875816345215,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,3.372262584029187,3.1507086753845215,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*,C,4.741423499589473,4.453435897827148,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*_1,C,4.896599953587611,4.589483261108398,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.650378552431022,5.5619635581970215,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.525164134390252,6.465520858764648,normal
Au12_H2O(g) + * -> H2O*,H2O,-0.0829767612796104,-0.08750152587890625,normal
Au12_H2O(g) + * -> H2O*_1,H2O,-0.07100266387908505,0.00521087646484375,normal
Au12_0.5H2(g) + * -> H*,H,0.3959320299409512,-0.022331714630126953,adsorbate_migration
Au12_0.5H2(g) + * -> H*_1,H,0.32240319723953803,-0.021904468536376953,normal
Au12_0.5H2(g) + * -> H*_2,H,0.3711066762416806,0.07508039474487305,normal
Au12_0.5H2(g) + * -> H*_3,H,0.5342481744419558,0.22254133224487305,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.4257011372274064,0.7811579704284668,normal
