Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
H,0.2726176704941016,0.2352298841483219,0.2305274394451597,80.32905330454798,88.96357560043766,8854.0,7834.0,430.0,590,3,567,20
N,0.5216076728658178,0.4317587412179919,0.4350340085203421,80.39782987322987,88.86718529496086,7457.0,6576.0,268.0,613,9,592,12
O,0.3520357265896789,0.2792310763515014,0.283576256823813,80.75015679755278,89.2218583542209,7369.0,6616.0,236.0,517,2,488,27
S,0.2188792013896405,0.1649637105665444,0.1652371094106997,80.78560773031388,89.1100235886027,5812.0,5159.0,244.0,409,1,406,2
C,0.289499321783519,0.1988948020750982,0.2127535709085184,81.16367667565031,88.99556651079332,5291.0,4582.0,255.0,454,9,433,12
SH,0.3827083347408409,0.2037649217023703,0.1789010076869338,71.64992150706436,80.57343830665981,1770.0,1259.0,396.0,115,6,109,0
NH,0.6049040305873181,0.4915020689978029,0.4833022018874302,78.87984542929605,88.4108653349749,1558.0,1387.0,85.0,86,0,85,1
H2O,0.1117822865059986,0.08148099502272341,0.07898396255518803,72.02963932451526,81.72199833928802,1534.0,1123.0,353.0,58,0,55,3
CH,0.2755573195257158,0.1967864995722744,0.1908635096974401,80.57393286985109,89.78730814301323,1508.0,1365.0,75.0,68,0,68,0
CH2,0.2855837761727954,0.1815938734376075,0.1619252266335209,77.22912919957248,86.24233930760184,1458.0,1207.0,167.0,84,0,84,0
CH3,0.2151883621023079,0.166053619837838,0.14505320663614,76.98644793152637,86.60616664592277,1284.0,1115.0,109.0,60,0,60,0
OH,0.2372807793716193,0.1531590893910291,0.1350135356559245,76.0609714345256,85.32066438547248,1235.0,1055.0,104.0,76,0,76,0
