Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
H,0.1999099055685125,0.1650286546946542,0.1661016766117813,88.56413284191528,92.87065729449004,8854.0,8073.0,428.0,353,2,334,17
N,0.3089601742589995,0.2257523605517542,0.2260213560337448,87.63930625519245,92.38031119202932,7457.0,6789.0,235.0,433,6,418,9
O,2.861174810256028,0.2408156191018379,3.417042981169194,81.13615856487685,86.63873632587712,7369.0,4487.0,476.0,2406,14,1209,1183
S,0.2301380555150752,0.2021647370101375,0.2162384708561373,88.41955908496955,92.88427383435628,5812.0,5312.0,240.0,260,0,257,3
C,0.2672742689310421,0.2006564212935596,0.2177243539914788,88.05077388892408,92.45999464837972,5291.0,4749.0,225.0,317,11,304,2
SH,0.2809330509856534,0.1222577184593856,0.1228524811807489,80.69518576661436,84.64782309413164,1770.0,1283.0,402.0,85,2,83,0
NH,0.4439050455651983,0.3310933850019089,0.3260776210394212,87.77327617437517,92.23478019141406,1558.0,1409.0,87.0,62,0,62,0
H2O,0.1062278393903524,0.07213546106074133,0.4073214968229992,75.82049618939514,79.94665534132191,1534.0,981.0,521.0,32,0,32,0
CH,0.2030780988275511,0.1268126458420689,0.1222839811649514,89.36744661234454,93.31862395620827,1508.0,1384.0,76.0,48,0,48,0
CH2,0.2165763690452894,0.118193059049996,0.1062293639445616,85.26741731175235,89.72284364901802,1458.0,1225.0,173.0,60,0,60,0
CH3,0.1356401564549801,0.1039280535714227,0.0921741716915653,86.56278203150018,91.11946978908375,1284.0,1157.0,98.0,29,0,29,0
OH,0.258016191707554,0.09894487646626529,0.2437428009011673,84.38537340537968,88.57853719667717,1235.0,1069.0,99.0,67,2,61,4
